Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-08-28 16:29:55,34.9017,24.2194,14,5.2,56.4 km SSW of Rethimnon
2024-07-20 15:38:10,35.0116,23.5565,9,4.2,69.5 km SW of Chania
2024-07-15 15:23:16,36.3515,23.9360,12,4.1,58.2 km SW of Milos
2024-06-21 06:09:22,35.0400,23.5684,6,4.3,66.4 km SW of Chania
2023-10-14 08:00:04,34.7401,24.3352,18,4.0,70.6 km S of Rethimnon
2023-08-13 07:49:31,35.2602,23.8857,9,4.9,30.4 km SSW of Chania
2023-05-21 04:36:05,35.0258,24.8039,20,4.2,44.6 km SW of Iraklion
2023-05-20 00:48:13,35.0253,24.8209,5,4.4,43.6 km SW of Iraklion
2023-05-18 23:52:54,34.9814,24.8227,18,4.3,47.4 km SW of Iraklion
2023-05-18 18:58:52,34.9956,24.8378,8,5.1,45.3 km SW of Iraklion
2023-05-17 19:55:55,34.9960,24.8447,8,4.2,44.9 km SW of Iraklion
2023-05-06 14:43:24,34.8917,23.5043,24,4.4,83.2 km SW of Chania
2022-03-20 11:47:14,35.7083,23.6215,12,4.0,41.8 km WNW of Chania
2021-12-18 05:16:39,36.0777,23.2201,58,5.4,26.5 km SE of Kithira
2021-11-12 03:45:59,35.2396,23.2755,28,4.2,73.6 km WSW of Chania
2021-06-17 00:35:15,35.5815,24.8891,60,4.1,35.9 km NW of Iraklion
2020-12-29 08:06:10,34.6463,24.0665,26,4.8,88.0 km SSW of Rethimnon
2020-12-17 07:19:13,34.8825,23.2388,6,4.0,99.4 km SW of Chania
2020-09-20 06:01:22,35.1764,23.1207,25,4.0,89.3 km WSW of Chania
2019-12-08 22:41:14,35.1833,23.8426,4,4.3,39.8 km SSW of Chania
2019-12-07 14:46:58,35.1773,23.8449,6,4.4,40.3 km SSW of Chania
2019-12-07 14:34:56,35.0798,23.8033,15,4.0,51.8 km SSW of Chania
2019-12-06 08:45:40,35.1906,23.8481,8,4.5,38.9 km SSW of Chania
2019-11-27 07:23:42,35.6854,23.2599,71,6.1,66.6 km SSE of Kithira
2019-07-31 04:40:05,35.4044,24.8941,66,5.2,23.2 km WNW of Iraklion
2019-07-10 22:57:15,34.9640,24.4061,32,4.2,45.0 km S of Rethimnon
2019-04-02 08:00:18,35.6689,23.5693,10,4.0,44.0 km WNW of Chania
2019-02-20 10:43:26,34.7552,24.1534,48,4.2,73.7 km SSW of Rethimnon
2019-01-01 11:40:04,34.6277,23.8115,12,4.6,100.1 km S of Chania
2018-05-20 22:17:58,34.8918,23.9725,17,4.2,69.1 km S of Chania
2018-01-23 23:14:03,35.0495,23.1483,7,4.4,94.0 km WSW of Chania
2018-01-07 04:05:13,35.1114,23.6710,6,4.0,54.4 km SW of Chania
2017-12-13 07:30:07,34.7699,23.7799,23,4.9,85.3 km SSW of Chania
2017-12-09 18:12:57,34.6920,23.7580,28,4.0,94.2 km SSW of Chania
2017-08-18 03:46:51,34.9054,24.0399,10,4.1,64.4 km SW of Rethimnon
2017-06-21 12:46:04,35.3708,24.5048,65,4.3,3.1 km ENE of Rethimnon
2017-03-08 07:55:02,35.7300,24.5058,52,4.3,40.7 km N of Rethimnon
2016-11-29 00:19:29,34.9200,23.3200,12,4.3,91.3 km SW of Chania
2016-03-12 12:40:39,35.3600,23.5500,12,4.9,45.4 km WSW of Chania
2016-03-06 23:18:15,35.4000,23.5900,17,4.0,40.5 km WSW of Chania
2016-02-24 14:41:40,36.0700,23.8500,46,4.0,63.8 km NNW of Chania
2015-10-27 13:14:40,35.8800,24.0100,31,4.2,40.9 km N of Chania
2015-10-24 02:59:03,35.5100,23.4600,61,4.0,50.3 km W of Chania
2015-09-07 09:59:32,35.2400,23.3200,58,4.1,70.0 km WSW of Chania
2015-07-31 16:04:43,34.9400,24.2800,44,4.2,50.3 km SSW of Rethimnon
2014-08-11 18:48:13,36.1900,23.3400,54,4.1,29.7 km ESE of Kithira
2014-07-08 14:05:29,35.9200,23.5500,28,4.0,60.4 km SE of Kithira
2014-06-01 12:05:51,34.7500,24.6100,32,4.8,69.5 km S of Rethimnon
2014-04-29 12:37:46,35.3300,23.1600,41,4.1,80.1 km WSW of Chania
2014-02-24 04:41:03,34.8300,24.2100,25,4.0,64.0 km SSW of Rethimnon
2013-10-12 13:11:53,35.5000,23.2800,65,6.2,66.6 km W of Chania
2013-04-06 11:26:06,34.8200,24.1100,24,5.1,68.9 km SSW of Rethimnon
2013-03-31 16:28:08,35.9800,24.3600,91,4.3,60.6 km NNE of Chania
2013-03-25 20:55:17,35.6400,24.7100,73,4.4,37.5 km NE of Rethimnon
2013-02-04 07:56:54,34.8000,24.1500,27,4.4,69.3 km SSW of Rethimnon
2012-09-12 03:27:43,34.7100,24.0200,26,5.5,83.6 km SSW of Rethimnon
2012-07-24 20:19:43,34.9700,23.3500,41,4.1,85.4 km SW of Chania
2012-03-20 23:51:09,36.0500,24.4000,67,4.6,69.1 km NNE of Chania
2012-03-08 07:00:31,34.7900,23.9400,30,4.2,80.1 km SW of Rethimnon
2011-12-09 08:14:00,34.7300,23.9400,30,4.4,85.6 km SW of Rethimnon
2011-10-05 14:41:30,36.0900,23.4000,79,4.0,38.7 km ESE of Kithira
2011-07-01 00:57:21,34.8000,24.0900,43,4.1,71.7 km SSW of Rethimnon
2011-05-27 17:24:30,35.7800,23.5100,21,4.6,54.5 km WNW of Chania
2011-02-08 01:46:34,35.0000,23.3000,30,4.3,86.4 km SW of Chania
2010-10-25 07:40:44,34.9300,23.5400,23,4.4,77.8 km SW of Chania
2010-08-08 04:06:35,34.8400,24.4500,25,4.7,58.4 km S of Rethimnon
2010-06-06 12:21:00,35.5900,24.8100,63,4.4,39.6 km NE of Rethimnon
2010-05-02 12:24:37,35.8600,24.7500,39,4.2,60.6 km NNE of Rethimnon
