Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-10-06 12:08:39,39.0413,25.7991,15,4.1,41.3 km WSW of Mitilini
2024-05-15 04:57:55,38.9378,26.0344,12,4.0,31.5 km SW of Mitilini
2024-04-19 08:02:19,37.8081,26.7989,12,4.3,16.6 km WNW of Samos
2024-02-24 22:59:02,38.6545,25.5588,35,4.3,59.5 km WNW of Chios
2024-01-27 05:19:19,37.9642,27.0676,13,4.9,24.4 km NNE of Samos
2023-09-04 05:26:08,37.9807,27.1060,13,4.1,27.3 km NNE of Samos
2022-08-14 03:24:22,37.9706,27.1198,12,4.8,26.8 km NNE of Samos
2022-05-13 22:08:51,38.1573,26.2885,40,4.4,26.9 km SSE of Chios
2022-01-12 22:54:24,37.6932,26.0257,18,4.4,17.4 km NW of Ikaria
2021-12-04 13:01:09,38.4787,25.9616,16,4.0,19.6 km NW of Chios
2021-11-30 10:32:24,37.7000,25.9868,16,4.1,20.5 km NW of Ikaria
2021-11-30 04:09:15,37.7060,25.9763,22,4.1,21.6 km NW of Ikaria
2021-11-30 04:00:39,37.6968,26.0019,16,5.0,19.2 km NW of Ikaria
2021-07-22 01:20:21,38.9108,26.0989,13,4.0,31.3 km SSW of Mitilini
2021-07-10 14:43:22,38.9191,26.0577,13,4.0,32.2 km SSW of Mitilini
2021-05-19 11:18:15,37.9953,26.9266,24,4.2,26.8 km N of Samos
2021-05-19 11:14:59,38.0850,27.0602,15,4.3,37.2 km NNE of Samos
2021-02-09 07:30:35,37.7536,26.4066,12,4.0,28.4 km NE of Ikaria
2021-02-01 20:46:15,38.9333,26.1076,18,4.5,28.7 km SSW of Mitilini
2021-02-01 13:10:15,38.9204,26.0756,17,4.5,31.3 km SSW of Mitilini
2021-02-01 08:35:17,38.9182,26.0898,16,4.7,30.9 km SSW of Mitilini
2021-02-01 06:00:05,38.9378,26.0683,16,4.5,29.9 km SSW of Mitilini
2021-02-01 05:47:54,38.9676,26.0550,12,4.8,27.8 km SW of Mitilini
2021-02-01 05:46:52,38.9236,26.0880,16,4.9,30.4 km SSW of Mitilini
2021-01-20 23:37:56,37.8653,26.7490,10,4.4,23.4 km WNW of Samos
2020-12-30 13:40:12,37.7975,26.4084,13,4.3,31.9 km NE of Ikaria
2020-11-11 06:49:45,37.8104,26.9577,16,4.2,6.2 km NNW of Samos
2020-11-09 20:31:00,37.8438,26.9884,13,4.0,9.7 km N of Samos
2020-11-03 20:35:36,37.8667,26.4299,16,4.0,39.1 km NE of Ikaria
2020-11-02 19:16:38,37.8305,26.4798,12,4.2,38.9 km NE of Ikaria
2020-11-02 11:58:03,37.8836,26.9247,17,4.0,14.8 km NNW of Samos
2020-11-01 07:33:07,37.8177,26.9174,10,4.2,8.5 km NW of Samos
2020-11-01 07:05:12,37.8287,27.0309,16,4.2,9.3 km NNE of Samos
2020-10-31 14:42:43,37.8703,26.4565,16,4.3,40.8 km NE of Ikaria
2020-10-31 08:41:50,37.8745,26.9412,17,4.0,13.4 km NNW of Samos
2020-10-31 05:31:29,37.8232,26.8002,12,4.6,17.2 km WNW of Samos
2020-10-31 01:40:30,37.8305,26.5311,7,4.1,40.0 km WNW of Samos
2020-10-30 22:53:21,37.7975,26.7160,11,4.1,23.4 km W of Samos
2020-10-30 19:09:41,37.8506,26.4322,13,4.1,37.8 km NE of Ikaria
2020-10-30 15:19:18,37.8506,26.7838,22,4.5,19.9 km WNW of Samos
2020-10-30 15:14:56,37.8195,26.8698,15,5.0,11.7 km NW of Samos
2020-10-30 14:46:06,37.9248,26.8506,10,4.3,21.7 km NNW of Samos
2020-10-30 13:00:44,37.8360,26.7838,25,4.5,19.1 km WNW of Samos
2020-10-30 12:33:22,37.7783,26.7334,27,4.0,21.5 km W of Samos
2020-10-30 12:22:49,37.8955,26.9678,12,4.1,15.4 km N of Samos
2020-10-30 12:19:09,37.7705,26.4931,7,4.0,35.5 km NE of Ikaria
2020-10-30 12:04:44,37.9019,26.3516,16,4.0,39.0 km NNE of Ikaria
2020-10-30 11:51:24,37.9001,26.8149,12,6.7,21.3 km NW of Samos
2020-07-16 18:09:25,38.3661,26.7719,8,4.2,55.5 km E of Chios
2020-07-07 15:19:50,38.7712,25.3487,17,4.0,69.6 km ESE of Skyros
2020-01-04 22:11:29,37.9056,26.3809,14,4.0,40.5 km NNE of Ikaria
2019-08-08 08:39:08,38.0182,26.9073,15,4.7,29.7 km NNW of Samos
2019-01-25 20:20:33,38.6014,27.1463,4,4.5,91.7 km ENE of Chios
2018-07-26 08:17:51,37.6992,26.7405,14,4.3,21.8 km WSW of Samos
2018-06-27 01:00:49,38.8187,26.3928,10,4.0,40.6 km SSE of Mitilini
2018-02-25 15:21:14,38.5666,25.6320,22,4.1,49.1 km WNW of Chios
2017-12-25 05:13:50,38.5770,26.7683,11,4.6,59.8 km ENE of Chios
2017-08-05 03:20:52,38.9492,26.6627,8,4.2,43.1 km SE of Mitilini
2017-06-22 02:48:53,38.8103,26.4920,14,4.8,44.8 km SSE of Mitilini
2017-06-17 19:50:05,38.8497,26.4302,12,5.2,38.5 km SSE of Mitilini
2017-06-17 03:40:37,38.8828,26.2590,14,4.6,31.6 km S of Mitilini
2017-06-16 13:25:52,38.8135,26.4818,30,4.1,44.1 km SSE of Mitilini
2017-06-16 09:46:29,38.2485,26.5122,19,4.3,35.4 km ESE of Chios
2017-06-15 10:37:04,38.8970,26.2588,14,4.1,30.0 km S of Mitilini
2017-06-12 14:19:47,38.8700,26.3540,12,4.4,34.2 km SSE of Mitilini
2017-06-12 12:35:33,38.8683,26.3635,11,4.1,34.6 km SSE of Mitilini
2017-06-12 12:28:38,38.8388,26.3623,12,6.1,37.7 km SSE of Mitilini
2016-10-17 01:30:30,37.8900,26.9100,28,4.4,15.9 km NNW of Samos
2015-10-23 18:29:39,37.9200,26.5800,12,4.1,39.3 km WNW of Samos
2015-09-10 08:12:44,38.8700,26.1900,46,4.6,33.4 km S of Mitilini
2014-12-29 08:06:22,38.8700,26.2500,30,4.0,33.0 km S of Mitilini
2014-12-06 06:20:53,38.8500,26.2800,29,4.8,35.3 km S of Mitilini
2014-12-06 01:45:06,38.8700,26.2700,27,5.1,33.0 km S of Mitilini
2014-12-04 21:16:29,38.5800,26.1400,32,4.1,23.6 km N of Chios
