Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-11-05 00:37:15,38.0003,21.9310,73,4.3,16.3 km WSW of Kalavrita
2024-10-07 06:18:45,38.2828,23.3047,14,4.5,32.6 km SW of Chalkida
2024-09-22 18:27:43,37.8209,21.8340,14,4.0,33.9 km SW of Kalavrita
2024-09-11 04:22:25,37.9839,22.3000,11,4.0,17.3 km ESE of Kalavrita
2024-07-12 19:26:44,38.0626,21.8788,22,4.4,20.7 km W of Kalavrita
2024-02-22 11:21:02,38.4581,22.3714,12,4.3,7.4 km S of Amfissa
2024-01-16 05:20:51,37.2844,22.9655,14,4.8,16.2 km NE of Leonidhion
2023-12-03 08:38:00,37.4533,22.2299,69,4.1,14.6 km WSW of Tripolis
2023-10-17 14:51:11,37.4551,23.1711,82,4.4,34.3 km ESE of Nafplio
2023-06-10 10:04:51,38.6064,22.8749,13,4.0,11.9 km WSW of Atalanti
2023-06-08 12:33:52,38.5863,22.8694,6,4.8,13.4 km WSW of Atalanti
2023-04-29 18:02:57,38.3762,22.0834,13,4.3,14.2 km N of Aegion
2023-01-22 04:46:45,38.7822,22.8960,9,4.1,17.1 km NNW of Atalanti
2022-12-28 12:24:20,38.5652,23.6906,13,4.9,13.8 km NE of Chalkida
2022-10-08 22:02:28,38.3052,22.5160,13,5.0,27.4 km SSE of Amfissa
2022-07-29 13:44:48,38.4105,21.9914,10,4.4,19.7 km NNW of Aegion
2022-04-10 02:12:29,38.3134,23.3821,12,4.3,25.3 km SW of Chalkida
2021-12-26 16:13:51,38.1020,23.1367,17,4.0,25.6 km NE of Korinthos
2021-12-15 00:48:16,38.2576,22.0839,13,4.2,1.0 km N of Aegion
2021-11-30 14:20:20,38.4160,22.1013,11,4.1,18.7 km N of Aegion
2021-11-01 11:30:13,38.3322,22.6273,95,4.0,24.3 km WSW of Levadhia
2021-09-02 05:48:37,38.3299,23.3372,11,4.0,27.3 km WSW of Chalkida
2021-08-30 21:06:34,37.8474,23.1047,14,4.1,18.2 km ESE of Korinthos
2021-07-20 05:05:26,38.3363,23.3281,10,4.1,27.6 km WSW of Chalkida
2021-07-11 00:00:17,38.3336,23.3217,8,4.3,28.2 km WSW of Chalkida
2021-06-03 15:06:13,38.1432,22.0372,49,4.7,12.4 km SSW of Aegion
2021-02-17 04:38:50,38.3730,21.9731,8,4.1,16.8 km NW of Aegion
2021-02-17 03:36:06,38.3601,21.9466,6,5.0,17.1 km NW of Aegion
2021-01-13 09:40:21,38.3908,22.0450,12,4.2,16.1 km NNW of Aegion
2021-01-12 22:56:47,38.4087,22.0564,8,4.4,17.9 km N of Aegion
2021-01-12 22:32:56,38.3977,22.0473,6,4.0,16.9 km N of Aegion
2021-01-12 22:29:37,38.3908,22.0578,11,4.4,16.0 km N of Aegion
2021-01-12 22:09:56,38.3958,22.0509,5,4.8,16.6 km N of Aegion
2020-12-30 00:39:20,38.3981,22.0157,8,4.1,17.6 km NNW of Aegion
2020-12-23 14:58:24,38.4050,21.9960,9,4.5,18.9 km NNW of Aegion
2020-12-02 10:54:56,38.3272,23.4590,6,4.4,19.5 km SW of Chalkida
2020-09-11 03:00:58,38.1157,23.1798,13,4.3,29.4 km NE of Korinthos
2020-09-03 15:07:35,38.1660,23.9873,5,4.3,30.1 km NE of Athens
2020-08-22 04:31:55,38.0727,21.9987,23,4.2,10.9 km WNW of Kalavrita
2020-03-07 08:20:11,38.1496,22.9811,8,4.0,23.9 km N of Korinthos
2020-02-06 18:06:54,38.1029,22.2743,9,4.1,16.2 km ENE of Kalavrita
2019-07-28 16:09:08,38.1038,23.5396,9,4.2,21.6 km NW of Athens
2019-07-19 12:11:54,38.0956,23.5808,15,4.3,18.3 km NW of Athens
2019-07-19 11:13:15,38.1180,23.5300,13,5.1,23.3 km NW of Athens
2019-06-12 21:54:30,38.6288,22.9037,14,4.1,8.7 km WSW of Atalanti
2019-04-25 11:04:22,37.3389,22.1045,11,4.1,30.8 km SW of Tripolis
2019-03-30 10:46:19,38.3492,22.2972,13,5.4,20.6 km SSW of Amfissa
2019-03-28 09:13:01,37.9980,21.9434,10,4.1,15.3 km WSW of Kalavrita
2018-01-15 20:24:14,38.1298,23.9322,12,4.2,23.8 km NE of Athens
2017-12-31 04:02:19,38.2385,22.8372,9,4.6,22.1 km S of Levadhia
2017-07-15 03:05:14,38.3427,22.0268,4,4.0,11.5 km NNW of Aegion
2017-07-15 01:22:02,38.3402,21.9923,4,4.1,12.8 km NW of Aegion
2017-06-25 13:54:41,38.3738,23.3413,10,4.0,24.6 km WSW of Chalkida
2017-03-24 04:24:30,37.5705,23.8847,165,4.4,47.8 km SSE of Athens
2016-12-03 21:04:35,38.0900,21.9800,14,4.7,13.3 km WNW of Kalavrita
2015-10-25 15:46:03,37.5700,22.0600,12,4.0,29.0 km WNW of Tripolis
2015-08-09 21:39:19,38.1400,22.0500,69,4.6,12.4 km SSW of Aegion
2015-06-09 01:09:03,38.6200,23.3900,13,5.3,25.2 km NW of Chalkida
2014-11-17 23:09:03,38.6400,23.4100,23,5.2,25.6 km NW of Chalkida
2014-11-17 23:05:55,38.6400,23.4000,24,5.2,26.2 km NW of Chalkida
2014-11-07 17:12:59,38.3000,22.1100,19,4.8,6.2 km NNE of Aegion
2014-10-04 00:12:01,37.4100,22.2000,20,4.4,19.3 km SW of Tripolis
2014-07-11 09:46:04,38.4500,23.7100,26,4.4,9.7 km E of Chalkida
2014-06-08 15:10:50,38.3300,22.0500,15,4.1,9.5 km NNW of Aegion
2014-05-10 03:04:50,38.4200,22.4600,20,4.1,13.9 km SSE of Amfissa
2014-02-06 07:58:26,38.7100,22.7700,22,4.3,20.9 km WNW of Atalanti
2014-02-01 08:14:03,38.7000,22.7500,18,4.5,22.3 km WNW of Atalanti
