Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-12-13 08:34:12,40.2791,24.1292,14,4.6,10.7 km WNW of Kariai
2024-09-22 09:50:23,40.2901,24.1292,14,4.6,11.2 km WNW of Kariai
2024-09-22 08:47:23,40.2773,24.0926,12,4.1,13.7 km WNW of Kariai
2024-08-24 19:54:24,40.2827,24.1319,14,4.3,10.7 km WNW of Kariai
2024-08-12 13:39:54,40.2827,24.1164,14,4.2,11.9 km WNW of Kariai
2024-08-12 13:24:59,40.2827,24.1228,14,4.1,11.4 km WNW of Kariai
2018-10-15 09:02:46,40.5307,23.4912,8,4.0,17.9 km NNE of Poliyiros
2018-08-02 14:17:37,41.6849,23.6050,7,4.0,66.8 km N of Serres
2018-06-25 08:21:55,40.7080,23.3213,7,4.2,32.7 km ENE of Thessaloniki
2016-08-06 05:17:01,40.6400,23.3500,14,4.0,30.5 km NNW of Poliyiros
2016-05-22 08:58:31,41.6500,23.3000,15,4.3,66.1 km NNW of Serres
2015-07-26 18:40:41,40.3600,23.9600,27,4.1,27.5 km WNW of Kariai
2013-10-11 05:15:46,40.6900,23.3900,19,4.4,35.3 km N of Poliyiros
2013-02-15 14:42:54,40.3300,23.9500,23,4.6,27.0 km WNW of Kariai
2010-08-08 09:14:59,40.5500,23.5800,23,4.3,22.9 km NNE of Poliyiros
2010-08-08 09:00:28,40.5500,23.5600,22,4.5,22.1 km NNE of Poliyiros
2007-06-25 04:13:40,40.8600,23.9100,24,4.0,38.0 km SSW of Drama
2006-05-10 07:01:42,40.5100,23.4700,15,4.0,15.3 km N of Poliyiros
2005-09-12 19:26:34,40.7100,23.3800,19,4.0,37.6 km ENE of Thessaloniki
2005-09-12 19:08:29,40.7200,23.3700,24,4.3,37.0 km ENE of Thessaloniki
2002-09-06 05:05:00,40.8500,25.0900,10,4.0,33.0 km ENE of Thasos
2002-07-31 04:05:54,41.2000,23.1100,27,4.2,30.6 km NE of Kilkis
1999-12-12 19:25:59,40.5400,23.7200,8,4.3,30.1 km NE of Poliyiros
1998-12-11 15:09:30,41.4300,25.0400,13,4.6,34.7 km NNE of Xanthi
1995-05-04 00:34:10,40.5700,23.6900,7,5.0,30.4 km NE of Poliyiros
1995-05-03 21:43:27,40.6200,23.6700,20,4.5,33.6 km NE of Poliyiros
1995-05-03 21:36:54,40.5800,23.6800,13,4.3,30.7 km NE of Poliyiros
1995-05-03 15:39:55,40.6400,23.6900,7,4.0,36.4 km NE of Poliyiros
1995-04-04 17:27:05,40.5700,23.7500,5,4.0,34.2 km NE of Poliyiros
1995-04-04 17:10:09,40.6200,23.6800,7,4.1,34.1 km NE of Poliyiros
1994-09-23 11:37:30,40.6100,23.4900,9,4.1,26.6 km N of Poliyiros
1993-12-16 09:22:19,41.4700,23.1500,38,4.2,54.3 km NW of Serres
1993-03-27 23:47:08,41.2800,23.2100,1,4.1,35.7 km NW of Serres
1991-10-25 18:05:23,41.2800,23.4900,1,4.0,22.2 km NNW of Serres
1986-02-18 05:34:41,40.8100,23.2600,5,4.1,32.6 km NE of Thessaloniki
1985-11-09 23:30:45,41.1100,24.0500,23,5.1,9.0 km WSW of Drama
1984-11-14 14:53:50,40.7400,23.3700,5,4.0,37.6 km ENE of Thessaloniki
1984-10-05 14:22:47,40.9900,23.3900,8,4.0,17.1 km SW of Serres
1984-02-19 03:47:23,40.5400,23.3900,16,4.3,18.9 km NNW of Poliyiros
1984-01-23 10:26:39,41.6900,23.4000,34,4.1,68.4 km N of Serres
1983-08-26 12:52:09,40.4500,24.0200,12,4.5,29.6 km NW of Kariai
1983-08-21 07:55:54,40.4900,24.7400,16,4.0,32.1 km S of Thasos
1983-08-20 06:18:52,40.4100,24.6900,25,4.0,41.0 km S of Thasos
1983-08-08 02:41:32,40.9000,25.2100,6,4.1,29.3 km SSW of Komotini
1982-04-12 03:39:21,41.0000,23.4000,10,4.2,15.8 km SW of Serres
1981-10-01 12:10:53,41.8000,24.0000,10,4.1,72.7 km N of Drama
1980-08-20 04:55:10,40.7000,23.2000,10,4.0,22.6 km ENE of Thessaloniki
1979-08-31 17:24:10,40.6000,23.4000,10,4.4,25.3 km N of Poliyiros
1979-06-02 03:11:59,40.3000,24.0000,10,4.2,21.9 km WNW of Kariai
1979-05-11 01:46:27,40.7000,23.4000,10,4.3,36.3 km N of Poliyiros
1979-04-19 15:24:22,41.4000,23.7000,10,4.0,37.2 km NNE of Serres
1978-07-13 17:26:57,40.7000,23.2000,33,4.0,22.6 km ENE of Thessaloniki
1978-07-04 22:23:27,40.8000,23.2000,33,4.6,28.0 km NE of Thessaloniki
1978-06-23 19:58:27,40.9000,23.2000,33,4.0,29.5 km ESE of Kilkis
1978-06-23 01:57:01,40.8000,23.2000,33,4.1,28.0 km NE of Thessaloniki
1978-06-21 18:52:04,40.7000,23.3000,33,4.0,30.8 km ENE of Thessaloniki
1978-06-21 12:29:44,40.7000,23.2000,33,4.3,22.6 km ENE of Thessaloniki
1978-06-21 06:00:07,40.7000,23.4000,33,4.1,36.3 km N of Poliyiros
1978-06-21 03:20:26,40.7000,23.3000,33,4.0,30.8 km ENE of Thessaloniki
1978-06-20 21:51:04,40.7000,23.3000,33,4.2,30.8 km ENE of Thessaloniki
1978-06-20 20:45:21,40.7000,23.3000,33,4.1,30.8 km ENE of Thessaloniki
1978-06-20 20:03:21,40.8000,23.3000,33,6.0,34.9 km ENE of Thessaloniki
1978-06-19 10:48:12,40.6000,23.3000,33,4.2,27.7 km NNW of Poliyiros
1978-06-19 10:31:07,40.6000,23.3000,33,4.8,27.7 km NNW of Poliyiros
1978-06-19 03:12:42,40.8000,23.3000,33,4.1,34.9 km ENE of Thessaloniki
1978-06-15 01:10:40,41.4000,23.1000,33,4.0,49.3 km NNE of Kilkis
1978-06-12 23:36:42,40.7000,23.3000,33,4.8,30.8 km ENE of Thessaloniki
1978-06-12 17:44:45,40.7000,23.2000,33,4.1,22.6 km ENE of Thessaloniki
1978-05-26 05:53:18,40.7000,23.4000,33,4.0,36.3 km N of Poliyiros
1978-05-24 05:57:27,40.7000,23.4000,33,4.2,36.3 km N of Poliyiros
1978-05-24 02:12:28,40.7000,23.4000,33,4.1,36.3 km N of Poliyiros
1978-05-23 23:34:11,40.7000,23.3000,33,5.4,30.8 km ENE of Thessaloniki
1978-05-13 08:35:33,40.8000,23.4000,33,4.1,34.2 km SSW of Serres
1978-05-10 13:12:48,40.7000,23.4000,33,4.3,36.3 km N of Poliyiros
1978-05-08 14:38:54,40.7000,23.4000,33,4.2,36.3 km N of Poliyiros
1974-09-13 18:24:58,40.4000,23.5000,10,4.0,5.9 km ENE of Poliyiros
1974-06-22 23:30:11,41.2000,23.1000,10,4.7,30.1 km NE of Kilkis
1972-12-13 02:58:50,41.5000,24.0000,10,4.3,40.1 km NNW of Drama
1972-07-18 13:45:48,41.4000,23.9000,10,4.1,33.9 km NW of Drama
1972-07-08 05:46:09,41.7000,23.5000,10,4.1,68.4 km N of Serres
1972-05-23 03:14:27,41.7000,23.7000,10,4.2,69.5 km N of Serres
1972-05-09 13:38:10,41.7000,23.6000,10,4.1,68.5 km N of Serres
1972-05-08 09:20:51,41.8000,23.5000,10,5.0,79.6 km N of Serres
1972-05-08 08:58:10,41.7000,23.6000,10,4.3,68.5 km N of Serres
1972-03-01 22:30:00,41.8000,23.9000,10,4.0,74.5 km NNW of Drama
1970-04-16 23:11:44,40.8000,23.7000,10,4.0,34.2 km SSE of Serres
1970-04-16 22:39:30,40.7000,23.6000,10,4.7,38.7 km NNE of Poliyiros
1967-08-03 22:55:39,41.1000,24.2000,10,4.1,7.9 km SE of Drama
