Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-08-28 16:29:55,34.9017,24.2194,14,5.2,56.4 km SSW of Rethimnon
2024-08-13 01:35:39,34.7406,24.9042,5,4.3,68.2 km SSW of Iraklion
2024-08-07 08:47:53,34.7502,24.9019,5,4.5,67.2 km SSW of Iraklion
2024-08-07 08:23:52,34.8280,24.9019,6,4.8,59.1 km SSW of Iraklion
2024-08-07 08:21:58,34.7758,24.8735,6,4.1,65.4 km SSW of Iraklion
2024-07-26 16:02:27,35.6406,25.6174,14,4.5,56.3 km NE of Iraklion
2024-07-02 19:34:32,34.6628,24.7879,6,4.6,80.0 km SSW of Iraklion
2024-07-02 18:52:11,34.7841,24.8048,5,4.4,67.1 km SSW of Iraklion
2024-06-12 04:32:51,35.7880,25.6110,15,4.0,67.4 km NE of Iraklion
2024-06-11 06:17:43,35.1567,25.2214,12,4.2,20.5 km SSE of Iraklion
2024-04-29 04:24:37,35.7692,25.5519,12,4.2,62.4 km NE of Iraklion
2024-04-29 02:07:57,35.7660,25.5121,15,4.0,60.0 km NE of Iraklion
2023-10-14 08:00:04,34.7401,24.3352,18,4.0,70.6 km S of Rethimnon
2023-08-28 22:10:19,35.7761,25.5276,8,4.1,61.7 km NE of Iraklion
2023-05-21 04:36:05,35.0258,24.8039,20,4.2,44.6 km SW of Iraklion
2023-05-20 00:48:13,35.0253,24.8209,5,4.4,43.6 km SW of Iraklion
2023-05-18 23:52:54,34.9814,24.8227,18,4.3,47.4 km SW of Iraklion
2023-05-18 18:58:52,34.9956,24.8378,8,5.1,45.3 km SW of Iraklion
2023-05-17 19:55:55,34.9960,24.8447,8,4.2,44.9 km SW of Iraklion
2023-03-30 19:23:02,34.7800,25.3537,5,4.2,63.9 km SSE of Iraklion
2023-02-18 17:32:57,35.7500,25.4292,27,4.7,54.4 km NNE of Iraklion
2023-01-13 03:31:35,34.6312,25.3203,9,4.1,79.1 km SSE of Iraklion
2023-01-10 18:11:11,35.5696,25.8183,6,4.1,68.0 km ENE of Iraklion
2023-01-09 22:59:58,35.5513,25.7945,16,4.1,65.2 km ENE of Iraklion
2023-01-09 07:11:58,35.5673,25.7968,13,4.1,66.1 km ENE of Iraklion
2023-01-02 19:06:24,35.5650,25.7927,11,4.1,65.7 km ENE of Iraklion
