Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-09-28 12:18:14,37.3155,21.2599,18,4.4,44.2 km SSW of Pyrgos
2024-09-22 18:27:43,37.8209,21.8340,14,4.0,33.9 km SW of Kalavrita
2024-04-24 20:18:29,36.2943,22.3325,7,4.0,61.6 km W of Kithira
2024-03-29 07:12:48,37.2098,21.1935,30,5.8,57.3 km SSW of Pyrgos
2024-03-29 07:11:54,37.1970,21.1880,28,4.1,58.8 km SSW of Pyrgos
2024-01-16 05:20:51,37.2844,22.9655,14,4.8,16.2 km NE of Leonidhion
2023-12-03 08:38:00,37.4533,22.2299,69,4.1,14.6 km WSW of Tripolis
2023-02-03 12:44:13,36.6508,21.6252,6,4.1,19.6 km SSW of Methoni
2023-01-03 20:49:05,36.3803,22.0010,5,4.1,55.5 km SSE of Methoni
2023-01-02 05:28:07,36.3574,21.7090,17,4.3,51.1 km S of Methoni
2022-12-29 21:12:00,36.3931,22.0541,6,4.3,56.7 km SE of Methoni
2022-09-16 12:58:08,37.4350,21.3071,20,4.1,30.4 km SSW of Pyrgos
2022-04-04 04:39:43,36.3556,22.0953,23,4.1,62.2 km SE of Methoni
2022-03-21 07:39:48,36.5588,21.7639,24,4.1,29.2 km SSE of Methoni
2021-12-03 19:33:34,37.1159,21.4815,16,4.1,38.5 km NNW of Methoni
2021-08-05 08:49:30,37.6414,21.5419,17,4.0,9.3 km ESE of Pyrgos
2020-11-18 23:10:59,37.1965,21.5977,10,4.3,43.2 km NNW of Methoni
2020-03-09 22:19:31,37.6840,21.3785,20,4.1,6.3 km W of Pyrgos
2019-11-23 03:43:32,37.0107,23.1606,17,4.0,32.3 km ESE of Leonidhion
2019-11-17 17:14:24,36.9905,23.1175,28,4.1,30.6 km SE of Leonidhion
2019-08-09 21:39:42,37.2208,21.2119,6,4.5,55.6 km SSW of Pyrgos
2019-04-25 11:04:22,37.3389,22.1045,11,4.1,30.8 km SW of Tripolis
2019-02-17 19:07:41,36.5634,22.9788,15,4.6,34.9 km N of Kithira
2019-01-17 03:36:30,36.4547,22.3450,11,4.3,64.4 km WNW of Kithira
2018-12-19 19:35:52,36.5958,21.4623,43,4.8,32.4 km SW of Methoni
2018-11-17 20:33:18,37.5293,21.7400,32,4.1,30.8 km SE of Pyrgos
2018-09-27 10:21:50,36.6632,21.5021,14,5.2,24.5 km SW of Methoni
2018-08-02 06:56:53,36.7584,21.3080,6,4.3,35.5 km W of Methoni
2018-06-25 05:14:47,36.6833,21.3745,5,5.2,32.6 km WSW of Methoni
2018-06-05 08:52:40,36.6273,22.6707,9,4.6,52.1 km NW of Kithira
2018-05-16 22:30:04,36.5508,22.9230,13,4.6,34.4 km NNW of Kithira
2018-02-24 07:51:44,36.3052,22.1219,6,4.1,68.2 km SSE of Methoni
2017-11-24 18:51:43,36.8090,21.4415,26,4.5,23.0 km W of Methoni
2017-06-16 23:42:45,36.8092,23.0175,59,4.8,42.5 km SSE of Leonidhion
2016-12-27 19:31:06,36.5600,22.9600,10,4.4,34.7 km N of Kithira
2016-12-02 11:46:02,36.5500,21.5200,5,4.4,33.7 km SSW of Methoni
2016-09-28 07:17:34,36.7300,21.8700,56,5.0,17.9 km ESE of Methoni
2016-05-15 21:27:31,36.7100,22.9100,17,4.2,51.2 km S of Leonidhion
2016-02-15 18:55:00,37.5900,21.7200,24,5.2,25.9 km ESE of Pyrgos
2015-10-25 15:46:03,37.5700,22.0600,12,4.0,29.0 km WNW of Tripolis
2015-06-30 06:07:24,36.6900,21.4000,18,4.4,30.2 km WSW of Methoni
2015-01-13 11:19:08,36.4400,22.7900,73,4.7,29.3 km NW of Kithira
2014-10-04 00:12:01,37.4100,22.2000,20,4.4,19.3 km SW of Tripolis
2014-03-18 10:43:01,37.7000,21.3900,24,4.0,5.6 km WNW of Pyrgos
2014-01-29 21:04:09,37.0800,21.8800,29,4.3,21.3 km WNW of Kalamata
2013-12-10 15:24:30,36.3600,21.5900,26,4.0,51.7 km S of Methoni
2013-11-27 14:21:15,37.3300,23.0100,25,4.4,22.6 km NE of Leonidhion
2013-10-23 15:38:30,37.7000,21.3900,23,4.0,5.6 km WNW of Pyrgos
2013-10-10 12:26:49,36.3700,22.0300,39,4.2,57.7 km SSE of Methoni
2013-07-31 10:36:20,36.5900,21.4800,28,4.1,31.9 km SW of Methoni
2013-06-18 17:18:25,36.9100,22.1100,21,4.0,14.3 km S of Kalamata
2013-06-06 11:53:46,36.7400,21.8600,39,5.0,16.6 km ESE of Methoni
2013-04-28 16:31:04,37.4500,22.7000,61,4.3,15.8 km SW of Nafplio
2013-04-24 20:12:35,36.7500,22.9700,22,4.1,47.7 km SSE of Leonidhion
2013-02-17 05:42:06,36.6000,21.5900,31,4.9,26.0 km SSW of Methoni
2012-12-06 17:48:15,36.9300,23.0800,20,4.3,33.2 km SE of Leonidhion
2012-12-04 18:59:42,36.9200,23.0800,25,4.3,34.1 km SE of Leonidhion
2012-05-07 07:40:37,36.6300,21.5500,31,4.1,24.7 km SSW of Methoni
2012-04-16 15:06:54,36.6600,21.6700,34,4.4,17.6 km S of Methoni
2012-04-16 12:02:16,36.6200,21.6500,36,4.2,22.3 km SSW of Methoni
2012-04-16 11:23:42,36.6600,21.5400,33,5.2,22.5 km SW of Methoni
2012-02-22 02:23:13,37.4500,21.6600,15,4.2,31.9 km SE of Pyrgos
2012-01-24 21:40:27,36.7800,21.7200,22,4.0,4.4 km SSE of Methoni
2011-10-10 19:07:00,37.1900,22.0400,11,4.5,18.0 km NNW of Kalamata
2011-09-14 03:35:27,37.1900,22.0500,10,4.5,17.7 km NNW of Kalamata
2011-08-14 01:05:01,37.2500,22.0000,14,4.5,25.6 km NNW of Kalamata
2011-07-21 16:44:31,36.7800,21.8100,41,4.0,10.6 km ESE of Methoni
2011-07-14 08:41:55,37.8300,22.6200,82,4.0,29.9 km WSW of Korinthos
2011-07-03 08:49:13,36.6100,22.9100,24,4.0,41.0 km NNW of Kithira
2011-06-01 17:18:56,36.3500,22.2500,27,4.3,69.7 km W of Kithira
2011-04-15 03:18:28,36.6600,22.9700,18,4.2,45.6 km N of Kithira
2011-02-11 17:16:17,36.7000,21.4900,31,4.0,22.8 km SW of Methoni
2010-07-13 03:18:10,36.2300,21.7400,45,4.7,65.3 km S of Methoni
2010-06-27 13:10:09,37.5200,22.9400,79,4.1,12.6 km ESE of Nafplio
2010-01-20 16:55:18,37.1800,22.1200,10,4.2,15.7 km N of Kalamata
2009-08-06 04:57:44,37.4900,22.0300,16,4.2,30.9 km W of Tripolis
2009-06-25 20:08:22,36.7500,21.5100,24,4.1,18.5 km WSW of Methoni
2009-06-05 14:38:42,36.5200,21.7500,37,4.1,33.3 km S of Methoni
2009-05-23 04:47:37,36.4000,21.7000,13,4.5,46.3 km S of Methoni
2009-05-13 19:46:49,36.2700,21.8500,39,4.2,62.2 km SSE of Methoni
2009-04-11 23:41:16,37.1200,22.7700,86,4.1,9.3 km SW of Leonidhion
2009-04-05 17:38:21,36.4200,21.6900,13,4.0,44.1 km S of Methoni
2009-03-17 08:07:21,36.9900,22.1700,12,4.2,7.4 km SE of Kalamata
2009-01-11 10:50:04,37.6100,22.6500,67,4.2,14.8 km WNW of Nafplio
2009-01-04 05:10:35,36.8200,22.1300,14,4.0,24.4 km S of Kalamata
2008-12-28 17:32:00,37.2100,22.1400,5,4.2,19.2 km N of Kalamata
2008-12-14 15:52:54,36.5900,21.6700,30,4.2,25.3 km S of Methoni
2008-10-07 23:24:57,36.4000,22.8800,59,4.1,20.6 km NW of Kithira
2008-07-31 08:38:51,36.5800,21.4900,34,4.1,32.3 km SW of Methoni
2008-06-22 07:22:46,36.1900,21.9300,16,4.5,72.7 km SSE of Methoni
2008-06-22 00:40:10,36.1700,21.9800,22,4.2,76.1 km SSE of Methoni
2008-06-18 01:58:42,37.6700,22.7800,83,5.1,12.1 km NNW of Nafplio
2008-05-10 20:53:04,36.3000,22.2400,57,5.1,70.0 km W of Kithira
2008-03-21 18:06:13,36.2800,21.6100,8,4.1,60.2 km S of Methoni
2008-03-19 11:56:35,36.4000,21.7400,11,4.2,46.5 km S of Methoni
2008-03-07 10:30:54,36.4000,21.6600,44,4.1,46.5 km S of Methoni
2008-03-06 09:34:07,36.2000,21.7100,9,4.4,68.6 km S of Methoni
2008-03-04 00:53:37,36.3000,21.8200,19,4.1,58.4 km S of Methoni
2008-03-04 00:26:41,36.2900,21.7600,15,4.2,58.8 km S of Methoni
2008-03-03 08:27:37,36.4900,21.5200,16,4.2,39.7 km SSW of Methoni
2008-03-01 15:17:20,36.3100,21.7700,3,4.0,56.7 km S of Methoni
2008-02-25 06:16:25,36.3400,21.7800,11,4.2,53.5 km S of Methoni
2008-02-21 18:49:03,36.2800,21.6400,35,4.2,59.9 km S of Methoni
2008-02-21 05:55:38,36.2500,21.6700,8,4.0,63.1 km S of Methoni
2008-02-20 19:40:30,36.2100,21.6900,13,4.0,67.5 km S of Methoni
2008-02-19 23:15:40,36.1900,21.7700,22,5.1,70.0 km S of Methoni
2008-02-14 17:26:43,36.3000,21.7200,78,4.6,57.5 km S of Methoni
2008-02-14 12:08:55,36.2200,21.7500,38,6.1,66.5 km S of Methoni
2008-02-14 10:09:23,36.5000,21.7800,41,6.2,35.9 km SSE of Methoni
2008-01-11 12:56:22,37.1100,22.7600,79,4.3,10.7 km SW of Leonidhion
2008-01-06 05:14:19,37.1100,22.7800,86,6.1,9.3 km SW of Leonidhion
2007-08-28 09:05:33,37.7300,21.6500,59,4.2,18.3 km ENE of Pyrgos
2007-06-25 15:33:04,36.5900,21.2400,17,4.0,48.1 km WSW of Methoni
2007-06-07 19:24:26,37.2000,21.0600,14,4.3,63.8 km SSW of Pyrgos
2007-05-04 15:31:28,37.1600,23.0500,21,4.0,17.3 km E of Leonidhion
2007-02-12 20:35:17,36.6200,21.4500,39,4.0,31.2 km SW of Methoni
2006-11-24 17:16:58,37.1600,21.5800,12,4.1,39.6 km NNW of Methoni
2006-09-30 22:46:08,36.9800,21.5000,23,4.2,25.4 km NW of Methoni
2006-05-26 06:20:11,36.5300,21.2500,24,4.1,51.3 km SW of Methoni
2005-09-16 10:00:27,37.2200,22.5500,84,4.1,19.5 km NNE of Sparti
2005-03-20 19:20:18,37.5200,22.0200,9,4.0,31.7 km W of Tripolis
2005-03-20 00:51:01,37.4800,22.0100,19,4.0,32.8 km W of Tripolis
2005-01-26 15:04:55,37.6200,22.0200,15,4.0,34.0 km WNW of Tripolis
2005-01-26 14:56:43,37.6100,21.9800,23,4.0,37.0 km WNW of Tripolis
2005-01-08 14:18:54,37.1800,21.0900,16,4.2,64.4 km SSW of Pyrgos
2004-12-19 23:32:33,36.7000,21.3000,28,4.2,37.9 km WSW of Methoni
2004-11-29 06:23:53,36.8900,21.5500,43,4.2,15.6 km WNW of Methoni
2004-10-07 07:16:55,36.6000,22.7000,61,4.3,48.1 km NW of Kithira
2004-05-31 06:30:39,37.1000,21.5100,16,4.5,35.7 km NNW of Methoni
2004-05-30 06:59:08,37.0900,21.5000,17,4.6,35.2 km NNW of Methoni
2004-03-01 00:35:57,37.1900,22.1400,14,5.0,17.0 km N of Kalamata
2003-04-29 01:51:20,36.8300,21.7200,67,5.0,2.3 km NE of Methoni
2003-04-11 23:53:47,37.5800,22.6700,85,4.3,12.3 km W of Nafplio
2003-02-09 09:47:38,36.2300,21.6700,93,4.3,65.3 km S of Methoni
2003-02-07 17:03:38,37.1300,22.1400,13,4.0,10.4 km NNE of Kalamata
2002-10-02 22:15:12,37.0800,21.0400,14,4.0,65.6 km WNW of Methoni
2002-07-28 14:33:44,37.6200,22.6500,74,4.0,15.2 km WNW of Nafplio
2002-06-17 04:43:54,36.7700,22.1700,8,4.2,30.3 km S of Kalamata
2002-01-26 20:24:58,37.1100,21.0100,5,4.2,69.4 km WNW of Methoni
2002-01-26 11:03:50,37.1500,21.0400,5,4.0,69.4 km WNW of Methoni
2002-01-01 22:15:57,37.2900,21.8300,5,4.1,37.6 km NW of Kalamata
2001-11-02 09:14:34,36.1800,22.2500,5,4.0,69.4 km W of Kithira
2001-09-16 02:00:48,37.2900,21.8300,5,5.2,37.6 km NW of Kalamata
2001-09-07 11:05:18,36.2700,22.5900,59,4.1,38.4 km W of Kithira
2001-04-06 01:27:21,37.7100,22.7300,78,4.2,17.7 km NNW of Nafplio
2000-11-26 21:11:36,37.0300,23.0900,5,4.1,25.9 km SE of Leonidhion
2000-09-28 14:35:20,37.0300,23.2000,2,4.1,34.2 km ESE of Leonidhion
2000-07-25 19:33:59,37.3100,21.9100,5,4.8,35.2 km NNW of Kalamata
2000-06-18 03:35:01,36.2200,22.2700,31,4.0,67.2 km W of Kithira
1999-11-04 02:08:11,37.4500,21.3200,12,4.9,28.4 km SSW of Pyrgos
1999-08-17 01:53:49,36.2500,21.7000,36,4.1,63.0 km S of Methoni
1999-04-26 10:29:55,37.1500,21.1000,5,4.0,64.9 km NW of Methoni
1999-04-24 02:04:12,37.3500,21.1000,5,4.4,48.2 km SW of Pyrgos
1999-04-14 12:43:37,37.7400,22.3200,86,4.2,26.2 km NNW of Tripolis
1999-03-12 19:50:31,37.0900,21.1200,5,4.1,59.8 km WNW of Methoni
1999-03-10 20:33:48,37.4700,21.6300,5,4.1,28.5 km SE of Pyrgos
1999-03-08 05:10:16,37.5800,21.7100,5,4.4,25.6 km ESE of Pyrgos
1999-02-26 13:14:37,37.1800,21.1200,5,4.1,63.1 km SSW of Pyrgos
1999-02-21 00:13:20,37.2400,21.1500,5,4.0,56.0 km SSW of Pyrgos
1999-02-19 01:01:54,37.1400,21.0300,5,4.4,69.5 km WNW of Methoni
1998-11-25 12:57:23,37.2600,21.1400,5,4.3,54.4 km SSW of Pyrgos
1998-11-24 11:54:25,36.5300,21.4800,29,4.2,37.4 km SSW of Methoni
1998-11-01 02:26:13,36.4500,22.1500,9,4.1,57.2 km SE of Methoni
1998-10-16 22:47:10,37.2700,21.3100,5,4.1,47.6 km SSW of Pyrgos
1998-10-06 16:44:23,37.1400,21.1300,5,4.3,62.1 km NW of Methoni
1998-10-06 12:27:43,37.1900,21.1300,5,5.2,61.7 km SSW of Pyrgos
1998-09-23 20:41:17,37.3700,21.4200,5,4.0,34.9 km S of Pyrgos
1998-07-23 03:37:32,37.1400,21.1700,5,4.2,59.2 km NW of Methoni
1998-07-13 02:48:40,37.2200,21.1600,5,4.1,57.5 km SSW of Pyrgos
1998-07-04 03:58:19,37.3300,22.0100,5,4.0,33.7 km NNW of Kalamata
1998-04-09 22:28:23,36.5600,21.3900,32,4.2,39.7 km SW of Methoni
1998-01-07 19:22:54,37.5400,21.4400,3,4.0,16.0 km S of Pyrgos
1997-11-24 05:30:39,37.5000,21.5300,5,4.1,21.6 km SSE of Pyrgos
1997-11-20 05:06:02,37.1600,21.1600,6,4.0,61.3 km NW of Methoni
1997-11-19 06:10:31,37.1600,21.0800,5,4.1,66.7 km SSW of Pyrgos
1997-11-18 22:59:41,37.2600,21.0400,7,4.6,59.4 km SW of Pyrgos
1997-11-18 15:23:32,37.2500,21.1600,16,5.0,54.6 km SSW of Pyrgos
1997-11-18 14:03:36,37.2300,21.2700,35,4.0,52.9 km SSW of Pyrgos
1997-11-18 13:56:24,37.4100,21.2500,10,4.8,35.1 km SSW of Pyrgos
1997-11-18 13:31:18,37.1900,21.4000,38,4.2,49.3 km NNW of Methoni
1997-11-02 06:32:29,36.2400,22.0600,5,4.3,71.7 km SSE of Methoni
1997-10-14 03:04:40,36.5600,22.4000,13,4.2,57.1 km S of Sparti
1997-10-13 13:39:39,36.4100,22.1800,6,5.6,62.3 km SE of Methoni
1997-04-26 22:18:34,37.1600,21.3900,9,4.5,47.1 km NW of Methoni
1997-04-07 04:31:53,37.4800,22.1500,2,4.0,20.5 km W of Tripolis
1996-10-24 03:19:01,36.7400,21.3500,1,4.5,32.3 km WSW of Methoni
1996-10-22 06:48:10,36.8400,21.4200,1,4.3,25.1 km W of Methoni
1996-10-10 18:22:57,36.8000,21.4700,3,4.3,20.6 km W of Methoni
1996-10-10 17:47:54,36.7600,21.4000,1,4.3,27.4 km WSW of Methoni
1996-10-10 11:26:41,36.6700,21.3800,31,4.2,32.8 km WSW of Methoni
1996-10-10 10:42:32,36.7600,21.4000,2,4.4,27.4 km WSW of Methoni
1996-10-09 09:46:33,36.7800,21.4600,33,4.7,21.8 km W of Methoni
1996-10-08 02:55:50,36.7900,21.3900,1,4.4,27.8 km W of Methoni
1996-08-11 11:43:44,37.6600,21.3700,1,4.4,7.5 km WSW of Pyrgos
1996-03-22 23:06:38,36.7800,21.7600,1,4.0,6.7 km SE of Methoni
1995-10-01 06:22:39,36.8800,21.4000,30,4.6,27.6 km WNW of Methoni
1994-09-05 05:09:49,37.8000,21.8500,63,4.0,34.6 km SW of Kalavrita
1994-02-11 03:49:05,36.5100,21.5100,23,4.3,38.1 km SSW of Methoni
1993-09-02 14:10:09,37.0700,21.5100,5,4.5,32.8 km NNW of Methoni
1993-04-29 07:54:29,37.5400,21.3000,1,4.4,20.7 km SW of Pyrgos
1993-03-30 19:08:57,37.7200,21.4400,1,4.1,4.2 km NNW of Pyrgos
1993-03-26 11:58:18,37.6500,21.4400,1,5.0,3.8 km SSW of Pyrgos
1993-03-26 11:46:12,37.5700,21.4800,1,4.1,12.9 km SSE of Pyrgos
1993-03-26 11:45:15,37.6400,21.3900,1,4.5,7.1 km SW of Pyrgos
1993-03-25 05:44:09,37.6700,21.3900,1,4.0,5.5 km WSW of Pyrgos
1993-03-05 06:55:06,37.0700,21.4600,1,5.3,35.3 km NW of Methoni
1993-02-12 21:37:55,37.5600,22.6500,72,4.4,13.9 km W of Nafplio
1992-11-21 00:23:47,36.6100,21.3400,23,4.1,39.5 km SW of Methoni
1992-10-30 06:09:53,37.1300,21.4300,32,4.4,42.3 km NW of Methoni
1992-10-30 04:56:28,37.3100,21.6800,1,4.1,46.2 km SSE of Pyrgos
1992-07-27 07:45:52,37.5800,22.6600,68,4.2,13.1 km W of Nafplio
1991-10-21 18:27:09,37.2300,21.1400,1,4.1,57.4 km SSW of Pyrgos
1991-09-27 19:30:19,37.1800,21.0900,4,4.2,64.4 km SSW of Pyrgos
1991-06-01 05:42:01,36.9700,21.9100,1,4.2,19.7 km WSW of Kalamata
1990-12-15 15:59:24,36.8800,21.1800,33,4.1,46.8 km W of Methoni
1990-08-08 00:35:07,37.1600,22.0800,1,4.3,13.8 km NNW of Kalamata
1990-07-31 06:49:33,37.1800,21.4900,42,4.6,44.5 km NNW of Methoni
1990-06-14 22:15:18,36.6100,21.4200,21,4.4,33.9 km SW of Methoni
1989-12-08 17:07:50,37.3900,21.1700,1,4.0,40.9 km SW of Pyrgos
1989-09-25 07:38:12,36.8000,21.5100,33,4.1,17.0 km W of Methoni
1989-09-25 07:35:45,36.8400,21.6400,1,4.2,5.9 km WNW of Methoni
