Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2023-03-23 01:43:18,40.4256,20.7582,13,4.4,41.9 km N of Konitsa
2023-02-01 10:53:20,40.0923,22.7596,16,4.1,29.6 km SE of Katerini
2022-08-23 06:36:22,39.6858,22.1919,12,4.3,20.3 km WNW of Larissa
2022-01-11 17:44:09,40.8348,21.3872,9,4.0,5.8 km N of Florina
2022-01-11 15:14:30,40.8316,21.3510,10,4.3,6.8 km NW of Florina
2022-01-09 21:53:19,40.8641,21.4265,9,4.2,9.3 km NNE of Florina
2022-01-09 21:43:47,40.7790,21.3826,14,5.3,1.5 km WSW of Florina
2021-12-24 11:41:47,39.8131,22.0482,8,4.0,37.4 km WNW of Larissa
2021-06-01 15:56:14,39.8112,22.0601,11,4.5,36.4 km WNW of Larissa
2021-05-11 21:31:01,40.4745,20.9921,7,4.8,23.7 km WSW of Kastoria
2021-03-23 00:08:03,40.1299,21.0054,14,4.3,23.0 km ENE of Konitsa
2021-03-21 17:15:53,39.7801,22.0903,10,4.1,32.4 km WNW of Larissa
2021-03-15 15:43:37,39.7581,22.1159,7,4.4,29.3 km WNW of Larissa
2021-03-13 15:09:13,39.8158,22.0372,7,4.1,37.0 km NE of Trikala
2021-03-12 12:57:50,39.8392,22.0139,7,5.3,38.0 km NNE of Trikala
2021-03-11 14:19:40,39.7801,22.0811,6,4.0,33.1 km WNW of Larissa
2021-03-06 19:47:40,39.8387,22.0738,6,4.1,37.1 km NW of Larissa
2021-03-06 16:36:17,39.6730,22.2505,8,4.2,15.1 km WNW of Larissa
2021-03-05 10:01:14,39.7801,22.0775,8,4.1,33.3 km WNW of Larissa
2021-03-05 09:59:59,39.8524,22.0308,9,4.1,40.0 km NE of Trikala
2021-03-04 20:03:08,39.7472,22.1581,6,4.2,25.5 km WNW of Larissa
2021-03-04 19:31:32,39.8227,22.0505,7,4.3,37.8 km WNW of Larissa
2021-03-04 19:23:51,39.8378,21.9438,9,5.1,34.8 km NNE of Trikala
2021-03-04 18:45:26,39.8483,22.0816,6,4.1,37.3 km NW of Larissa
2021-03-04 18:38:19,39.7993,22.1260,5,5.9,31.0 km NW of Larissa
2021-03-04 11:10:08,39.7417,22.0619,8,4.0,32.6 km NE of Trikala
2021-03-04 09:36:15,39.7911,22.1297,6,4.4,30.2 km NW of Larissa
2021-03-04 02:43:38,39.7362,22.2597,5,4.1,17.6 km NW of Larissa
2021-03-03 21:00:54,39.7563,22.1324,6,4.0,28.0 km WNW of Larissa
2021-03-03 18:49:49,39.7417,22.1278,9,4.2,27.6 km WNW of Larissa
2021-03-03 18:24:08,39.7316,22.1013,6,5.2,29.2 km WNW of Larissa
2021-03-03 11:49:03,39.7041,22.2789,8,4.5,14.2 km WNW of Larissa
2021-03-03 11:45:45,39.6996,22.2478,7,5.0,16.3 km WNW of Larissa
2021-03-03 11:35:57,39.7000,22.2318,6,4.8,17.6 km WNW of Larissa
2021-03-03 11:19:02,39.7458,22.2189,9,4.0,21.0 km NW of Larissa
2021-03-03 11:12:22,39.7755,22.2130,6,4.3,23.5 km NW of Larissa
2021-03-03 10:34:08,39.7270,22.2835,8,4.9,15.4 km NW of Larissa
2021-03-03 10:26:18,39.6703,22.2020,8,4.1,19.0 km W of Larissa
2021-03-03 10:23:08,39.6927,22.1640,8,4.1,22.8 km WNW of Larissa
2021-03-03 10:21:37,39.7343,22.2194,8,4.6,20.3 km WNW of Larissa
2021-03-03 10:20:46,39.6991,22.1576,8,4.7,23.5 km WNW of Larissa
2021-03-03 10:19:54,39.7966,22.1013,9,4.6,32.5 km WNW of Larissa
2021-03-03 10:16:08,39.7600,22.2102,8,5.9,22.6 km NW of Larissa
2020-08-10 02:07:52,40.5588,22.5668,14,4.1,30.9 km E of Veria
2020-04-15 12:20:37,40.5423,21.8033,11,4.2,24.4 km NNE of Kozani
2019-07-31 14:21:22,40.5606,20.8878,9,4.4,32.4 km W of Kastoria
2019-07-14 10:50:13,40.2141,21.7589,12,4.6,13.7 km SSE of Kozani
2019-06-29 13:01:18,40.5185,20.8658,5,4.3,33.9 km W of Kastoria
2019-06-01 18:50:14,40.4141,20.8047,6,4.2,40.7 km WSW of Kastoria
2019-06-01 07:00:26,40.5057,20.7230,6,4.8,46.0 km W of Kastoria
2019-06-01 04:51:58,40.5295,20.8914,7,4.3,31.8 km W of Kastoria
2019-06-01 04:33:07,40.5579,20.9070,5,4.7,30.7 km W of Kastoria
2019-06-01 04:26:18,40.5222,20.7706,6,5.0,41.9 km W of Kastoria
2017-11-22 22:37:35,40.5077,22.5225,6,4.2,26.3 km N of Katerini
2017-10-14 09:55:38,40.8485,21.3218,6,4.0,9.8 km NW of Florina
2015-08-26 20:41:55,40.7100,21.2400,25,4.0,15.8 km WSW of Florina
2015-08-24 04:25:20,40.7000,21.2700,16,4.0,14.3 km SW of Florina
2014-09-17 12:33:22,40.7800,21.2600,17,4.2,11.8 km W of Florina
2014-02-26 01:42:50,40.2300,21.6400,25,4.0,13.2 km SSW of Kozani
2013-07-03 13:28:23,40.1400,21.8700,20,4.6,25.1 km SSE of Kozani
2013-07-02 10:45:21,40.1200,21.8500,22,4.7,26.3 km SSE of Kozani
2013-02-17 16:48:48,40.7900,21.3800,19,4.0,1.8 km WNW of Florina
2012-09-22 06:15:57,40.1600,20.8300,17,4.5,13.9 km NNE of Konitsa
2012-06-17 19:20:42,40.5400,21.6400,24,4.2,23.9 km NNW of Kozani
2012-05-12 22:48:11,40.5700,22.8500,25,4.1,11.1 km SW of Thessaloniki
2010-12-11 04:55:30,40.6300,21.4800,24,4.0,18.3 km SSE of Florina
2010-10-23 06:17:41,39.9600,21.4200,20,4.5,13.7 km S of Grevena
2010-09-11 15:47:11,40.6700,20.8700,20,4.1,37.6 km WNW of Kastoria
2009-04-14 15:15:14,40.5500,21.2300,23,4.0,4.8 km NW of Kastoria
2008-08-28 03:31:11,40.7600,20.7700,6,4.0,49.9 km WNW of Kastoria
2007-09-01 17:19:54,40.1400,21.6200,18,4.0,18.4 km ENE of Grevena
2007-07-31 03:33:05,40.6100,21.5000,17,4.1,21.0 km SSE of Florina
2007-07-19 04:25:26,40.1300,21.6700,18,4.0,22.2 km ENE of Grevena
2007-07-18 19:09:29,40.5900,22.8000,20,4.0,13.4 km WSW of Thessaloniki
2007-07-17 18:23:20,40.1600,21.6100,22,4.9,18.5 km ENE of Grevena
2006-05-18 02:25:27,40.2300,22.5400,19,4.1,5.6 km SE of Katerini
2006-02-03 00:00:27,40.4400,21.3100,25,4.0,9.3 km SSE of Kastoria
2006-02-02 23:54:47,40.4500,21.3200,26,4.2,8.7 km SSE of Kastoria
2005-12-04 04:13:54,40.3300,20.6500,13,4.2,32.6 km NNW of Konitsa
2005-09-15 03:30:21,39.7000,20.9600,14,4.1,10.0 km ENE of Ioannina
2004-11-23 02:59:17,40.2000,20.6700,11,4.1,18.4 km NNW of Konitsa
2004-08-21 12:54:03,40.8200,21.0400,18,4.2,30.6 km W of Florina
2004-07-26 08:26:11,40.6500,20.9500,10,4.1,30.6 km WNW of Kastoria
2003-12-07 15:40:17,39.8600,20.8400,63,4.2,21.4 km N of Ioannina
2003-10-29 21:15:47,40.7100,22.8300,25,4.3,12.3 km NW of Thessaloniki
2003-08-23 14:09:21,40.5900,21.0100,19,4.0,23.2 km WNW of Kastoria
2003-06-09 07:06:40,39.9400,22.3500,18,5.0,34.2 km N of Larissa
2002-04-25 07:28:09,40.5900,20.8400,9,4.2,37.0 km WNW of Kastoria
2001-10-06 07:26:00,40.6400,21.0300,5,4.4,24.2 km NW of Kastoria
2001-10-02 02:26:50,40.2100,20.6500,5,4.0,20.1 km NNW of Konitsa
1999-05-08 07:21:28,40.2700,20.6500,5,4.3,26.2 km NNW of Konitsa
1999-04-12 17:16:31,40.3400,21.5800,16,4.0,11.6 km W of Kozani
1998-06-20 11:40:25,40.0900,21.7100,5,4.0,25.0 km E of Grevena
1998-04-12 23:53:39,40.1500,21.2200,5,4.2,18.3 km WNW of Grevena
1997-09-19 12:00:28,40.0500,21.3800,11,4.9,4.8 km SW of Grevena
1997-08-22 03:17:48,40.1400,21.6700,12,4.3,21.9 km S of Kozani
1997-08-16 09:14:25,40.6300,21.8900,5,4.0,23.1 km SW of Edhessa
1997-02-13 20:10:22,40.2400,21.6100,12,4.1,13.8 km SW of Kozani
1997-01-14 22:58:18,40.5300,20.9000,5,4.1,31.0 km W of Kastoria
1996-12-22 02:34:18,40.9300,21.2900,11,4.1,18.8 km NNW of Florina
1996-11-22 21:05:47,40.0000,20.8000,1,4.0,6.5 km SE of Konitsa
1996-10-10 19:07:47,40.2500,21.4400,1,4.4,18.6 km N of Grevena
1996-09-26 12:31:50,40.0800,20.8000,5,4.1,5.1 km NE of Konitsa
1996-09-06 13:47:34,39.9700,20.7300,1,4.1,9.0 km SSW of Konitsa
1996-08-20 01:26:50,40.1100,20.6800,1,4.8,9.4 km NW of Konitsa
1996-08-11 07:57:17,40.0600,20.7000,1,4.3,5.0 km WNW of Konitsa
1996-08-05 22:46:43,40.0700,20.6700,1,5.2,7.7 km WNW of Konitsa
1996-08-04 10:08:50,40.0300,20.7200,1,4.0,3.7 km WSW of Konitsa
1996-07-28 01:12:05,40.0300,20.6800,1,4.0,6.8 km WSW of Konitsa
1996-07-26 18:55:50,40.0500,20.6700,1,4.9,7.4 km W of Konitsa
1996-07-10 04:51:49,40.0600,20.6600,1,4.3,8.3 km W of Konitsa
1996-02-26 21:39:13,40.6100,21.6400,1,4.6,27.9 km SE of Florina
1996-02-26 15:30:17,40.6000,21.6800,1,4.0,29.8 km N of Kozani
1996-02-22 03:04:41,40.5800,21.6700,1,4.0,27.7 km N of Kozani
1996-02-18 17:45:03,40.6200,21.6200,1,4.1,26.0 km SE of Florina
1995-09-14 01:26:40,40.1700,21.5800,5,4.1,16.9 km NE of Grevena
1995-08-20 19:21:25,40.2900,21.8400,10,4.2,11.5 km ESE of Kozani
1995-07-28 22:43:31,40.2200,21.6800,7,4.1,13.0 km SSW of Kozani
1995-07-19 18:23:15,40.1100,21.7100,7,4.5,24.8 km S of Kozani
1995-07-18 20:19:10,40.1300,21.6800,6,4.0,22.8 km S of Kozani
1995-07-18 07:42:55,40.1400,21.6300,5,4.3,19.2 km ENE of Grevena
1995-07-18 05:05:34,40.1300,21.6600,5,4.0,21.3 km ENE of Grevena
1995-07-18 03:09:08,40.1500,21.6000,7,4.0,17.3 km ENE of Grevena
1995-07-17 23:18:16,40.1400,21.6100,7,4.9,17.6 km ENE of Grevena
1995-06-19 15:00:22,40.0600,21.8700,8,4.0,33.1 km SSE of Kozani
1995-06-19 04:41:33,40.1600,21.7400,5,4.0,19.4 km S of Kozani
1995-06-19 03:54:00,40.0700,21.8900,5,4.4,32.8 km SSE of Kozani
1995-06-18 17:28:10,40.0000,21.5100,5,4.1,12.2 km SE of Grevena
1995-06-11 18:51:48,39.9900,21.6700,5,4.3,23.9 km ESE of Grevena
1995-06-06 04:35:59,40.1700,21.6500,5,4.2,19.0 km SSW of Kozani
1995-05-30 14:30:02,39.9900,21.6300,5,4.0,20.9 km ESE of Grevena
1995-05-30 12:06:43,40.1100,21.6700,5,4.1,21.8 km E of Grevena
1995-05-24 06:24:09,40.0100,21.6000,5,4.0,17.6 km ESE of Grevena
1995-05-23 20:09:54,40.0300,21.6100,5,4.1,17.5 km ESE of Grevena
1995-05-23 04:37:40,40.1100,21.5500,5,4.0,11.7 km ENE of Grevena
1995-05-22 20:21:35,40.1300,21.6200,5,4.0,18.1 km ENE of Grevena
