Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-11-03 17:07:20,40.1505,23.2498,8,4.2,29.6 km SSW of Poliyiros
2024-11-03 17:03:51,40.1353,23.2475,15,5.2,31.1 km SSW of Poliyiros
2024-10-09 21:20:46,39.1786,21.6628,13,4.1,30.5 km SW of Karditsa
2024-03-02 13:47:05,39.1978,22.4382,82,4.0,33.1 km N of Lamia
2023-02-01 10:53:20,40.0923,22.7596,16,4.1,29.6 km SE of Katerini
2022-08-23 06:36:22,39.6858,22.1919,12,4.3,20.3 km WNW of Larissa
2021-12-24 11:41:47,39.8131,22.0482,8,4.0,37.4 km WNW of Larissa
2021-08-21 18:42:32,39.0047,22.0189,11,4.0,33.6 km NE of Karpenision
2021-06-01 15:56:14,39.8112,22.0601,11,4.5,36.4 km WNW of Larissa
2021-03-21 17:15:53,39.7801,22.0903,10,4.1,32.4 km WNW of Larissa
2021-03-15 15:43:37,39.7581,22.1159,7,4.4,29.3 km WNW of Larissa
2021-03-13 15:09:13,39.8158,22.0372,7,4.1,37.0 km NE of Trikala
2021-03-12 12:57:50,39.8392,22.0139,7,5.3,38.0 km NNE of Trikala
2021-03-11 14:19:40,39.7801,22.0811,6,4.0,33.1 km WNW of Larissa
2021-03-06 19:47:40,39.8387,22.0738,6,4.1,37.1 km NW of Larissa
2021-03-06 16:36:17,39.6730,22.2505,8,4.2,15.1 km WNW of Larissa
2021-03-05 10:01:14,39.7801,22.0775,8,4.1,33.3 km WNW of Larissa
2021-03-05 09:59:59,39.8524,22.0308,9,4.1,40.0 km NE of Trikala
2021-03-04 20:03:08,39.7472,22.1581,6,4.2,25.5 km WNW of Larissa
2021-03-04 19:31:32,39.8227,22.0505,7,4.3,37.8 km WNW of Larissa
2021-03-04 19:23:51,39.8378,21.9438,9,5.1,34.8 km NNE of Trikala
2021-03-04 18:45:26,39.8483,22.0816,6,4.1,37.3 km NW of Larissa
2021-03-04 18:38:19,39.7993,22.1260,5,5.9,31.0 km NW of Larissa
2021-03-04 11:10:08,39.7417,22.0619,8,4.0,32.6 km NE of Trikala
2021-03-04 09:36:15,39.7911,22.1297,6,4.4,30.2 km NW of Larissa
2021-03-04 02:43:38,39.7362,22.2597,5,4.1,17.6 km NW of Larissa
2021-03-03 21:00:54,39.7563,22.1324,6,4.0,28.0 km WNW of Larissa
2021-03-03 18:49:49,39.7417,22.1278,9,4.2,27.6 km WNW of Larissa
2021-03-03 18:24:08,39.7316,22.1013,6,5.2,29.2 km WNW of Larissa
2021-03-03 11:49:03,39.7041,22.2789,8,4.5,14.2 km WNW of Larissa
2021-03-03 11:45:45,39.6996,22.2478,7,5.0,16.3 km WNW of Larissa
2021-03-03 11:35:57,39.7000,22.2318,6,4.8,17.6 km WNW of Larissa
2021-03-03 11:19:02,39.7458,22.2189,9,4.0,21.0 km NW of Larissa
2021-03-03 11:12:22,39.7755,22.2130,6,4.3,23.5 km NW of Larissa
2021-03-03 10:34:08,39.7270,22.2835,8,4.9,15.4 km NW of Larissa
2021-03-03 10:26:18,39.6703,22.2020,8,4.1,19.0 km W of Larissa
2021-03-03 10:23:08,39.6927,22.1640,8,4.1,22.8 km WNW of Larissa
2021-03-03 10:21:37,39.7343,22.2194,8,4.6,20.3 km WNW of Larissa
2021-03-03 10:20:46,39.6991,22.1576,8,4.7,23.5 km WNW of Larissa
2021-03-03 10:19:54,39.7966,22.1013,9,4.6,32.5 km WNW of Larissa
2021-03-03 10:16:08,39.7600,22.2102,8,5.9,22.6 km NW of Larissa
2020-02-06 09:24:15,39.2116,21.4522,10,4.7,40.6 km E of Arta
2019-11-29 20:46:40,39.0482,22.3178,77,4.2,19.3 km NNW of Lamia
2019-07-14 10:50:13,40.2141,21.7589,12,4.6,13.7 km SSE of Kozani
2018-10-26 12:03:16,38.9053,22.4480,6,4.4,1.4 km ENE of Lamia
2018-08-31 08:26:23,39.3477,21.6075,6,4.1,26.9 km SSW of Trikala
2018-08-31 07:12:24,39.2857,21.6307,10,5.0,26.6 km WSW of Karditsa
2017-11-22 22:37:35,40.5077,22.5225,6,4.2,26.3 km N of Katerini
2017-09-11 16:20:15,39.1467,21.5260,8,4.9,41.9 km SW of Karditsa
2017-05-14 04:46:06,38.9068,21.9120,24,4.1,19.5 km NE of Karpenision
2017-02-28 12:47:37,39.5825,23.2727,6,4.2,36.9 km NE of Volos
2015-08-08 17:22:20,39.2400,21.3800,11,4.2,35.1 km ENE of Arta
2014-12-19 22:40:32,39.3300,22.6200,19,4.1,28.3 km W of Volos
2014-08-22 04:27:53,39.9200,23.4600,29,5.0,50.6 km S of Poliyiros
2014-02-26 01:42:50,40.2300,21.6400,25,4.0,13.2 km SSW of Kozani
2013-12-11 13:00:53,39.0100,22.2900,21,4.2,17.4 km NW of Lamia
2013-11-22 15:12:03,39.0500,22.4100,21,4.2,16.8 km N of Lamia
2013-11-12 18:09:28,38.9200,23.1000,17,4.8,31.2 km NNE of Atalanti
2013-07-03 13:28:23,40.1400,21.8700,20,4.6,25.1 km SSE of Kozani
2013-07-02 10:45:21,40.1200,21.8500,22,4.7,26.3 km SSE of Kozani
2012-12-03 21:40:15,39.5300,23.5100,27,4.1,40.5 km N of Skiathos
2012-10-26 23:16:44,38.9600,22.9100,26,4.6,35.2 km NNW of Atalanti
2012-06-28 13:11:29,39.0100,23.1700,25,4.3,32.2 km WSW of Skiathos
2011-10-04 09:26:28,39.1800,21.6000,20,4.3,34.5 km SW of Karditsa
2010-10-23 06:17:41,39.9600,21.4200,20,4.5,13.7 km S of Grevena
2010-01-14 04:25:10,39.2400,22.2700,88,4.5,33.1 km ESE of Karditsa
2009-12-04 09:34:16,38.8800,21.9100,18,4.3,17.7 km ENE of Karpenision
2009-10-26 02:52:05,39.2400,22.2400,88,4.0,30.7 km ESE of Karditsa
2009-09-16 07:12:59,39.0000,22.1600,24,4.3,26.1 km WNW of Lamia
2007-09-01 17:19:54,40.1400,21.6200,18,4.0,18.4 km ENE of Grevena
2007-07-19 04:25:26,40.1300,21.6700,18,4.0,22.2 km ENE of Grevena
2007-07-17 18:23:20,40.1600,21.6100,22,4.9,18.5 km ENE of Grevena
2006-05-18 02:25:27,40.2300,22.5400,19,4.1,5.6 km SE of Katerini
2004-12-30 07:35:35,39.1200,22.2900,98,4.3,27.4 km NNW of Lamia
2004-12-11 21:03:19,39.2400,21.6800,15,4.2,25.0 km SW of Karditsa
2003-06-09 07:06:40,39.9400,22.3500,18,5.0,34.2 km N of Larissa
2001-05-19 03:11:16,39.1600,22.5700,5,4.3,31.2 km NNE of Lamia
2001-03-26 08:28:02,39.3500,21.7300,5,4.1,16.6 km W of Karditsa
2001-02-15 15:10:18,39.2100,22.1900,91,4.0,28.9 km SE of Karditsa
1999-04-20 07:13:32,39.0600,23.1400,5,4.0,31.9 km WSW of Skiathos
1999-04-19 05:37:54,39.0600,23.2100,26,4.2,26.4 km WSW of Skiathos
1999-02-07 22:28:37,39.0100,23.1700,19,4.7,32.2 km WSW of Skiathos
1998-06-20 11:40:25,40.0900,21.7100,5,4.0,25.0 km E of Grevena
1997-10-21 17:57:45,38.9800,22.1100,5,4.2,29.3 km WNW of Lamia
1997-09-19 12:00:28,40.0500,21.3800,11,4.9,4.8 km SW of Grevena
1997-08-22 03:17:48,40.1400,21.6700,12,4.3,21.9 km S of Kozani
1997-02-13 20:10:22,40.2400,21.6100,12,4.1,13.8 km SW of Kozani
1995-09-14 01:26:40,40.1700,21.5800,5,4.1,16.9 km NE of Grevena
1995-08-20 19:21:25,40.2900,21.8400,10,4.2,11.5 km ESE of Kozani
1995-07-28 22:43:31,40.2200,21.6800,7,4.1,13.0 km SSW of Kozani
1995-07-19 18:23:15,40.1100,21.7100,7,4.5,24.8 km S of Kozani
1995-07-18 20:19:10,40.1300,21.6800,6,4.0,22.8 km S of Kozani
1995-07-18 07:42:55,40.1400,21.6300,5,4.3,19.2 km ENE of Grevena
1995-07-18 05:05:34,40.1300,21.6600,5,4.0,21.3 km ENE of Grevena
1995-07-18 03:09:08,40.1500,21.6000,7,4.0,17.3 km ENE of Grevena
1995-07-17 23:18:16,40.1400,21.6100,7,4.9,17.6 km ENE of Grevena
1995-06-19 15:00:22,40.0600,21.8700,8,4.0,33.1 km SSE of Kozani
1995-06-19 04:41:33,40.1600,21.7400,5,4.0,19.4 km S of Kozani
1995-06-19 03:54:00,40.0700,21.8900,5,4.4,32.8 km SSE of Kozani
1995-06-18 17:28:10,40.0000,21.5100,5,4.1,12.2 km SE of Grevena
1995-06-15 15:06:32,38.8600,22.2300,5,4.0,18.2 km WSW of Lamia
1995-06-11 18:51:48,39.9900,21.6700,5,4.3,23.9 km ESE of Grevena
1995-06-06 04:35:59,40.1700,21.6500,5,4.2,19.0 km SSW of Kozani
1995-05-30 14:30:02,39.9900,21.6300,5,4.0,20.9 km ESE of Grevena
1995-05-30 12:06:43,40.1100,21.6700,5,4.1,21.8 km E of Grevena
1995-05-24 06:24:09,40.0100,21.6000,5,4.0,17.6 km ESE of Grevena
1995-05-23 20:09:54,40.0300,21.6100,5,4.1,17.5 km ESE of Grevena
1995-05-23 04:37:40,40.1100,21.5500,5,4.0,11.7 km ENE of Grevena
1995-05-22 20:21:35,40.1300,21.6200,5,4.0,18.1 km ENE of Grevena
1995-05-20 21:06:26,40.0400,21.6500,6,4.1,20.4 km ESE of Grevena
1995-05-20 20:09:32,40.0000,21.6000,5,4.0,18.1 km ESE of Grevena
1995-05-19 06:48:50,40.1000,21.6200,5,4.8,17.4 km E of Grevena
1995-05-18 06:22:55,40.0500,21.6100,5,4.1,16.9 km ESE of Grevena
1995-05-17 09:45:08,40.0300,21.6000,5,4.6,16.7 km ESE of Grevena
1995-05-17 04:48:35,40.0900,21.6500,5,4.0,19.9 km E of Grevena
1995-05-17 04:14:26,40.0700,21.6900,5,5.1,23.3 km E of Grevena
1995-05-17 03:54:54,40.0600,21.6700,5,4.0,21.7 km E of Grevena
1995-05-16 23:57:28,40.0900,21.7000,5,4.6,24.1 km E of Grevena
1995-05-16 23:00:41,40.0300,21.6300,5,4.3,19.1 km ESE of Grevena
1995-05-16 17:57:51,40.1100,21.6300,5,4.0,18.4 km E of Grevena
1995-05-16 04:37:29,40.0800,21.6300,7,4.2,18.2 km E of Grevena
1995-05-15 17:05:43,40.1700,21.5700,5,4.0,16.2 km NE of Grevena
1995-05-15 09:19:45,40.1500,21.5400,18,4.1,12.8 km NE of Grevena
1995-05-15 04:13:57,40.0600,21.6800,5,5.0,22.6 km E of Grevena
1995-05-15 01:20:17,40.1100,21.6100,16,4.1,16.7 km E of Grevena
1995-05-15 00:24:20,40.1400,21.5700,13,4.0,14.5 km ENE of Grevena
1995-05-14 21:31:13,40.0600,21.7000,5,4.3,24.2 km E of Grevena
1995-05-14 14:46:57,40.1200,21.7500,5,4.2,23.9 km S of Kozani
1995-05-14 09:45:42,40.1500,21.7600,5,4.3,20.7 km S of Kozani
1995-05-14 08:35:12,40.1600,21.5600,5,4.1,14.9 km NE of Grevena
1995-05-14 06:11:37,40.0700,21.5200,5,4.0,8.9 km E of Grevena
1995-05-14 05:59:17,40.0800,21.5800,5,4.3,13.9 km E of Grevena
1995-05-14 03:09:39,40.1000,21.7200,15,4.1,25.9 km E of Grevena
1995-05-14 03:02:28,40.1400,21.5000,13,4.0,9.5 km NE of Grevena
1995-05-14 02:47:00,40.1200,21.6100,5,4.5,16.9 km ENE of Grevena
1995-05-14 01:03:00,40.1200,21.6200,10,4.1,17.8 km ENE of Grevena
1995-05-13 23:56:26,40.1700,21.6500,5,4.1,19.0 km SSW of Kozani
1995-05-13 19:00:55,39.9500,22.0700,38,4.0,45.9 km NW of Larissa
