Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-12-21 16:29:51,38.5579,21.6216,11,4.7,26.9 km NE of Mesolonghi
2024-11-05 00:37:15,38.0003,21.9310,73,4.3,16.3 km WSW of Kalavrita
2024-10-18 00:37:04,38.4444,20.5092,16,4.4,30.3 km N of Argostoli
2024-09-28 12:18:14,37.3155,21.2599,18,4.4,44.2 km SSW of Pyrgos
2024-09-22 18:27:43,37.8209,21.8340,14,4.0,33.9 km SW of Kalavrita
2024-09-11 04:22:25,37.9839,22.3000,11,4.0,17.3 km ESE of Kalavrita
2024-07-12 19:26:44,38.0626,21.8788,22,4.4,20.7 km W of Kalavrita
2024-07-07 14:41:04,37.8268,21.1862,6,4.7,10.8 km SW of Andravida
2024-07-06 17:34:29,37.8465,21.1803,11,4.9,9.6 km SW of Andravida
2024-06-11 19:08:23,38.0305,21.7012,20,4.3,24.0 km S of Patras
2024-05-10 12:56:14,38.1551,20.3993,16,4.1,7.5 km WSW of Argostoli
2024-03-29 07:12:48,37.2098,21.1935,30,5.8,57.3 km SSW of Pyrgos
2024-03-29 07:11:54,37.1970,21.1880,28,4.1,58.8 km SSW of Pyrgos
2023-11-30 12:39:18,37.7335,20.3476,9,4.4,48.6 km W of Zakynthos
2023-07-08 14:02:51,38.5780,21.8010,8,4.4,25.4 km SSE of Karpenision
2023-04-29 18:02:57,38.3762,22.0834,13,4.3,14.2 km N of Aegion
2023-03-17 13:45:42,37.9042,21.2901,21,4.0,2.1 km ENE of Andravida
2023-02-18 20:14:32,37.3535,20.7715,9,4.5,49.9 km SSW of Zakynthos
2023-01-29 05:09:11,37.6529,20.9775,16,4.0,17.0 km SSE of Zakynthos
2022-09-16 14:10:48,38.1711,21.6531,19,4.1,10.8 km SW of Patras
2022-09-16 12:58:08,37.4350,21.3071,20,4.1,30.4 km SSW of Pyrgos
2022-08-30 03:49:34,38.5927,20.5440,16,4.3,15.8 km SSW of Leukada
2022-08-14 10:47:57,38.6000,20.5843,15,4.0,13.7 km SSW of Leukada
2022-07-29 13:44:48,38.4105,21.9914,10,4.4,19.7 km NNW of Aegion
2022-05-24 20:50:44,38.7263,21.2306,18,4.1,43.3 km NNW of Mesolonghi
2022-04-09 15:10:44,37.6497,20.9184,16,4.0,15.9 km S of Zakynthos
2022-02-18 13:58:36,38.8316,21.2242,23,4.0,42.0 km SSE of Arta
2022-01-02 10:57:56,37.1512,20.8640,9,4.1,71.2 km S of Zakynthos
2021-12-17 23:28:03,37.9193,21.1139,8,4.4,13.6 km W of Andravida
2021-12-15 00:48:16,38.2576,22.0839,13,4.2,1.0 km N of Aegion
2021-12-03 19:33:34,37.1159,21.4815,16,4.1,38.5 km NNW of Methoni
2021-11-30 14:20:20,38.4160,22.1013,11,4.1,18.7 km N of Aegion
2021-11-19 13:27:04,38.2086,20.2936,16,4.8,16.9 km WNW of Argostoli
2021-09-14 10:40:41,37.7490,20.2881,9,4.2,50.1 km SSW of Argostoli
2021-08-05 08:49:30,37.6414,21.5419,17,4.0,9.3 km ESE of Pyrgos
2021-07-08 01:16:56,37.9225,21.0301,20,4.3,18.8 km NE of Zakynthos
2021-06-25 11:02:31,37.9701,20.8736,18,4.3,20.0 km N of Zakynthos
2021-06-03 15:06:13,38.1432,22.0372,49,4.7,12.4 km SSW of Aegion
2021-05-27 18:39:04,38.3501,21.7268,11,4.0,11.8 km N of Patras
2021-04-10 22:53:59,38.2841,20.7289,7,4.3,24.9 km ENE of Argostoli
2021-02-28 12:26:03,37.9015,20.7664,19,4.2,16.7 km NW of Zakynthos
2021-02-17 04:38:50,38.3730,21.9731,8,4.1,16.8 km NW of Aegion
2021-02-17 03:36:06,38.3601,21.9466,6,5.0,17.1 km NW of Aegion
2021-01-25 13:35:27,37.7481,20.7852,14,4.0,10.8 km WSW of Zakynthos
2021-01-13 09:40:21,38.3908,22.0450,12,4.2,16.1 km NNW of Aegion
2021-01-12 22:56:47,38.4087,22.0564,8,4.4,17.9 km N of Aegion
2021-01-12 22:32:56,38.3977,22.0473,6,4.0,16.9 km N of Aegion
2021-01-12 22:29:37,38.3908,22.0578,11,4.4,16.0 km N of Aegion
2021-01-12 22:09:56,38.3958,22.0509,5,4.8,16.6 km N of Aegion
2020-12-30 00:39:20,38.3981,22.0157,8,4.1,17.6 km NNW of Aegion
2020-12-23 14:58:24,38.4050,21.9960,9,4.5,18.9 km NNW of Aegion
2020-12-23 00:22:31,38.3492,21.7616,10,4.0,11.9 km NNE of Patras
2020-11-18 23:10:59,37.1965,21.5977,10,4.3,43.2 km NNW of Methoni
2020-08-22 04:31:55,38.0727,21.9987,23,4.2,10.9 km WNW of Kalavrita
2020-08-09 06:11:16,37.7399,21.1395,20,4.4,21.0 km SSW of Andravida
2020-07-25 01:38:06,38.0905,20.3329,9,4.4,15.9 km SW of Argostoli
2020-07-21 13:32:29,38.0635,20.3874,17,4.0,14.7 km SW of Argostoli
2020-05-16 08:29:43,37.9070,21.0310,27,4.3,17.5 km NE of Zakynthos
2020-04-23 07:20:54,37.9807,20.1828,14,4.0,33.8 km SW of Argostoli
2020-04-16 22:41:18,37.3819,20.5875,6,4.2,53.0 km SSW of Zakynthos
2020-03-29 04:34:25,37.3041,20.5170,6,4.0,63.6 km SSW of Zakynthos
2020-03-09 22:19:31,37.6840,21.3785,20,4.1,6.3 km W of Pyrgos
