Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-12-13 08:34:12,40.2791,24.1292,14,4.6,10.7 km WNW of Kariai
2024-09-22 09:50:23,40.2901,24.1292,14,4.6,11.2 km WNW of Kariai
2024-09-22 08:47:23,40.2773,24.0926,12,4.1,13.7 km WNW of Kariai
2024-08-24 19:54:24,40.2827,24.1319,14,4.3,10.7 km WNW of Kariai
2024-08-12 13:39:54,40.2827,24.1164,14,4.2,11.9 km WNW of Kariai
2024-08-12 13:24:59,40.2827,24.1228,14,4.1,11.4 km WNW of Kariai
2023-01-19 02:22:28,39.4579,25.8513,16,4.3,47.2 km NW of Mitilini
2022-12-18 05:01:13,39.7714,24.2203,22,4.0,53.3 km S of Kariai
2022-05-01 01:33:34,39.5256,24.1209,18,4.3,67.8 km NE of Skiathos
2022-01-22 02:32:55,39.5192,24.1988,22,4.1,73.0 km ENE of Skiathos
2022-01-16 22:31:59,39.9797,24.3526,13,4.1,31.3 km SSE of Kariai
2022-01-16 12:26:19,40.0108,24.2812,17,4.4,26.7 km S of Kariai
2022-01-16 11:48:05,39.9834,24.2747,19,5.4,29.7 km S of Kariai
2020-11-05 22:16:27,39.9394,23.9479,24,4.4,43.0 km SW of Kariai
2020-09-28 04:12:41,39.9513,24.2802,18,4.7,33.3 km S of Kariai
2020-09-27 12:58:02,39.9651,24.3333,19,4.1,32.5 km SSE of Kariai
2020-09-27 12:22:19,39.9916,24.3214,18,4.2,29.4 km SSE of Kariai
2020-09-26 22:50:24,39.9541,24.3059,18,5.2,33.2 km S of Kariai
2020-09-26 18:39:19,39.9532,24.3059,18,4.4,33.3 km S of Kariai
2019-10-10 23:55:59,39.3613,25.7803,34,4.1,45.9 km WNW of Mitilini
2019-03-15 21:54:19,39.7031,25.6094,16,4.2,38.8 km SE of Limnos
2018-12-16 09:24:30,39.5384,24.2610,12,4.2,75.2 km NNW of Skyros
2018-12-11 04:11:43,39.5152,24.2490,41,4.0,73.1 km NNW of Skyros
2017-03-24 15:19:06,39.5522,26.0860,12,4.0,45.1 km NNW of Mitilini
2017-02-28 23:27:35,39.4773,26.0555,15,4.4,38.4 km NNW of Mitilini
2017-02-23 01:55:14,39.5522,26.0672,12,4.2,45.7 km NNW of Mitilini
2017-02-16 00:19:00,39.5195,26.0665,11,4.4,42.3 km NNW of Mitilini
2017-02-08 01:38:04,39.5208,26.1172,12,4.4,41.0 km NNW of Mitilini
2017-02-07 02:24:04,39.4898,26.1148,16,5.2,37.8 km NNW of Mitilini
2017-02-06 11:45:02,39.5068,26.0765,16,4.2,40.7 km NNW of Mitilini
2017-02-06 10:58:02,39.5097,26.1213,15,5.1,39.7 km NNW of Mitilini
2017-02-06 03:51:41,39.5143,26.0978,14,5.0,40.8 km NNW of Mitilini
2017-01-14 22:39:01,39.4965,26.0988,18,4.4,38.9 km NNW of Mitilini
2016-09-29 01:17:36,39.5300,24.1000,30,4.0,66.7 km NE of Skiathos
2015-10-26 20:08:00,39.7800,26.2100,39,4.1,68.3 km N of Mitilini
2015-04-13 03:49:02,39.1300,24.4600,17,4.1,26.6 km NNW of Skyros
2015-03-26 12:00:41,39.3000,24.7100,17,4.1,45.8 km NNE of Skyros
2015-02-02 04:41:04,40.3800,25.9500,35,4.0,37.7 km ESE of Samothraki
2014-12-02 20:15:15,40.2200,25.1900,30,4.1,34.1 km N of Limnos
2014-09-04 17:43:38,40.1300,24.8700,30,4.9,40.1 km NW of Limnos
2014-06-06 17:10:23,39.7600,24.0900,30,4.4,56.2 km SSW of Kariai
2014-05-25 00:07:59,40.0200,24.3200,28,4.4,26.3 km SSE of Kariai
2014-05-24 16:50:01,40.0300,24.3200,29,4.3,25.2 km SSE of Kariai
2014-05-24 14:49:14,40.4100,25.9600,26,4.4,37.7 km E of Samothraki
2014-05-24 14:40:23,40.0200,24.3000,28,4.1,25.9 km S of Kariai
2014-05-24 11:33:07,40.3100,25.6300,29,4.0,20.3 km SSE of Samothraki
2014-05-24 09:34:14,40.0300,24.2600,28,4.6,24.5 km S of Kariai
2014-05-24 09:25:01,40.2900,25.4000,28,6.3,22.9 km SSW of Samothraki
2014-05-20 23:30:44,39.5300,24.2000,30,4.3,73.7 km ENE of Skiathos
2013-12-18 21:20:06,39.8300,25.3900,30,4.2,15.3 km SE of Limnos
2013-07-30 05:33:08,40.3000,25.7500,28,4.6,27.3 km SE of Samothraki
2013-01-13 08:55:14,39.6600,25.5100,29,4.8,36.2 km SE of Limnos
2013-01-11 00:30:20,39.6600,25.5100,30,4.4,36.2 km SE of Limnos
2013-01-09 15:41:32,39.6900,25.6000,27,4.7,39.1 km SE of Limnos
2013-01-08 14:16:08,39.6700,25.5600,31,5.8,38.1 km SE of Limnos
2012-09-09 19:30:20,40.0000,24.7200,28,4.5,46.1 km WNW of Limnos
2012-03-04 03:31:07,40.1300,24.0500,24,5.0,21.6 km SW of Kariai
2012-02-14 01:34:38,40.1300,24.0900,24,5.0,19.0 km SW of Kariai
2011-10-27 15:15:38,40.0800,24.6300,28,4.0,37.4 km ESE of Kariai
2011-10-13 14:44:41,40.2400,25.3000,29,4.2,32.1 km SW of Samothraki
2011-04-22 07:50:39,40.1100,24.9000,27,4.3,36.8 km NW of Limnos
2010-12-26 05:08:19,40.3300,25.8500,28,4.1,32.0 km ESE of Samothraki
2010-12-23 01:40:15,40.0700,24.8100,29,4.3,41.2 km WNW of Limnos
2010-12-23 01:35:48,40.0600,24.8000,25,4.3,41.5 km WNW of Limnos
2009-08-01 13:17:46,40.1300,24.3000,28,4.0,14.0 km SSE of Kariai
2009-04-28 22:02:37,39.4100,24.0900,34,4.0,58.8 km ENE of Skiathos
2009-03-15 04:35:44,39.0900,24.5400,26,4.0,20.8 km N of Skyros
2008-12-28 22:58:59,40.3900,25.7800,35,4.8,23.7 km ESE of Samothraki
2008-12-27 20:09:19,40.1500,24.0500,24,4.3,20.3 km WSW of Kariai
2008-12-27 08:27:02,40.1400,24.0100,29,4.1,23.8 km WSW of Kariai
2007-12-28 21:14:14,39.5300,25.9700,28,4.4,47.0 km NNW of Mitilini
2007-08-28 12:44:50,40.3800,25.9100,25,4.2,34.4 km ESE of Samothraki
2007-05-03 05:41:14,40.2400,25.1200,24,4.0,37.6 km NNW of Limnos
2007-04-19 10:15:45,39.7000,24.2900,26,4.8,61.3 km S of Kariai
2007-03-04 16:14:32,40.0000,25.3000,28,4.0,10.2 km NNE of Limnos
2007-01-26 10:44:55,39.7800,24.1100,38,4.2,53.6 km SSW of Kariai
2006-02-21 02:20:08,40.4400,25.8500,28,4.1,28.0 km E of Samothraki
2005-11-15 05:51:31,40.3200,25.2800,26,4.1,26.7 km SW of Samothraki
2005-10-17 13:52:40,39.7100,24.6200,23,4.3,58.5 km WSW of Limnos
2005-08-24 03:06:19,39.6800,25.5600,29,4.7,37.3 km SE of Limnos
2004-06-15 12:02:38,40.3400,25.7700,21,4.5,25.7 km SE of Samothraki
2003-12-07 13:41:43,39.7300,24.3100,25,4.3,58.0 km S of Kariai
2003-08-31 07:50:57,40.4000,25.9700,33,4.0,38.8 km ESE of Samothraki
2003-08-14 02:02:15,39.1100,24.5500,34,4.3,22.9 km N of Skyros
2003-07-10 09:01:17,40.1800,25.3100,24,4.0,29.7 km N of Limnos
2003-07-10 01:26:17,40.3400,25.9400,5,4.1,38.4 km ESE of Samothraki
2003-07-09 22:31:40,40.3800,25.8400,29,4.6,28.8 km ESE of Samothraki
2003-07-09 22:01:58,40.4400,25.9600,42,4.0,37.2 km E of Samothraki
2003-07-06 22:42:08,40.3100,25.8400,16,4.3,32.5 km SE of Samothraki
2003-07-06 22:05:48,40.4000,26.0100,27,4.0,42.1 km E of Samothraki
2003-07-06 20:48:53,40.3800,26.0100,26,4.0,42.6 km ESE of Samothraki
2003-07-06 20:10:16,40.3900,26.0000,28,4.6,41.5 km ESE of Samothraki
2003-06-12 00:10:39,40.2200,25.1800,33,4.0,34.3 km N of Limnos
2003-06-10 01:01:51,40.2400,25.6400,26,4.1,27.8 km SSE of Samothraki
2003-02-09 18:09:15,39.0900,24.6100,19,4.2,21.1 km N of Skyros
2002-09-07 04:48:37,39.3000,24.2600,5,4.3,51.2 km NNW of Skyros
2002-04-12 14:55:57,40.2500,24.9900,30,4.0,43.2 km NNW of Limnos
2001-09-26 06:21:46,40.3400,25.8800,19,4.0,33.7 km ESE of Samothraki
2001-09-26 01:29:36,40.3000,25.2300,38,4.0,31.4 km SW of Samothraki
2001-08-02 18:40:45,39.2000,24.4900,21,4.3,33.5 km N of Skyros
2000-08-22 03:35:38,39.6400,23.9500,5,4.6,66.2 km NE of Skiathos
2000-07-05 23:20:40,40.3200,25.7600,5,4.2,26.4 km SE of Samothraki
2000-05-20 04:43:02,40.3000,25.3500,37,4.0,24.2 km SW of Samothraki
2000-04-05 22:43:23,39.1600,24.4900,21,4.1,29.1 km NNW of Skyros
1999-09-09 08:15:34,40.3400,25.7900,5,4.6,27.1 km ESE of Samothraki
1999-09-09 08:11:56,40.4100,25.9400,5,4.2,36.0 km E of Samothraki
1999-04-20 16:01:14,39.5700,24.0300,32,4.9,65.0 km NE of Skiathos
1998-09-06 20:34:32,39.6300,24.2000,28,4.1,69.1 km S of Kariai
1998-06-16 18:06:34,39.8100,24.0900,16,4.4,50.8 km SSW of Kariai
1998-06-03 09:08:40,39.8700,24.1400,36,4.0,43.3 km SSW of Kariai
1998-06-03 08:47:09,39.8100,24.1800,5,4.8,49.3 km S of Kariai
1998-06-03 08:43:31,39.7900,24.2100,16,4.0,51.3 km S of Kariai
1998-06-03 08:36:38,39.8600,24.1500,12,4.4,44.2 km S of Kariai
1998-04-11 09:29:11,39.9400,23.9500,5,4.4,42.9 km SW of Kariai
1997-07-16 10:06:09,39.0500,25.3000,38,4.6,65.7 km ENE of Skyros
1996-08-19 01:05:38,39.3500,25.9200,16,4.2,35.0 km NW of Mitilini
1996-03-22 15:28:32,40.2800,25.8100,19,4.1,32.5 km SE of Samothraki
1995-11-27 19:30:30,40.2500,25.2100,22,4.0,36.3 km SW of Samothraki
1995-01-08 13:08:54,39.3500,25.5000,14,4.0,66.5 km SSE of Limnos
1994-09-06 07:25:53,40.4300,25.9200,38,4.0,34.0 km E of Samothraki
1994-07-20 15:56:37,40.2600,25.4900,5,4.1,23.9 km S of Samothraki
1994-03-10 15:41:47,40.3300,25.3600,37,4.2,21.0 km SW of Samothraki
1993-09-14 14:32:32,40.1200,24.8900,25,4.4,38.1 km NW of Limnos
1993-09-13 19:09:46,40.1200,24.8800,22,4.9,38.8 km NW of Limnos
1992-10-24 19:36:41,39.4700,26.0900,123,4.1,36.4 km NNW of Mitilini
1992-07-23 20:12:45,39.8200,24.4300,19,5.0,50.2 km SSE of Kariai
1992-06-28 02:13:35,39.6000,25.5700,23,4.3,44.6 km SE of Limnos
1992-02-18 00:16:30,39.7200,24.4000,30,4.3,60.3 km SSE of Kariai
1991-10-12 16:32:39,40.2100,25.6200,25,4.4,30.4 km SSE of Samothraki
1990-09-09 19:00:39,39.9800,24.0500,17,4.5,34.5 km SSW of Kariai
1990-09-03 05:35:49,39.9700,24.0100,9,4.1,37.2 km SSW of Kariai
1990-03-31 01:38:17,39.9800,24.0000,11,4.4,36.8 km SW of Kariai
1990-03-13 23:55:02,39.2600,25.4900,29,4.1,66.3 km W of Mitilini
1990-01-29 13:01:45,39.9800,23.9400,11,4.1,40.0 km SW of Kariai
1989-09-05 06:52:32,40.1500,25.0700,20,4.9,30.1 km NNW of Limnos
1989-08-20 20:57:20,39.9400,24.0000,1,4.0,40.5 km SSW of Kariai
1989-02-26 23:54:38,39.1400,24.5400,19,4.3,26.3 km N of Skyros
1988-08-16 21:34:08,39.9400,24.0100,4,4.2,40.1 km SSW of Kariai
1988-08-13 07:26:22,40.0200,23.9900,14,4.1,33.8 km SW of Kariai
1988-05-30 16:47:00,40.4000,25.7800,1,4.4,23.3 km ESE of Samothraki
1987-08-08 22:15:19,40.2200,25.0200,24,4.8,39.0 km NNW of Limnos
1987-01-17 00:30:33,39.9300,24.2600,17,4.0,35.6 km S of Kariai
1986-11-03 18:44:05,40.3100,25.2600,36,4.0,28.7 km SW of Samothraki
1985-02-21 03:03:34,39.8800,24.3900,19,4.3,42.8 km SSE of Kariai
1984-11-20 09:49:35,40.3300,24.9500,22,4.0,51.0 km WSW of Samothraki
1984-10-05 20:58:50,39.1200,25.3200,36,5.2,69.7 km ENE of Skyros
1984-10-03 04:41:53,40.1000,24.6800,6,4.2,40.2 km ESE of Kariai
1984-10-03 04:23:45,40.2900,24.7700,31,4.4,44.3 km E of Kariai
1984-07-29 02:21:14,40.3300,25.8900,53,4.3,35.0 km ESE of Samothraki
1983-12-18 05:00:11,40.4900,25.4200,17,4.1,8.8 km WNW of Samothraki
1983-11-16 05:56:29,39.9600,24.4800,8,4.5,37.7 km SSE of Kariai
1983-10-31 20:52:43,39.9300,24.4400,17,4.0,39.1 km SSE of Kariai
1983-10-31 20:11:42,39.7900,24.3600,5,4.2,52.0 km S of Kariai
1983-10-30 03:50:57,40.0900,24.8000,12,4.2,42.9 km WNW of Limnos
1983-10-28 05:08:18,39.9500,24.7400,15,4.8,43.6 km W of Limnos
1983-10-13 06:52:36,40.0200,24.7000,12,4.6,46.0 km ESE of Kariai
1983-10-10 10:16:57,40.4400,25.4300,8,5.4,8.6 km WSW of Samothraki
1983-09-01 05:47:37,40.5800,25.1900,16,4.0,30.5 km WNW of Samothraki
1983-08-24 19:53:38,40.4700,25.0800,6,4.0,37.4 km W of Samothraki
1983-08-23 05:42:04,39.8500,24.5500,15,4.0,51.3 km SSE of Kariai
1983-08-21 07:55:54,40.4900,24.7400,16,4.0,32.1 km S of Thasos
1983-08-20 06:18:52,40.4100,24.6900,25,4.0,41.0 km S of Thasos
1983-08-19 04:43:16,40.2700,24.8700,5,4.2,50.9 km NW of Limnos
1983-08-18 13:10:52,40.4300,24.9400,12,4.1,43.3 km SSE of Thasos
1983-08-17 11:26:29,40.3500,25.0500,7,4.4,42.3 km WSW of Samothraki
1983-08-15 14:43:18,40.1200,24.8700,10,4.0,39.5 km NW of Limnos
1983-08-11 01:04:38,40.0300,24.7600,21,4.4,43.6 km WNW of Limnos
1983-08-08 08:09:29,40.3900,25.5100,5,5.1,9.3 km S of Samothraki
1983-08-08 01:56:44,39.9900,24.7200,23,4.1,45.9 km W of Limnos
1983-08-07 03:04:23,40.0900,24.8400,19,4.1,39.9 km WNW of Limnos
1983-08-07 01:44:13,40.0300,24.7500,28,4.3,44.4 km WNW of Limnos
1983-08-06 18:58:36,40.2000,24.8600,23,4.2,45.8 km NW of Limnos
1983-08-06 18:46:44,40.2100,24.7300,29,4.1,41.0 km E of Kariai
