Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-10-18 00:37:04,38.4444,20.5092,16,4.4,30.3 km N of Argostoli
2024-10-09 21:20:46,39.1786,21.6628,13,4.1,30.5 km SW of Karditsa
2024-10-01 04:14:22,39.7874,20.3252,12,4.0,31.9 km N of Igoumenitsa
2024-07-12 06:48:27,39.3013,20.9102,16,4.0,16.9 km NNW of Arta
2024-04-08 21:59:21,38.8637,21.1372,13,4.1,34.9 km ESE of Preveza
2024-01-05 21:51:59,39.7202,20.5087,47,4.2,29.9 km WNW of Ioannina
2023-05-01 15:06:03,39.6103,20.6461,7,4.2,18.6 km WSW of Ioannina
2023-03-21 00:20:14,38.9635,21.2077,18,4.6,29.1 km SE of Arta
2022-08-30 03:49:34,38.5927,20.5440,16,4.3,15.8 km SSW of Leukada
2022-08-16 16:34:39,39.2088,20.6026,10,4.0,31.5 km NNW of Preveza
2022-08-14 10:47:57,38.6000,20.5843,15,4.0,13.7 km SSW of Leukada
2022-07-17 06:21:57,39.2693,20.8974,16,4.1,14.3 km NNW of Arta
2022-05-24 20:50:44,38.7263,21.2306,18,4.1,43.3 km NNW of Mesolonghi
2022-02-18 13:58:36,38.8316,21.2242,23,4.0,42.0 km SSE of Arta
2022-02-17 01:48:46,38.8829,20.6465,16,4.4,11.7 km SW of Preveza
2021-12-24 01:17:12,39.7220,20.5746,11,4.1,24.4 km WNW of Ioannina
2021-12-08 07:49:48,38.9772,20.6419,19,4.4,9.8 km WNW of Preveza
2021-11-18 21:04:59,39.5879,20.5266,12,4.0,24.3 km ENE of Igoumenitsa
2021-07-22 16:49:38,39.9051,20.7175,13,4.3,16.3 km SSW of Konitsa
2021-06-14 12:46:31,39.7243,20.3407,14,4.1,25.3 km NNE of Igoumenitsa
2021-04-10 22:53:59,38.2841,20.7289,7,4.3,24.9 km ENE of Argostoli
2021-03-11 08:52:31,38.7328,20.6218,12,4.4,2.1 km NNW of Leukada
2021-02-03 19:54:59,39.3741,20.1132,13,4.2,19.5 km SW of Igoumenitsa
2020-11-01 23:09:33,38.8719,21.5721,17,4.4,16.1 km WNW of Karpenision
2020-09-24 05:10:18,38.7355,20.5898,16,4.1,4.3 km WNW of Leukada
2020-08-29 00:18:29,39.6886,20.3343,6,4.6,21.4 km NNE of Igoumenitsa
2020-07-20 18:33:21,38.8010,21.6733,64,4.1,5.2 km W of Karpenision
2020-03-25 09:49:45,39.2780,20.6122,13,4.0,34.7 km WNW of Arta
2020-03-23 04:41:03,39.2972,20.6113,14,4.0,35.6 km WNW of Arta
2020-03-21 00:49:50,39.3265,20.5215,8,5.6,29.5 km SE of Igoumenitsa
2020-03-20 21:38:30,39.3123,20.5650,15,4.3,33.4 km SE of Igoumenitsa
2020-02-06 09:24:15,39.2116,21.4522,10,4.7,40.6 km E of Arta
2020-02-01 21:22:22,39.1878,20.6447,15,4.5,28.0 km NNW of Preveza
