Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-10-15 16:54:22,35.6323,28.6743,15,4.8,98.7 km SSE of Rodhos
2024-08-22 00:19:26,35.7367,27.6508,29,4.2,46.3 km E of Karpathos
2024-07-09 09:11:52,36.7355,28.1589,52,4.7,33.3 km N of Rodhos
2024-06-12 19:19:11,35.9821,28.0829,58,4.8,52.5 km SSW of Rodhos
2024-05-30 23:41:50,36.4430,27.1156,20,4.1,52.4 km SSW of Kos
2024-04-22 19:26:30,35.7550,28.6029,46,4.4,83.6 km SSE of Rodhos
2024-04-02 13:33:41,36.5195,27.7487,17,4.2,43.3 km WNW of Rodhos
2024-03-08 04:27:12,36.4764,28.3942,46,4.6,15.9 km ENE of Rodhos
2024-01-10 21:40:23,36.5369,27.7185,19,4.1,46.3 km WNW of Rodhos
2023-12-28 10:40:35,36.4078,28.3475,54,4.2,11.8 km ESE of Rodhos
2023-08-27 03:09:43,36.3803,27.8476,58,4.3,34.2 km W of Rodhos
2023-08-21 15:45:57,36.7511,28.2404,53,4.3,34.5 km N of Rodhos
2023-01-25 12:37:06,35.7990,28.6212,30,5.9,79.8 km SSE of Rodhos
2022-06-18 19:15:17,36.7593,28.2779,54,4.2,35.8 km N of Rodhos
2022-06-03 16:05:11,36.0031,27.5949,18,4.7,55.2 km NE of Karpathos
2022-01-16 22:16:17,36.2897,28.8556,34,4.6,59.1 km ESE of Rodhos
2021-10-05 07:54:08,36.4810,27.1646,11,4.2,47.2 km SSW of Kos
2021-10-04 14:03:23,36.5048,27.1848,13,4.2,44.2 km SSW of Kos
2021-09-29 23:27:39,36.5154,27.1706,16,4.1,43.3 km SSW of Kos
2021-09-29 22:22:59,36.4728,27.1454,5,4.2,48.5 km SSW of Kos
2021-09-29 22:22:17,36.4957,27.1902,14,4.5,45.1 km SSW of Kos
2021-09-26 04:40:08,36.4883,27.1994,12,4.0,45.7 km S of Kos
2021-09-08 01:40:02,36.5067,27.2122,14,4.5,43.5 km S of Kos
2021-09-05 21:27:51,35.9885,27.5491,13,4.3,51.1 km NE of Karpathos
2021-09-02 21:12:53,36.4206,27.1060,16,4.2,55.0 km SSW of Kos
2021-08-19 11:26:32,36.4330,27.0982,16,4.7,53.9 km SSW of Kos
2021-08-03 12:38:19,36.3515,27.0992,12,5.0,62.6 km SSW of Kos
2021-08-02 23:56:18,36.3437,27.1078,22,4.0,63.2 km SSW of Kos
2021-08-01 17:44:25,36.4211,27.2310,18,4.1,52.8 km S of Kos
2021-07-22 14:16:27,36.3780,27.0973,10,4.6,59.8 km SSW of Kos
2021-06-18 16:51:29,35.8136,27.9584,62,4.6,73.7 km SSW of Rodhos
2021-06-07 16:00:19,36.3785,27.1390,17,4.2,58.8 km SSW of Kos
2021-06-04 20:23:09,36.4352,27.1573,17,4.2,52.3 km SSW of Kos
2021-05-05 23:40:34,36.3812,27.6141,79,4.1,54.8 km W of Rodhos
2021-04-26 19:58:35,36.4503,27.1605,18,4.1,50.6 km SSW of Kos
2021-04-22 19:49:58,36.4050,27.1692,13,4.1,55.3 km S of Kos
2021-04-22 00:06:14,36.4549,27.1889,16,4.1,49.6 km S of Kos
2021-04-20 05:09:52,36.4403,27.1843,16,4.4,51.2 km S of Kos
2021-04-18 16:26:25,36.4572,27.1701,16,4.5,49.6 km SSW of Kos
2021-04-17 20:57:12,36.4755,27.0932,15,4.2,49.6 km SSW of Kos
2021-04-17 19:08:25,36.4856,27.1252,16,4.0,47.6 km SSW of Kos
2021-04-17 17:08:01,36.4243,27.1701,14,4.9,53.2 km SSW of Kos
2021-04-13 20:28:04,36.4650,27.1797,15,5.2,48.6 km SSW of Kos
2021-04-08 15:23:05,36.4302,27.0982,10,4.2,54.2 km SSW of Kos
2021-04-08 00:33:48,36.4558,27.1587,14,4.4,50.0 km SSW of Kos
2021-04-07 21:54:56,36.4682,27.1500,14,4.2,48.9 km SSW of Kos
2021-04-07 07:08:17,36.4737,27.1738,14,4.0,47.8 km SSW of Kos
2021-03-15 01:55:51,37.1722,28.7860,34,4.2,95.6 km NNE of Rodhos
2021-02-20 17:00:44,35.8777,28.0847,11,4.0,63.8 km S of Rodhos
2020-12-27 07:13:56,36.4627,28.8162,8,4.1,53.2 km E of Rodhos
2020-06-29 04:06:24,36.6595,28.3319,65,4.6,26.2 km NNE of Rodhos
2020-06-28 17:43:30,36.7117,28.2431,54,5.4,30.2 km N of Rodhos
2020-04-24 13:16:03,35.8145,28.0252,55,4.6,71.9 km SSW of Rodhos
2019-10-24 21:06:45,36.4426,28.7851,4,4.4,50.3 km E of Rodhos
2019-10-05 14:51:38,35.9903,28.0197,71,4.5,53.3 km SSW of Rodhos
2019-10-03 04:44:55,36.2814,28.5947,14,5.1,37.8 km ESE of Rodhos
2019-09-23 07:09:04,35.9592,27.2836,14,4.1,34.9 km NNE of Karpathos
2019-08-28 11:58:19,35.7761,27.6096,15,4.8,43.7 km ENE of Karpathos
2019-08-27 04:31:23,35.7193,27.6718,14,4.3,47.9 km E of Karpathos
2019-05-28 05:27:47,36.9461,27.5949,10,4.0,27.8 km ENE of Kos
2019-05-26 12:07:12,37.2748,28.0060,15,4.2,76.5 km NE of Kos
2019-02-01 10:29:44,35.8827,27.3047,82,4.5,28.1 km NNE of Karpathos
2019-01-24 14:30:54,35.9418,28.1708,35,5.2,55.7 km S of Rodhos
2019-01-22 20:12:02,36.7802,27.9995,82,4.3,42.7 km NNW of Rodhos
2019-01-20 15:49:54,35.7660,28.3429,28,4.9,75.8 km S of Rodhos
2018-11-25 16:40:39,36.3920,29.1705,30,4.1,85.0 km E of Rodhos
2018-11-25 02:40:08,35.8758,28.6255,34,4.1,72.5 km SSE of Rodhos
2018-10-24 02:36:14,36.4463,28.8057,5,4.0,52.2 km E of Rodhos
2018-09-12 18:13:30,36.4471,28.8153,35,4.1,53.0 km E of Rodhos
2018-09-10 15:07:10,36.9943,27.8082,7,4.2,47.5 km ENE of Kos
2018-06-09 22:24:53,36.9038,27.6342,13,4.1,30.7 km E of Kos
2018-05-02 21:16:08,35.8732,28.3818,68,4.5,64.7 km SSE of Rodhos
2017-12-08 05:20:40,36.3513,27.6432,14,4.3,52.8 km W of Rodhos
2017-11-22 20:22:52,37.1303,28.7685,7,4.9,90.8 km NNE of Rodhos
2017-11-07 02:40:34,36.3658,28.2502,56,4.7,8.7 km SSE of Rodhos
2017-11-04 21:54:09,36.6980,28.2150,77,4.4,28.6 km N of Rodhos
2017-10-24 09:36:24,36.9505,27.4208,11,4.5,13.3 km ENE of Kos
2017-10-10 19:59:25,36.9535,27.3757,9,4.2,10.2 km NE of Kos
2017-09-24 16:57:17,36.9310,27.3285,12,4.5,5.5 km NE of Kos
2017-09-08 23:23:34,37.1338,27.6709,10,4.0,43.2 km NE of Kos
2017-09-01 16:48:34,36.0012,28.0002,76,5.1,52.8 km SSW of Rodhos
2017-08-18 14:10:48,36.9159,27.6288,14,4.0,30.3 km E of Kos
2017-08-14 02:43:49,37.1527,27.7037,5,4.4,46.8 km NE of Kos
2017-08-13 16:35:22,37.1268,27.7578,9,4.1,49.1 km ENE of Kos
2017-08-13 11:16:53,37.1298,27.6790,8,4.6,43.5 km NE of Kos
2017-08-08 07:42:21,37.0283,27.6052,5,5.1,31.9 km ENE of Kos
2017-08-08 01:46:20,36.9928,27.6653,9,4.1,35.2 km ENE of Kos
2017-08-07 05:18:48,37.0262,27.6640,4,4.5,36.5 km ENE of Kos
2017-07-30 17:51:19,36.9700,27.6163,8,4.3,30.3 km ENE of Kos
2017-07-30 07:02:15,37.0092,27.5585,8,4.1,27.2 km ENE of Kos
2017-07-22 17:09:21,36.9520,27.3735,13,4.6,10.0 km NE of Kos
2017-07-21 17:09:50,36.8900,27.3152,23,4.8,2.4 km E of Kos
2017-07-21 09:55:54,36.9640,27.6857,8,4.1,36.1 km ENE of Kos
2017-07-21 05:04:01,36.9148,27.5927,12,4.4,27.1 km E of Kos
2017-07-21 03:59:02,36.9368,27.6455,8,4.0,32.1 km E of Kos
2017-07-21 02:12:35,36.8803,27.3777,8,4.5,8.0 km E of Kos
2017-07-21 01:54:47,36.9453,27.3780,11,4.1,9.8 km NE of Kos
2017-07-21 01:50:31,36.9612,27.3767,16,4.1,10.9 km NE of Kos
2017-07-21 01:38:50,36.9210,27.5760,11,4.4,25.7 km E of Kos
2017-07-21 01:35:44,36.9412,27.6002,8,4.4,28.2 km E of Kos
2017-07-21 01:25:34,36.9748,27.4237,13,4.0,15.0 km NE of Kos
2017-07-21 00:33:35,36.9155,27.5697,13,4.0,25.1 km E of Kos
2017-07-21 00:16:42,36.9507,27.3535,13,4.0,8.6 km NE of Kos
2017-07-20 23:23:52,36.9552,27.3952,10,4.3,11.7 km NE of Kos
2017-07-20 23:00:45,36.9835,27.4568,7,4.0,18.0 km NE of Kos
2017-07-20 22:52:59,36.9618,27.4247,8,4.4,14.3 km ENE of Kos
2017-07-20 22:37:37,36.9422,27.6693,10,4.3,34.3 km E of Kos
2017-07-20 22:31:11,36.9643,27.4332,10,6.2,15.1 km ENE of Kos
2017-05-17 11:30:32,36.0288,27.4943,22,5.1,51.2 km NE of Karpathos
2017-03-15 23:29:48,35.9447,27.5890,8,4.2,50.6 km NE of Karpathos
2017-01-27 20:51:26,35.9218,28.8032,6,4.7,77.8 km SE of Rodhos
2016-12-15 16:43:58,37.1300,28.6500,5,4.1,85.6 km NNE of Rodhos
2016-09-27 20:57:05,36.3300,27.5800,89,5.4,58.8 km WSW of Rodhos
2016-09-06 05:27:27,36.2400,27.9800,51,4.3,31.2 km SW of Rodhos
2016-03-12 15:44:33,36.5100,28.0400,82,4.1,18.0 km WNW of Rodhos
2015-09-13 02:57:28,37.1300,28.8500,15,4.6,94.8 km NE of Rodhos
2015-05-29 08:02:51,36.8400,27.5600,45,4.1,24.8 km ESE of Kos
2015-03-28 13:26:09,36.6000,27.2400,193,4.2,32.9 km S of Kos
2014-11-26 05:05:33,36.9300,27.7200,33,4.3,38.5 km E of Kos
2014-11-15 20:23:31,36.4400,28.8000,19,4.1,51.7 km E of Rodhos
2014-11-10 09:20:42,37.1800,28.7500,19,4.2,94.7 km NNE of Rodhos
2014-06-20 13:59:42,36.3900,28.5500,59,4.3,29.8 km E of Rodhos
2014-04-19 23:39:58,37.1500,28.7800,11,4.1,93.2 km NNE of Rodhos
2013-10-18 01:26:45,36.5800,27.3300,117,4.0,35.0 km S of Kos
2013-06-30 13:16:13,35.9400,27.5100,25,4.0,44.8 km NE of Karpathos
2013-05-16 21:21:18,37.0200,28.3800,18,4.1,65.9 km NNE of Rodhos
2013-05-16 03:02:02,37.0100,28.3800,19,4.6,64.8 km NNE of Rodhos
2013-04-28 16:30:54,36.9200,27.7600,31,4.0,42.0 km E of Kos
2013-04-21 01:45:37,36.1200,28.1300,74,4.0,36.6 km SSW of Rodhos
2012-11-26 17:35:41,36.6400,27.9100,26,4.8,35.6 km NW of Rodhos
2012-11-24 21:31:15,36.6400,27.9300,26,4.1,34.3 km NW of Rodhos
2012-11-24 21:04:17,36.6500,27.9800,28,4.2,31.8 km NW of Rodhos
2012-06-25 13:05:29,36.4500,28.9100,39,4.9,61.5 km E of Rodhos
2012-06-10 18:28:33,36.4600,28.9300,39,4.1,63.3 km E of Rodhos
2012-06-10 12:49:36,36.4100,28.9100,39,5.0,61.6 km E of Rodhos
2012-06-10 12:44:16,36.4200,28.8800,35,5.8,58.9 km E of Rodhos
2012-06-04 14:19:53,36.9400,28.1400,24,4.2,56.0 km N of Rodhos
2012-05-08 07:31:20,37.1000,28.4900,17,4.0,77.1 km NNE of Rodhos
2012-02-15 02:34:08,36.2500,28.5700,35,4.1,37.7 km SE of Rodhos
2012-01-06 20:35:13,36.2600,28.9900,60,4.1,71.6 km ESE of Rodhos
2011-11-29 14:07:19,36.0200,28.4700,44,4.1,51.8 km SSE of Rodhos
2011-10-24 10:14:41,36.5000,28.7200,30,4.1,45.0 km E of Rodhos
2011-06-25 07:18:35,37.0100,27.4100,29,4.0,16.9 km NE of Kos
2011-05-08 06:50:23,36.6900,27.1700,22,4.9,25.0 km SSW of Kos
2011-04-10 11:11:50,36.4700,28.7600,16,4.0,48.2 km E of Rodhos
2010-09-07 14:17:58,37.0600,27.6300,25,4.0,35.5 km ENE of Kos
2010-08-08 00:24:10,36.6300,28.0100,30,4.4,28.3 km NW of Rodhos
2010-04-29 10:32:54,35.7500,27.5200,26,4.6,35.1 km ENE of Karpathos
2010-04-28 16:35:06,36.3200,27.7700,35,4.3,42.7 km WSW of Rodhos
2010-04-13 15:18:19,36.2500,27.4900,28,4.3,69.0 km WSW of Rodhos
2009-12-12 15:23:16,36.5300,28.5900,57,4.2,34.3 km ENE of Rodhos
2009-06-19 14:33:41,35.6200,28.1800,46,4.1,91.4 km S of Rodhos
2009-06-09 05:26:58,36.1400,29.1300,43,4.3,87.9 km ESE of Rodhos
2009-04-28 02:33:51,36.2900,27.4700,17,4.0,69.0 km SSE of Kos
2009-01-28 23:59:07,35.7400,28.1800,64,4.5,78.0 km S of Rodhos
2008-12-23 12:53:11,36.1300,27.1600,26,4.0,51.6 km N of Karpathos
2008-10-11 08:34:33,35.8900,27.9600,52,4.3,65.6 km SSW of Rodhos
2008-08-19 14:43:16,35.8800,27.9500,54,4.2,67.0 km SSW of Rodhos
2008-07-15 23:52:37,35.8700,27.9000,58,4.8,69.8 km SSW of Rodhos
2008-07-15 03:26:34,35.8500,27.9200,56,6.2,71.1 km SSW of Rodhos
2008-05-20 06:00:07,36.3100,27.6200,18,4.1,55.9 km WSW of Rodhos
2008-04-22 17:53:45,35.8700,28.5100,40,4.3,68.5 km SSE of Rodhos
2008-03-05 16:14:40,36.2400,27.4500,22,4.7,69.5 km NNE of Karpathos
2008-03-05 16:11:34,36.1900,27.4100,21,4.7,63.0 km NNE of Karpathos
2007-11-26 01:02:37,35.7100,27.6000,10,4.1,41.4 km E of Karpathos
2007-10-13 21:07:50,35.9700,27.4000,6,4.0,40.9 km NE of Karpathos
2007-10-10 21:27:49,36.6300,27.9500,94,4.3,32.2 km NW of Rodhos
2007-09-23 17:05:26,36.8000,27.4100,28,4.1,15.0 km SE of Kos
2007-06-19 19:38:48,36.7300,27.3500,23,4.3,19.0 km SSE of Kos
2007-05-01 17:18:47,35.7700,27.5600,15,4.3,39.2 km ENE of Karpathos
2007-04-09 14:29:20,36.0000,28.5300,18,4.1,56.2 km SSE of Rodhos
2007-03-06 03:34:41,37.1500,28.5900,18,4.4,85.4 km NNE of Rodhos
2007-02-15 03:15:52,35.9500,28.0200,83,4.4,57.5 km SSW of Rodhos
2007-01-31 23:13:46,36.9400,27.7100,26,4.2,37.8 km E of Kos
2006-09-08 22:39:10,36.3700,27.7100,77,4.3,46.5 km W of Rodhos
2006-09-03 01:33:09,36.6800,27.2000,124,4.0,25.0 km SSW of Kos
2006-07-09 03:12:53,36.5200,27.2200,119,4.3,42.0 km S of Kos
2006-07-02 06:55:30,36.1000,28.1300,20,4.1,38.8 km SSW of Rodhos
2006-04-18 01:21:35,36.8400,28.2300,28,4.3,44.4 km N of Rodhos
2006-04-17 20:18:04,36.9900,28.3000,15,4.2,61.5 km N of Rodhos
2006-04-17 11:53:20,36.9700,28.1900,26,4.1,58.9 km N of Rodhos
2006-03-15 03:17:11,36.5100,28.2400,62,4.4,7.8 km NNE of Rodhos
2006-01-20 10:40:20,36.9200,28.6600,36,4.4,66.0 km NE of Rodhos
2006-01-20 09:39:05,37.0300,28.2600,17,4.3,65.6 km N of Rodhos
2005-08-19 01:08:49,36.8200,27.4400,21,4.4,15.7 km ESE of Kos
2005-07-11 17:20:31,36.4800,28.1100,58,4.2,11.0 km WNW of Rodhos
2005-01-23 20:54:56,36.9000,27.6200,6,4.2,29.5 km E of Kos
2005-01-11 04:35:57,37.0100,27.8500,30,5.0,51.5 km ENE of Kos
2005-01-11 00:18:41,36.9700,27.8100,10,4.2,47.1 km E of Kos
2005-01-11 00:02:17,37.0300,27.7900,2,4.3,47.0 km ENE of Kos
2005-01-10 23:50:27,36.8100,27.6600,2,4.8,34.3 km ESE of Kos
2005-01-10 23:48:49,37.0100,28.0400,30,4.8,65.3 km NNW of Rodhos
2004-12-28 20:34:10,37.0900,28.2400,18,4.4,72.2 km N of Rodhos
2004-12-26 08:05:40,36.1900,27.2600,14,4.3,59.2 km N of Karpathos
2004-12-20 23:02:13,37.0100,28.2800,19,5.1,63.5 km N of Rodhos
2004-08-20 11:12:17,36.4500,27.9100,72,4.8,28.0 km W of Rodhos
2004-08-18 23:06:36,36.1300,27.5200,19,4.5,61.7 km NNE of Karpathos
2004-08-18 22:25:44,36.1900,27.4800,23,4.4,65.6 km NNE of Karpathos
2004-08-05 10:30:07,36.9600,27.7100,24,4.2,38.2 km ENE of Kos
2004-08-05 07:13:36,37.0100,27.7200,17,4.1,40.4 km ENE of Kos
2004-08-04 15:59:39,36.9300,27.7300,13,4.1,39.4 km E of Kos
2004-08-04 14:18:47,36.9800,27.6900,5,5.1,36.9 km ENE of Kos
2004-08-04 05:46:12,37.0400,27.7300,5,4.1,42.4 km ENE of Kos
2004-08-04 04:26:22,36.9900,27.7200,5,4.1,39.8 km ENE of Kos
2004-08-04 04:19:47,36.8900,27.6600,16,4.8,33.0 km E of Kos
2004-08-04 03:49:33,36.9400,27.7100,34,4.4,37.8 km E of Kos
2004-08-04 03:01:07,36.9200,27.7000,20,5.4,36.7 km E of Kos
2004-08-03 14:17:50,37.0300,27.7000,5,4.1,39.6 km ENE of Kos
2004-08-03 13:11:30,37.0200,27.7200,2,4.6,40.8 km ENE of Kos
2004-08-03 09:41:14,36.9300,27.7000,19,4.4,36.8 km E of Kos
2004-08-03 05:33:36,36.8900,27.6600,16,4.4,33.0 km E of Kos
2004-07-29 05:35:03,36.5800,27.9900,81,4.2,25.9 km NW of Rodhos
2004-04-05 17:13:09,35.8100,27.5400,23,4.3,39.1 km ENE of Karpathos
2004-02-19 04:09:51,37.0800,28.6400,7,4.3,80.2 km NNE of Rodhos
2004-01-03 17:18:54,36.0400,27.7800,70,4.0,59.7 km SW of Rodhos
2003-05-15 19:34:23,36.4900,27.5500,35,4.0,50.5 km SSE of Kos
2003-02-24 00:19:35,36.1200,28.3600,55,4.4,37.7 km SSE of Rodhos
2003-01-30 21:46:33,36.2500,27.1900,28,4.1,65.1 km N of Karpathos
2003-01-30 20:20:03,36.2700,27.1700,28,4.5,67.2 km N of Karpathos
2002-12-06 19:42:07,36.9200,27.5500,25,4.0,23.4 km E of Kos
2002-12-06 12:23:08,36.9300,27.4900,10,4.2,18.3 km ENE of Kos
