Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-11-05 00:37:15,38.0003,21.9310,73,4.3,16.3 km WSW of Kalavrita
2024-09-22 18:27:43,37.8209,21.8340,14,4.0,33.9 km SW of Kalavrita
2024-09-11 04:22:25,37.9839,22.3000,11,4.0,17.3 km ESE of Kalavrita
2024-07-12 19:26:44,38.0626,21.8788,22,4.4,20.7 km W of Kalavrita
2024-06-11 19:08:23,38.0305,21.7012,20,4.3,24.0 km S of Patras
2024-01-16 05:20:51,37.2844,22.9655,14,4.8,16.2 km NE of Leonidhion
2023-12-03 08:38:00,37.4533,22.2299,69,4.1,14.6 km WSW of Tripolis
2023-10-17 14:51:11,37.4551,23.1711,82,4.4,34.3 km ESE of Nafplio
2023-04-29 18:02:57,38.3762,22.0834,13,4.3,14.2 km N of Aegion
2022-10-08 22:02:28,38.3052,22.5160,13,5.0,27.4 km SSE of Amfissa
2022-09-16 14:10:48,38.1711,21.6531,19,4.1,10.8 km SW of Patras
2022-09-16 12:58:08,37.4350,21.3071,20,4.1,30.4 km SSW of Pyrgos
2021-12-26 16:13:51,38.1020,23.1367,17,4.0,25.6 km NE of Korinthos
2021-12-15 00:48:16,38.2576,22.0839,13,4.2,1.0 km N of Aegion
2021-12-03 19:33:34,37.1159,21.4815,16,4.1,38.5 km NNW of Methoni
2021-11-01 11:30:13,38.3322,22.6273,95,4.0,24.3 km WSW of Levadhia
2021-08-30 21:06:34,37.8474,23.1047,14,4.1,18.2 km ESE of Korinthos
2021-08-05 08:49:30,37.6414,21.5419,17,4.0,9.3 km ESE of Pyrgos
2021-06-03 15:06:13,38.1432,22.0372,49,4.7,12.4 km SSW of Aegion
2020-11-18 23:10:59,37.1965,21.5977,10,4.3,43.2 km NNW of Methoni
2020-09-11 03:00:58,38.1157,23.1798,13,4.3,29.4 km NE of Korinthos
2020-08-22 04:31:55,38.0727,21.9987,23,4.2,10.9 km WNW of Kalavrita
2020-03-09 22:19:31,37.6840,21.3785,20,4.1,6.3 km W of Pyrgos
2020-03-07 08:20:11,38.1496,22.9811,8,4.0,23.9 km N of Korinthos
2020-02-06 18:06:54,38.1029,22.2743,9,4.1,16.2 km ENE of Kalavrita
2019-11-23 03:43:32,37.0107,23.1606,17,4.0,32.3 km ESE of Leonidhion
2019-11-17 17:14:24,36.9905,23.1175,28,4.1,30.6 km SE of Leonidhion
2019-05-13 21:27:32,37.6909,21.2717,11,4.3,15.7 km W of Pyrgos
2019-05-13 16:57:17,37.6671,21.2746,8,4.7,15.5 km W of Pyrgos
2019-04-25 11:04:22,37.3389,22.1045,11,4.1,30.8 km SW of Tripolis
2019-03-30 10:46:19,38.3492,22.2972,13,5.4,20.6 km SSW of Amfissa
2019-03-28 09:13:01,37.9980,21.9434,10,4.1,15.3 km WSW of Kalavrita
2018-11-17 20:33:18,37.5293,21.7400,32,4.1,30.8 km SE of Pyrgos
2018-09-18 02:48:43,38.1157,21.5687,19,4.0,20.4 km SW of Patras
2017-12-31 04:02:19,38.2385,22.8372,9,4.6,22.1 km S of Levadhia
2017-11-04 09:51:15,37.8415,21.4165,18,4.1,14.7 km ESE of Andravida
2017-07-15 03:05:14,38.3427,22.0268,4,4.0,11.5 km NNW of Aegion
2017-07-15 01:22:02,38.3402,21.9923,4,4.1,12.8 km NW of Aegion
2017-06-16 23:42:45,36.8092,23.0175,59,4.8,42.5 km SSE of Leonidhion
2016-12-03 21:04:35,38.0900,21.9800,14,4.7,13.3 km WNW of Kalavrita
2016-09-28 07:17:34,36.7300,21.8700,56,5.0,17.9 km ESE of Methoni
