Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2007-06-25 04:13:40,40.8600,23.9100,24,4.0,38.0 km SSW of Drama
2006-02-20 17:20:10,41.6500,25.4500,26,4.6,58.8 km N of Komotini
2005-11-15 05:51:31,40.3200,25.2800,26,4.1,26.7 km SW of Samothraki
2004-06-27 22:37:18,40.8000,25.8100,9,4.0,7.6 km SW of Alexandroupolis
2004-06-27 15:31:46,40.8000,25.8600,5,4.3,5.4 km SSW of Alexandroupolis
2002-09-06 05:05:00,40.8500,25.0900,10,4.0,33.0 km ENE of Thasos
2002-04-12 14:55:57,40.2500,24.9900,30,4.0,43.2 km NNW of Limnos
2002-04-05 13:14:04,41.8500,24.9400,22,4.6,78.9 km N of Xanthi
2002-03-05 05:23:44,40.7100,25.6100,21,4.3,27.0 km SW of Alexandroupolis
2001-09-26 01:29:36,40.3000,25.2300,38,4.0,31.4 km SW of Samothraki
1998-12-11 15:09:30,41.4300,25.0400,13,4.6,34.7 km NNE of Xanthi
1995-04-18 05:36:27,40.9600,25.3700,5,4.1,18.2 km S of Komotini
1994-03-10 15:41:47,40.3300,25.3600,37,4.2,21.0 km SW of Samothraki
1986-11-03 18:44:05,40.3100,25.2600,36,4.0,28.7 km SW of Samothraki
1985-11-09 23:30:45,41.1100,24.0500,23,5.1,9.0 km WSW of Drama
1985-01-05 22:20:42,40.8500,25.4000,5,4.3,30.3 km S of Komotini
1984-11-20 09:49:35,40.3300,24.9500,22,4.0,51.0 km WSW of Samothraki
1984-10-03 04:23:45,40.2900,24.7700,31,4.4,44.3 km E of Kariai
1984-06-23 21:10:58,40.7400,25.7200,30,4.0,17.7 km SW of Alexandroupolis
1983-12-18 05:00:11,40.4900,25.4200,17,4.1,8.8 km WNW of Samothraki
1983-12-09 02:55:17,41.0900,25.9500,30,4.3,27.7 km NNE of Alexandroupolis
1983-10-11 05:14:00,40.6900,25.7700,42,4.0,19.6 km SSW of Alexandroupolis
1983-10-11 05:08:18,40.6600,25.6800,18,4.2,24.7 km NNE of Samothraki
1983-10-10 10:16:57,40.4400,25.4300,8,5.4,8.6 km WSW of Samothraki
1983-09-01 05:47:37,40.5800,25.1900,16,4.0,30.5 km WNW of Samothraki
1983-08-24 19:53:38,40.4700,25.0800,6,4.0,37.4 km W of Samothraki
1983-08-21 07:55:54,40.4900,24.7400,16,4.0,32.1 km S of Thasos
1983-08-20 06:18:52,40.4100,24.6900,25,4.0,41.0 km S of Thasos
1983-08-19 04:43:16,40.2700,24.8700,5,4.2,50.9 km NW of Limnos
1983-08-18 13:10:52,40.4300,24.9400,12,4.1,43.3 km SSE of Thasos
1983-08-17 11:26:29,40.3500,25.0500,7,4.4,42.3 km WSW of Samothraki
1983-08-08 08:09:29,40.3900,25.5100,5,5.1,9.3 km S of Samothraki
1983-08-08 02:41:32,40.9000,25.2100,6,4.1,29.3 km SSW of Komotini
1983-03-12 04:10:56,40.3900,24.9400,16,4.0,47.3 km SSE of Thasos
1983-03-11 22:55:50,40.4400,24.9800,38,4.2,44.0 km SSE of Thasos
1982-11-14 09:08:28,40.8400,25.8500,41,4.1,2.2 km WSW of Alexandroupolis
1982-09-11 10:54:05,40.5000,25.4000,10,4.4,10.8 km WNW of Samothraki
1982-06-20 13:57:09,40.4000,25.4000,10,4.0,13.2 km SW of Samothraki
1978-10-21 05:12:14,40.9000,25.6000,33,4.0,23.8 km WNW of Alexandroupolis
1977-11-06 02:48:58,40.8000,25.5000,10,4.1,31.9 km W of Alexandroupolis
1972-12-13 02:58:50,41.5000,24.0000,10,4.3,40.1 km NNW of Drama
1972-09-23 02:20:38,42.0000,25.1000,10,4.1,97.2 km N of Xanthi
1972-07-18 13:45:48,41.4000,23.9000,10,4.1,33.9 km NW of Drama
1967-08-03 22:55:39,41.1000,24.2000,10,4.1,7.9 km SE of Drama
1967-07-25 08:37:21,42.0000,25.0000,10,4.5,96.0 km N of Xanthi
1967-05-09 02:39:57,40.5000,25.0000,10,4.1,39.5 km SE of Thasos
