Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-10-07 06:18:45,38.2828,23.3047,14,4.5,32.6 km SW of Chalkida
2022-04-10 02:12:29,38.3134,23.3821,12,4.3,25.3 km SW of Chalkida
2021-09-02 05:48:37,38.3299,23.3372,11,4.0,27.3 km WSW of Chalkida
2021-07-20 05:05:26,38.3363,23.3281,10,4.1,27.6 km WSW of Chalkida
2021-07-11 00:00:17,38.3336,23.3217,8,4.3,28.2 km WSW of Chalkida
2020-12-02 10:54:56,38.3272,23.4590,6,4.4,19.5 km SW of Chalkida
2019-07-28 16:09:08,38.1038,23.5396,9,4.2,21.6 km NW of Athens
2019-07-19 12:11:54,38.0956,23.5808,15,4.3,18.3 km NW of Athens
2019-07-19 11:13:15,38.1180,23.5300,13,5.1,23.3 km NW of Athens
2017-06-25 13:54:41,38.3738,23.3413,10,4.0,24.6 km WSW of Chalkida
2014-07-11 09:46:04,38.4500,23.7100,26,4.4,9.7 km E of Chalkida
2011-08-21 06:14:18,37.6300,23.3200,115,4.3,45.8 km E of Nafplio
2009-09-02 08:17:37,38.1000,23.3300,24,4.3,37.6 km WNW of Athens
2008-10-27 13:42:12,38.4000,23.6500,22,4.0,8.3 km SSE of Chalkida
2008-10-26 17:20:30,38.4200,23.6800,22,4.4,8.5 km SE of Chalkida
2008-06-06 23:01:39,38.1000,23.6200,24,4.0,16.3 km NW of Athens
2005-01-03 21:44:28,37.6400,23.3300,123,4.5,46.8 km E of Nafplio
2001-10-26 13:32:52,38.1000,23.3100,24,4.0,37.7 km ENE of Korinthos
1999-10-23 02:25:01,38.0900,23.2500,28,4.1,32.6 km ENE of Korinthos
1999-09-08 16:54:08,38.2200,23.7000,26,4.0,26.5 km N of Athens
1999-09-08 12:55:00,38.1900,23.6400,29,4.0,24.4 km NNW of Athens
1999-09-07 20:44:55,38.1900,23.7200,21,4.4,23.0 km N of Athens
1999-09-07 20:32:26,38.1700,23.5500,26,4.1,26.2 km NW of Athens
1999-09-07 13:05:48,38.1400,23.6100,24,4.1,20.5 km NNW of Athens
1999-09-07 11:56:50,38.1500,23.6200,30,5.4,21.0 km NNW of Athens
1997-11-05 10:27:54,38.2400,23.5200,26,4.0,25.8 km SSW of Chalkida
1991-09-10 18:59:15,37.7400,23.3500,155,4.2,42.8 km ESE of Korinthos
1988-09-11 21:45:24,38.1500,23.2200,13,4.5,34.5 km NE of Korinthos
1983-10-07 04:14:05,37.9900,23.2500,122,4.0,28.5 km ENE of Korinthos
1983-08-12 17:17:26,38.1200,23.2200,9,4.0,32.3 km NE of Korinthos
1981-09-23 23:10:01,38.2000,23.2000,10,4.1,37.4 km NE of Korinthos
1981-08-27 04:44:46,38.2000,23.2000,10,4.3,37.4 km NE of Korinthos
1981-06-21 05:10:05,38.2000,23.2000,10,4.2,37.4 km NE of Korinthos
1981-05-09 14:00:56,38.2000,23.2000,10,4.4,37.4 km NE of Korinthos
1981-04-13 08:11:47,38.4000,23.4000,10,4.3,18.8 km WSW of Chalkida
1981-03-19 15:18:46,38.2000,23.2000,10,4.1,37.4 km NE of Korinthos
1981-03-18 16:55:28,38.3000,23.2000,10,4.7,32.2 km ESE of Levadhia
1981-03-16 01:52:12,38.3000,23.3000,10,4.3,31.8 km SW of Chalkida
1981-03-12 01:49:37,38.3000,23.3000,10,4.6,31.8 km SW of Chalkida
1981-03-11 07:34:09,38.3000,23.2000,10,4.4,32.2 km ESE of Levadhia
1981-03-07 20:12:57,38.3000,23.2000,10,4.0,32.2 km ESE of Levadhia
1981-03-07 16:54:32,38.2000,23.2000,10,4.3,37.4 km NE of Korinthos
1981-03-07 11:51:35,38.2000,23.3000,10,4.5,39.3 km SW of Chalkida
1981-03-07 11:34:42,38.2000,23.3000,10,5.1,39.3 km SW of Chalkida
1981-03-05 23:58:35,38.2000,23.2000,10,4.0,37.4 km NE of Korinthos
1981-03-05 21:54:37,38.2000,23.2000,10,4.3,37.4 km NE of Korinthos
1981-03-05 06:59:06,38.3000,23.2000,10,5.6,32.2 km ESE of Levadhia
1981-03-04 23:17:50,38.3000,23.2000,10,4.2,32.2 km ESE of Levadhia
1981-03-04 22:47:29,38.3000,23.2000,10,4.2,32.2 km ESE of Levadhia
1981-03-04 22:03:11,38.2000,23.2000,10,4.0,37.4 km NE of Korinthos
1981-03-04 21:58:04,38.3000,23.2000,10,5.8,32.2 km ESE of Levadhia
1981-03-04 18:21:34,38.3000,23.2000,10,4.1,32.2 km ESE of Levadhia
1981-03-03 17:01:44,38.3000,23.2000,10,4.3,32.2 km ESE of Levadhia
1981-02-28 17:06:21,38.2000,23.2000,10,4.5,37.4 km NE of Korinthos
1981-02-28 13:00:50,38.2000,23.3000,10,4.2,39.3 km SW of Chalkida
1981-02-27 01:01:44,38.3000,23.2000,10,4.3,32.2 km ESE of Levadhia
1981-02-26 20:09:03,38.3000,23.2000,10,4.2,32.2 km ESE of Levadhia
1980-04-24 19:33:40,38.2000,23.2000,10,4.3,37.4 km NE of Korinthos
1980-02-28 23:45:15,38.3000,23.2000,10,4.3,32.2 km ESE of Levadhia
1977-03-26 05:48:45,37.8000,23.2000,28,4.2,28.1 km ESE of Korinthos
1969-01-17 08:35:28,37.7000,23.2000,10,4.0,35.4 km SE of Korinthos
1968-07-04 21:47:51,37.7000,23.2000,10,5.0,35.4 km SE of Korinthos
1965-04-03 05:19:21,38.1100,23.7000,10,4.6,14.4 km NNW of Athens
