Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2017-06-21 12:46:04,35.3708,24.5048,65,4.3,3.1 km ENE of Rethimnon
2017-03-08 07:55:02,35.7300,24.5058,52,4.3,40.7 km N of Rethimnon
2003-01-21 06:46:31,35.1900,24.1400,40,4.0,35.8 km WSW of Rethimnon
2002-12-17 22:33:27,35.2200,24.3700,17,4.0,18.5 km SSW of Rethimnon
2002-01-07 11:09:33,35.7400,24.2100,27,4.1,30.8 km NE of Chania
2001-10-30 06:10:17,35.1400,24.1800,28,4.0,36.4 km SW of Rethimnon
2001-03-02 16:10:01,35.9300,24.2500,59,4.2,51.0 km NNE of Chania
2000-08-05 02:56:15,35.0700,24.3300,14,4.0,35.2 km SSW of Rethimnon
1999-01-19 10:55:37,35.1100,24.1800,22,4.0,38.8 km SW of Rethimnon
1996-07-13 01:36:38,35.4100,24.2700,37,4.0,18.9 km WNW of Rethimnon
1994-04-12 11:14:47,35.2700,24.1100,9,4.1,28.3 km SSE of Chania
1993-12-25 10:15:31,35.1700,24.2800,23,4.4,27.8 km SW of Rethimnon
1991-07-28 03:37:59,35.1600,24.1600,48,4.0,36.3 km SW of Rethimnon
1989-02-19 03:36:47,35.1300,24.2700,27,4.0,31.9 km SW of Rethimnon
1984-01-14 22:15:05,35.2300,24.4500,66,4.8,15.1 km S of Rethimnon
1983-05-08 03:38:52,35.7100,24.2600,108,4.2,31.2 km NE of Chania
1969-12-01 20:18:09,35.1000,24.2000,50,4.5,38.4 km SW of Rethimnon
