Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-02-24 22:59:02,38.6545,25.5588,35,4.3,59.5 km WNW of Chios
2021-12-04 13:01:09,38.4787,25.9616,16,4.0,19.6 km NW of Chios
2018-02-25 15:21:14,38.5666,25.6320,22,4.1,49.1 km WNW of Chios
2010-12-11 23:02:17,38.4900,25.5900,26,4.0,49.5 km WNW of Chios
2007-11-12 21:11:33,38.7600,25.5900,38,4.0,64.5 km NW of Chios
2007-11-09 07:11:52,38.7700,25.7200,44,4.7,57.5 km NW of Chios
2007-11-09 07:07:37,38.7600,25.7000,38,4.6,57.8 km NW of Chios
2007-11-09 01:43:04,38.7700,25.7700,37,5.1,54.9 km NW of Chios
2004-11-22 19:13:32,38.4800,25.5700,27,4.6,50.8 km WNW of Chios
2001-12-26 23:30:52,38.5100,25.5500,39,4.0,53.4 km WNW of Chios
2001-07-18 00:58:22,38.6700,26.0200,14,4.0,35.1 km NNW of Chios
2001-06-13 07:05:54,38.5300,25.6300,25,4.0,47.6 km WNW of Chios
2001-06-10 14:13:29,38.4500,25.6000,7,4.1,47.6 km W of Chios
2001-06-10 13:11:03,38.4700,25.5900,32,5.1,48.9 km WNW of Chios
2001-05-20 04:30:14,38.4900,25.5800,29,4.2,50.3 km WNW of Chios
2001-05-20 03:09:42,38.5100,25.7200,30,4.4,39.5 km WNW of Chios
1998-01-05 20:48:29,38.8000,25.8800,19,4.1,51.8 km SW of Mitilini
1997-12-22 17:33:56,38.8300,25.9200,26,4.0,47.1 km SW of Mitilini
1997-11-14 21:38:52,38.8000,25.8700,25,5.4,52.4 km SW of Mitilini
1997-11-03 08:36:26,38.5300,25.8700,31,4.0,29.3 km NW of Chios
1996-11-25 04:50:33,38.8200,25.6900,22,4.3,61.9 km SW of Mitilini
1984-06-26 19:48:09,38.8100,25.8700,39,4.8,51.5 km SW of Mitilini
1984-06-17 07:52:58,38.6700,25.9900,12,4.1,35.9 km NNW of Chios
1984-05-15 22:53:02,38.7400,25.7600,15,4.0,52.7 km NW of Chios
1984-05-14 11:21:50,38.8100,25.8300,37,4.1,53.8 km SW of Mitilini
1984-05-06 09:12:03,38.7700,25.7100,25,4.9,58.1 km NW of Chios
1982-06-25 16:52:36,38.8000,26.0000,10,4.0,46.1 km SSW of Mitilini
1980-11-29 20:03:09,38.4000,25.5000,10,4.6,55.5 km W of Chios
1976-02-23 16:18:30,38.3000,25.5000,10,4.7,56.0 km W of Chios
1975-12-06 08:19:09,38.5000,25.6000,10,4.5,48.9 km WNW of Chios
1968-10-28 15:54:29,38.8000,25.9000,10,4.6,50.8 km SW of Mitilini
