Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-10-07 06:18:45,38.2828,23.3047,14,4.5,32.6 km SW of Chalkida
2022-04-10 02:12:29,38.3134,23.3821,12,4.3,25.3 km SW of Chalkida
2021-12-26 16:13:51,38.1020,23.1367,17,4.0,25.6 km NE of Korinthos
2021-09-02 05:48:37,38.3299,23.3372,11,4.0,27.3 km WSW of Chalkida
2021-08-30 21:06:34,37.8474,23.1047,14,4.1,18.2 km ESE of Korinthos
2021-07-20 05:05:26,38.3363,23.3281,10,4.1,27.6 km WSW of Chalkida
2021-07-11 00:00:17,38.3336,23.3217,8,4.3,28.2 km WSW of Chalkida
2020-09-11 03:00:58,38.1157,23.1798,13,4.3,29.4 km NE of Korinthos
2020-03-07 08:20:11,38.1496,22.9811,8,4.0,23.9 km N of Korinthos
2017-06-25 13:54:41,38.3738,23.3413,10,4.0,24.6 km WSW of Chalkida
2013-09-20 02:05:18,38.1800,23.1300,23,4.4,32.0 km NNE of Korinthos
2012-02-17 08:05:04,37.8700,23.0200,17,4.2,10.8 km SE of Korinthos
2011-09-06 04:14:13,37.8800,23.1000,104,4.1,16.1 km ESE of Korinthos
2011-08-21 06:14:18,37.6300,23.3200,115,4.3,45.8 km E of Nafplio
2010-09-02 03:53:04,38.2200,23.1700,26,4.3,35.2 km SE of Levadhia
2009-09-02 08:17:37,38.1000,23.3300,24,4.3,37.6 km WNW of Athens
2005-01-03 21:44:28,37.6400,23.3300,123,4.5,46.8 km E of Nafplio
2003-08-10 09:27:54,37.8200,23.1600,37,4.3,23.9 km ESE of Korinthos
2001-10-26 13:32:52,38.1000,23.3100,24,4.0,37.7 km ENE of Korinthos
1999-10-23 02:25:01,38.0900,23.2500,28,4.1,32.6 km ENE of Korinthos
1992-05-26 05:27:07,38.2000,23.0100,10,4.0,28.7 km SSE of Levadhia
1991-09-10 18:59:15,37.7400,23.3500,155,4.2,42.8 km ESE of Korinthos
1990-10-12 05:36:17,38.1600,23.1900,14,4.0,33.5 km NE of Korinthos
1988-09-11 21:45:24,38.1500,23.2200,13,4.5,34.5 km NE of Korinthos
1986-05-22 05:52:29,38.1200,23.1700,17,4.0,29.1 km NE of Korinthos
1983-10-07 04:14:05,37.9900,23.2500,122,4.0,28.5 km ENE of Korinthos
1983-08-12 17:17:26,38.1200,23.2200,9,4.0,32.3 km NE of Korinthos
1982-07-29 22:08:46,38.2000,23.1000,10,4.1,32.6 km NNE of Korinthos
1981-09-23 23:10:01,38.2000,23.2000,10,4.1,37.4 km NE of Korinthos
1981-08-27 04:44:46,38.2000,23.2000,10,4.3,37.4 km NE of Korinthos
1981-06-21 05:10:05,38.2000,23.2000,10,4.2,37.4 km NE of Korinthos
1981-06-17 12:17:50,38.2000,23.0000,10,4.0,28.4 km SSE of Levadhia
1981-06-16 19:38:26,38.2000,23.0000,10,4.0,28.4 km SSE of Levadhia
1981-05-31 04:29:17,38.1000,23.0000,10,4.2,19.0 km NNE of Korinthos
1981-05-09 14:00:56,38.2000,23.2000,10,4.4,37.4 km NE of Korinthos
1981-04-13 08:11:47,38.4000,23.4000,10,4.3,18.8 km WSW of Chalkida
1981-03-26 14:40:11,38.2000,23.0000,10,4.4,28.4 km SSE of Levadhia
1981-03-19 15:18:46,38.2000,23.2000,10,4.1,37.4 km NE of Korinthos
1981-03-18 16:55:28,38.3000,23.2000,10,4.7,32.2 km ESE of Levadhia
1981-03-16 01:52:12,38.3000,23.3000,10,4.3,31.8 km SW of Chalkida
1981-03-12 01:49:37,38.3000,23.3000,10,4.6,31.8 km SW of Chalkida
1981-03-11 07:34:09,38.3000,23.2000,10,4.4,32.2 km ESE of Levadhia
1981-03-08 02:18:15,38.3000,23.0000,10,4.1,18.6 km SE of Levadhia
1981-03-07 20:12:57,38.3000,23.2000,10,4.0,32.2 km ESE of Levadhia
1981-03-07 16:54:32,38.2000,23.2000,10,4.3,37.4 km NE of Korinthos
1981-03-07 11:51:35,38.2000,23.3000,10,4.5,39.3 km SW of Chalkida
1981-03-07 11:34:42,38.2000,23.3000,10,5.1,39.3 km SW of Chalkida
1981-03-05 23:58:35,38.2000,23.2000,10,4.0,37.4 km NE of Korinthos
1981-03-05 21:54:37,38.2000,23.2000,10,4.3,37.4 km NE of Korinthos
1981-03-05 18:08:26,38.2000,23.1000,10,4.0,32.6 km NNE of Korinthos
1981-03-05 10:29:45,38.2000,23.1000,10,4.2,32.6 km NNE of Korinthos
1981-03-05 06:59:06,38.3000,23.2000,10,5.6,32.2 km ESE of Levadhia
1981-03-05 02:53:46,38.3000,23.1000,10,4.1,24.8 km SE of Levadhia
1981-03-05 01:10:13,38.2000,23.1000,10,4.7,32.6 km NNE of Korinthos
1981-03-05 00:50:37,38.1000,23.1000,10,4.1,23.3 km NE of Korinthos
1981-03-04 23:17:50,38.3000,23.2000,10,4.2,32.2 km ESE of Levadhia
1981-03-04 23:06:47,38.3000,23.1000,10,4.0,24.8 km SE of Levadhia
1981-03-04 23:04:45,38.2000,23.1000,10,4.5,32.6 km NNE of Korinthos
1981-03-04 22:56:43,38.2000,23.1000,10,4.0,32.6 km NNE of Korinthos
1981-03-04 22:47:29,38.3000,23.2000,10,4.2,32.2 km ESE of Levadhia
1981-03-04 22:31:05,38.3000,23.1000,10,4.4,24.8 km SE of Levadhia
1981-03-04 22:14:28,38.2000,23.1000,10,4.3,32.6 km NNE of Korinthos
1981-03-04 22:03:11,38.2000,23.2000,10,4.0,37.4 km NE of Korinthos
1981-03-04 21:58:04,38.3000,23.2000,10,5.8,32.2 km ESE of Levadhia
1981-03-04 18:21:34,38.3000,23.2000,10,4.1,32.2 km ESE of Levadhia
1981-03-04 13:48:33,38.3000,23.1000,10,4.3,24.8 km SE of Levadhia
1981-03-03 17:01:44,38.3000,23.2000,10,4.3,32.2 km ESE of Levadhia
1981-03-03 13:04:28,38.2000,23.1000,10,4.1,32.6 km NNE of Korinthos
1981-03-03 10:28:07,38.3000,23.1000,10,4.1,24.8 km SE of Levadhia
1981-03-03 10:27:06,38.3000,23.1000,10,4.3,24.8 km SE of Levadhia
1981-02-28 17:06:21,38.2000,23.2000,10,4.5,37.4 km NE of Korinthos
1981-02-28 13:00:50,38.2000,23.3000,10,4.2,39.3 km SW of Chalkida
1981-02-27 01:11:12,38.2000,23.1000,10,4.0,32.6 km NNE of Korinthos
1981-02-27 01:01:44,38.3000,23.2000,10,4.3,32.2 km ESE of Levadhia
1981-02-26 20:09:03,38.3000,23.2000,10,4.2,32.2 km ESE of Levadhia
1981-02-26 19:30:45,38.2000,23.1000,10,4.2,32.6 km NNE of Korinthos
1981-02-26 16:09:19,38.2000,23.1000,10,4.1,32.6 km NNE of Korinthos
1981-02-26 02:58:31,38.2000,23.0000,10,4.3,28.4 km SSE of Levadhia
1981-02-26 02:43:32,38.2000,23.0000,10,4.0,28.4 km SSE of Levadhia
1981-02-25 13:53:29,38.3000,23.1000,10,4.1,24.8 km SE of Levadhia
1981-02-25 11:34:27,38.2000,23.1000,10,4.2,32.6 km NNE of Korinthos
1981-02-25 10:07:39,38.3000,23.0000,10,4.2,18.6 km SE of Levadhia
1981-02-25 06:59:37,38.2000,23.0000,10,4.3,28.4 km SSE of Levadhia
1981-02-25 06:08:41,38.2000,23.1000,10,4.1,32.6 km NNE of Korinthos
1981-02-25 05:09:58,38.2000,23.1000,10,4.9,32.6 km NNE of Korinthos
1981-02-25 05:08:13,38.2000,23.1000,10,5.1,32.6 km NNE of Korinthos
1981-02-25 04:30:17,38.3000,23.1000,10,4.2,24.8 km SE of Levadhia
1981-02-25 02:35:50,38.2000,23.0000,10,5.9,28.4 km SSE of Levadhia
1981-02-25 01:57:53,38.1000,23.0000,10,5.2,19.0 km NNE of Korinthos
1981-02-25 01:15:32,38.0000,23.0000,10,4.0,9.1 km NE of Korinthos
1981-02-24 23:17:17,38.2000,23.0000,10,4.1,28.4 km SSE of Levadhia
1981-02-24 22:29:40,38.1000,23.0000,10,4.0,19.0 km NNE of Korinthos
1981-02-24 21:53:28,38.2000,23.0000,10,4.0,28.4 km SSE of Levadhia
1981-02-24 21:35:05,38.2000,23.0000,10,4.0,28.4 km SSE of Levadhia
1981-02-24 21:04:00,38.1000,23.0000,10,4.0,19.0 km NNE of Korinthos
1981-02-24 20:53:36,38.1400,23.0000,10,6.3,23.3 km NNE of Korinthos
1980-04-24 19:33:40,38.2000,23.2000,10,4.3,37.4 km NE of Korinthos
1980-02-28 23:45:15,38.3000,23.2000,10,4.3,32.2 km ESE of Levadhia
1978-09-09 16:32:00,38.4000,23.1000,33,4.4,20.1 km E of Levadhia
1978-04-05 04:50:44,37.7000,23.0000,33,4.0,22.7 km NE of Nafplio
1977-03-26 05:48:45,37.8000,23.2000,28,4.2,28.1 km ESE of Korinthos
1975-10-12 08:23:10,37.9000,23.1000,10,4.6,15.3 km ESE of Korinthos
1974-12-01 06:21:13,38.4000,23.0000,10,4.4,11.7 km ESE of Levadhia
1974-11-14 14:26:49,38.4000,23.1000,10,4.7,20.1 km E of Levadhia
1974-11-14 13:22:32,38.4000,23.1000,10,4.7,20.1 km E of Levadhia
1969-01-17 08:35:28,37.7000,23.2000,10,4.0,35.4 km SE of Korinthos
1968-07-04 21:47:51,37.7000,23.2000,10,5.0,35.4 km SE of Korinthos
