Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2025-05-30 12:40:16,35.1228,25.2242,9,4.2,24.0 km SSE of Iraklion
2024-07-26 16:02:27,35.6406,25.6174,14,4.5,56.3 km NE of Iraklion
2024-06-11 06:17:43,35.1567,25.2214,12,4.2,20.5 km SSE of Iraklion
2022-07-20 09:01:01,35.1897,25.3194,10,4.5,22.8 km SE of Iraklion
2022-07-14 15:36:38,35.2057,25.3253,12,4.0,22.1 km SE of Iraklion
2022-07-13 08:19:53,35.1842,25.3130,8,4.1,22.8 km SE of Iraklion
2022-06-04 09:02:27,35.1878,25.3267,11,4.0,23.5 km SE of Iraklion
2022-05-08 13:22:31,35.1448,25.3175,10,4.4,26.3 km SE of Iraklion
2022-03-19 10:40:40,35.1485,25.3047,9,4.1,25.2 km SE of Iraklion
2022-03-16 02:20:15,34.9191,25.2768,14,4.6,47.1 km SSE of Iraklion
2022-03-02 16:57:48,35.1842,25.3120,8,4.1,22.7 km SE of Iraklion
2021-12-29 23:06:38,35.1077,25.2017,15,4.2,25.0 km SSE of Iraklion
2021-10-22 10:11:30,35.1219,25.2260,12,4.3,24.2 km SSE of Iraklion
2021-10-21 14:14:01,35.1073,25.2269,14,4.0,25.7 km SSE of Iraklion
2021-10-21 09:38:37,35.1265,25.2370,14,4.5,24.1 km SSE of Iraklion
2021-10-21 08:12:56,35.1274,25.2461,14,4.5,24.3 km SSE of Iraklion
2021-10-20 02:44:05,35.1759,25.3093,12,4.3,23.2 km SE of Iraklion
2021-09-29 11:54:49,35.1439,25.2058,16,4.6,21.3 km SSE of Iraklion
2021-09-28 15:13:15,35.1466,25.2663,14,4.6,23.4 km SSE of Iraklion
2021-09-28 04:48:09,35.1540,25.2232,11,5.3,20.8 km SSE of Iraklion
2021-09-27 21:37:10,35.1631,25.3102,14,4.4,24.3 km SE of Iraklion
2021-09-27 20:10:00,35.1274,25.2480,14,4.4,24.4 km SSE of Iraklion
2021-09-27 11:02:25,35.1805,25.2525,13,4.7,19.5 km SE of Iraklion
2021-09-27 10:34:20,35.1155,25.2654,13,4.0,26.3 km SSE of Iraklion
2021-09-27 10:23:11,35.1237,25.2773,13,4.0,26.1 km SSE of Iraklion
2021-09-27 08:21:57,35.1425,25.3024,12,4.4,25.6 km SE of Iraklion
2021-09-27 07:47:24,35.1315,25.1907,15,4.1,22.2 km SSE of Iraklion
2021-09-27 07:46:30,35.1640,25.1866,18,4.2,18.6 km SSE of Iraklion
2021-09-27 07:30:45,35.1334,25.2457,14,4.5,23.7 km SSE of Iraklion
2021-09-27 06:37:42,35.1338,25.2837,14,4.4,25.4 km SSE of Iraklion
2021-09-27 06:17:21,35.1530,25.2745,10,5.7,23.2 km SE of Iraklion
2021-07-24 02:07:37,35.1411,25.2287,13,4.8,22.3 km SSE of Iraklion
2021-07-20 17:44:15,35.1695,25.2333,13,4.1,19.6 km SSE of Iraklion
2021-07-18 04:56:53,35.1649,25.2315,17,4.0,20.0 km SSE of Iraklion
2021-07-05 20:40:30,35.1572,25.2530,16,4.2,21.7 km SSE of Iraklion
2021-07-02 19:46:08,35.1787,25.2415,13,4.1,19.1 km SSE of Iraklion
2021-06-04 01:05:26,35.1585,25.2516,15,4.2,21.5 km SSE of Iraklion
2020-09-18 16:28:18,34.9338,25.2933,52,5.3,45.9 km SSE of Iraklion
2019-10-29 13:01:54,35.6662,25.1724,60,4.1,38.1 km N of Iraklion
2019-07-04 04:01:32,35.4153,25.3079,12,4.2,19.0 km ENE of Iraklion
2017-07-21 10:36:54,34.9123,25.5002,4,4.3,56.9 km SE of Iraklion
2017-07-15 20:30:15,34.8185,25.4608,5,5.3,63.8 km SSE of Iraklion
