Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-07-12 06:48:27,39.3013,20.9102,16,4.0,16.9 km NNW of Arta
2022-07-17 06:21:57,39.2693,20.8974,16,4.1,14.3 km NNW of Arta
2015-08-08 17:22:20,39.2400,21.3800,11,4.2,35.1 km ENE of Arta
2005-09-15 03:30:21,39.7000,20.9600,14,4.1,10.0 km ENE of Ioannina
2005-04-26 23:13:53,39.3000,21.1400,26,4.1,20.4 km NE of Arta
1999-03-31 00:00:25,39.6100,20.9000,54,4.3,7.7 km SSE of Ioannina
1997-09-19 12:00:28,40.0500,21.3800,11,4.9,4.8 km SW of Grevena
1989-09-19 07:57:07,39.4800,21.3600,1,4.5,35.9 km WSW of Trikala
1983-08-28 03:30:40,39.7400,21.3900,11,4.0,38.2 km S of Grevena
1972-04-11 11:12:11,39.4000,21.4000,10,4.0,36.0 km WSW of Trikala
1970-01-31 01:26:44,39.4000,21.0000,10,4.0,26.7 km N of Arta
1969-10-16 22:55:40,39.5000,20.9000,10,4.0,19.1 km SSE of Ioannina
1967-06-12 18:12:38,39.3000,21.2000,10,4.1,24.1 km NE of Arta
1967-05-09 08:00:37,39.8000,20.9000,10,4.2,15.3 km NNE of Ioannina
1967-05-05 20:18:27,39.7000,20.9000,10,4.0,5.5 km NE of Ioannina
1967-05-05 14:49:54,39.8000,20.9000,10,4.2,15.3 km NNE of Ioannina
1967-05-04 17:11:01,39.8000,21.1000,10,4.0,25.9 km NE of Ioannina
1967-05-04 13:30:54,39.8000,20.9000,10,4.1,15.3 km NNE of Ioannina
1967-05-04 13:13:24,40.0000,20.9000,10,4.2,13.3 km ESE of Konitsa
1967-05-04 04:46:10,39.8000,21.0000,10,4.2,19.5 km NE of Ioannina
1967-05-04 03:18:25,39.7500,21.0000,10,4.0,15.7 km NE of Ioannina
1967-05-02 19:29:21,39.8000,21.0000,10,4.1,19.5 km NE of Ioannina
1967-05-02 15:29:48,39.8000,21.0000,10,4.2,19.5 km NE of Ioannina
1967-05-02 09:56:14,39.8000,20.9000,10,4.1,15.3 km NNE of Ioannina
1967-05-02 08:11:47,39.8000,20.9000,10,4.4,15.3 km NNE of Ioannina
1967-05-02 01:27:12,39.8000,20.9000,10,4.2,15.3 km NNE of Ioannina
1967-05-01 16:39:56,39.8000,20.9000,10,4.1,15.3 km NNE of Ioannina
1967-05-01 14:37:54,39.8000,21.0000,10,4.2,19.5 km NE of Ioannina
1967-05-01 09:50:00,39.7000,20.9000,10,5.0,5.5 km NE of Ioannina
1967-05-01 09:47:33,39.8000,21.0000,10,4.2,19.5 km NE of Ioannina
1966-09-23 23:47:48,39.5000,20.9000,100,4.2,19.1 km SSE of Ioannina
1966-08-09 20:20:48,39.5000,21.4000,10,4.0,32.1 km W of Trikala
1966-08-08 12:34:07,39.6000,21.0000,10,4.0,14.8 km ESE of Ioannina
1966-06-13 11:44:52,39.5000,21.0000,10,4.0,22.6 km SE of Ioannina
1966-05-04 06:36:50,39.3000,21.3000,10,5.5,31.2 km ENE of Arta
1966-04-28 11:47:26,39.4000,20.9000,50,4.4,27.6 km NNW of Arta
1966-03-28 04:04:34,39.4000,21.4000,10,4.0,36.0 km WSW of Trikala
1966-03-14 14:08:34,39.4000,21.1000,10,4.6,28.4 km NNE of Arta
1966-03-11 20:19:10,39.2500,21.2500,10,4.4,24.9 km ENE of Arta
1966-02-14 20:16:48,39.3000,21.2000,10,4.1,24.1 km NE of Arta
1966-02-12 13:36:13,39.3000,21.4000,10,4.4,38.9 km ENE of Arta
