Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2025-08-07 09:49:01,37.0949,21.8990,19,4.7,20.1 km WNW of Kalamata
2025-05-27 16:50:40,36.8381,21.8527,33,4.2,13.8 km E of Methoni
2025-01-06 09:47:56,37.3906,21.6710,16,4.6,37.9 km SSE of Pyrgos
2023-02-03 12:44:13,36.6508,21.6252,6,4.1,19.6 km SSW of Methoni
2020-11-18 23:10:59,37.1965,21.5977,10,4.3,43.2 km NNW of Methoni
2019-04-25 11:04:22,37.3389,22.1045,11,4.1,30.8 km SW of Tripolis
2016-09-28 07:17:34,36.7300,21.8700,56,5.0,17.9 km ESE of Methoni
2014-01-29 21:04:09,37.0800,21.8800,29,4.3,21.3 km WNW of Kalamata
2013-06-06 11:53:46,36.7400,21.8600,39,5.0,16.6 km ESE of Methoni
2012-04-16 15:06:54,36.6600,21.6700,34,4.4,17.6 km S of Methoni
2012-04-16 12:02:16,36.6200,21.6500,36,4.2,22.3 km SSW of Methoni
2012-02-22 02:23:13,37.4500,21.6600,15,4.2,31.9 km SE of Pyrgos
2012-01-24 21:40:27,36.7800,21.7200,22,4.0,4.4 km SSE of Methoni
2011-10-10 19:07:00,37.1900,22.0400,11,4.5,18.0 km NNW of Kalamata
2011-09-14 03:35:27,37.1900,22.0500,10,4.5,17.7 km NNW of Kalamata
2011-08-14 01:05:01,37.2500,22.0000,14,4.5,25.6 km NNW of Kalamata
2011-07-21 16:44:31,36.7800,21.8100,41,4.0,10.6 km ESE of Methoni
2006-11-24 17:16:58,37.1600,21.5800,12,4.1,39.6 km NNW of Methoni
2005-03-20 00:51:01,37.4800,22.0100,19,4.0,32.8 km W of Tripolis
2003-04-29 01:51:20,36.8300,21.7200,67,5.0,2.3 km NE of Methoni
2002-01-01 22:15:57,37.2900,21.8300,5,4.1,37.6 km NW of Kalamata
2001-09-16 02:00:48,37.2900,21.8300,5,5.2,37.6 km NW of Kalamata
2000-07-25 19:33:59,37.3100,21.9100,5,4.8,35.2 km NNW of Kalamata
1999-03-10 20:33:48,37.4700,21.6300,5,4.1,28.5 km SE of Pyrgos
1998-07-04 03:58:19,37.3300,22.0100,5,4.0,33.7 km NNW of Kalamata
1996-03-22 23:06:38,36.7800,21.7600,1,4.0,6.7 km SE of Methoni
1992-10-30 04:56:28,37.3100,21.6800,1,4.1,46.2 km SSE of Pyrgos
1991-06-01 05:42:01,36.9700,21.9100,1,4.2,19.7 km WSW of Kalamata
1990-08-08 00:35:07,37.1600,22.0800,1,4.3,13.8 km NNW of Kalamata
1989-09-25 07:35:45,36.8400,21.6400,1,4.2,5.9 km WNW of Methoni
1988-10-15 07:00:49,37.4700,21.5800,1,4.3,26.3 km SSE of Pyrgos
1988-07-23 09:19:50,36.8500,21.8700,33,4.0,15.6 km ENE of Methoni
1987-12-10 22:51:14,36.6500,21.6800,18,4.7,18.6 km S of Methoni
1987-12-07 01:57:18,36.6100,21.7100,16,4.1,23.0 km S of Methoni
1987-09-16 01:18:14,36.7000,21.6100,32,4.3,15.3 km SSW of Methoni
1986-09-15 11:41:30,37.0800,22.0700,1,4.8,6.0 km NW of Kalamata
1986-07-05 21:24:26,37.2300,21.6100,9,4.5,46.6 km N of Methoni
1986-02-22 21:11:37,36.8800,21.9600,36,4.1,22.4 km SW of Kalamata
1984-10-25 09:49:18,37.1600,21.8700,5,4.5,25.5 km WNW of Kalamata
1984-10-09 08:12:13,37.0400,21.7400,5,4.2,25.1 km N of Methoni
1984-10-09 04:30:42,37.1000,21.7800,5,4.7,30.4 km WNW of Kalamata
1984-10-09 02:12:23,37.1300,21.8300,5,4.0,27.2 km WNW of Kalamata
1983-02-24 17:58:09,36.6300,22.1000,10,4.1,41.3 km ESE of Methoni
1982-11-20 07:36:42,36.7500,21.6400,7,4.5,9.1 km SW of Methoni
1981-09-23 20:18:32,36.8000,22.1000,10,4.2,26.6 km S of Kalamata
1979-12-01 13:34:28,37.2000,21.7000,10,4.9,40.9 km WNW of Kalamata
1977-07-30 19:51:38,36.8000,21.7000,28,4.4,1.9 km S of Methoni
1977-02-23 20:21:14,36.7000,21.7000,27,4.0,13.0 km S of Methoni
1973-05-22 15:26:07,36.7000,22.1000,10,4.2,37.7 km S of Kalamata
1966-05-24 09:39:22,37.2500,21.7500,10,4.5,39.9 km NW of Kalamata
1965-01-15 14:56:36,36.7500,21.7500,10,4.5,8.6 km SSE of Methoni
1965-01-12 17:26:01,37.0000,22.0000,10,4.0,11.0 km WSW of Kalamata
