Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2019-07-14 10:50:13,40.2141,21.7589,12,4.6,13.7 km SSE of Kozani
2015-08-24 04:25:20,40.7000,21.2700,16,4.0,14.3 km SW of Florina
2014-02-26 01:42:50,40.2300,21.6400,25,4.0,13.2 km SSW of Kozani
2012-06-17 19:20:42,40.5400,21.6400,24,4.2,23.9 km NNW of Kozani
2010-12-11 04:55:30,40.6300,21.4800,24,4.0,18.3 km SSE of Florina
2010-10-23 06:17:41,39.9600,21.4200,20,4.5,13.7 km S of Grevena
2007-09-01 17:19:54,40.1400,21.6200,18,4.0,18.4 km ENE of Grevena
2007-07-31 03:33:05,40.6100,21.5000,17,4.1,21.0 km SSE of Florina
2007-07-19 04:25:26,40.1300,21.6700,18,4.0,22.2 km ENE of Grevena
2007-07-17 18:23:20,40.1600,21.6100,22,4.9,18.5 km ENE of Grevena
2006-02-03 00:00:27,40.4400,21.3100,25,4.0,9.3 km SSE of Kastoria
2006-02-02 23:54:47,40.4500,21.3200,26,4.2,8.7 km SSE of Kastoria
1999-04-12 17:16:31,40.3400,21.5800,16,4.0,11.6 km W of Kozani
1998-06-20 11:40:25,40.0900,21.7100,5,4.0,25.0 km E of Grevena
1997-09-19 12:00:28,40.0500,21.3800,11,4.9,4.8 km SW of Grevena
1997-08-22 03:17:48,40.1400,21.6700,12,4.3,21.9 km S of Kozani
1997-02-13 20:10:22,40.2400,21.6100,12,4.1,13.8 km SW of Kozani
1996-10-10 19:07:47,40.2500,21.4400,1,4.4,18.6 km N of Grevena
1996-02-26 21:39:13,40.6100,21.6400,1,4.6,27.9 km SE of Florina
1996-02-26 15:30:17,40.6000,21.6800,1,4.0,29.8 km N of Kozani
1996-02-22 03:04:41,40.5800,21.6700,1,4.0,27.7 km N of Kozani
1996-02-18 17:45:03,40.6200,21.6200,1,4.1,26.0 km SE of Florina
1995-09-14 01:26:40,40.1700,21.5800,5,4.1,16.9 km NE of Grevena
1995-07-28 22:43:31,40.2200,21.6800,7,4.1,13.0 km SSW of Kozani
1995-07-19 18:23:15,40.1100,21.7100,7,4.5,24.8 km S of Kozani
1995-07-18 20:19:10,40.1300,21.6800,6,4.0,22.8 km S of Kozani
1995-07-18 07:42:55,40.1400,21.6300,5,4.3,19.2 km ENE of Grevena
1995-07-18 05:05:34,40.1300,21.6600,5,4.0,21.3 km ENE of Grevena
1995-07-18 03:09:08,40.1500,21.6000,7,4.0,17.3 km ENE of Grevena
1995-07-17 23:18:16,40.1400,21.6100,7,4.9,17.6 km ENE of Grevena
1995-06-19 04:41:33,40.1600,21.7400,5,4.0,19.4 km S of Kozani
1995-06-18 17:28:10,40.0000,21.5100,5,4.1,12.2 km SE of Grevena
1995-06-11 18:51:48,39.9900,21.6700,5,4.3,23.9 km ESE of Grevena
1995-06-06 04:35:59,40.1700,21.6500,5,4.2,19.0 km SSW of Kozani
1995-05-30 14:30:02,39.9900,21.6300,5,4.0,20.9 km ESE of Grevena
1995-05-30 12:06:43,40.1100,21.6700,5,4.1,21.8 km E of Grevena
1995-05-24 06:24:09,40.0100,21.6000,5,4.0,17.6 km ESE of Grevena
1995-05-23 20:09:54,40.0300,21.6100,5,4.1,17.5 km ESE of Grevena
1995-05-23 04:37:40,40.1100,21.5500,5,4.0,11.7 km ENE of Grevena
1995-05-22 20:21:35,40.1300,21.6200,5,4.0,18.1 km ENE of Grevena
1995-05-20 21:06:26,40.0400,21.6500,6,4.1,20.4 km ESE of Grevena
1995-05-20 20:09:32,40.0000,21.6000,5,4.0,18.1 km ESE of Grevena
