Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-03-02 13:47:05,39.1978,22.4382,82,4.0,33.1 km N of Lamia
2014-12-19 22:40:32,39.3300,22.6200,19,4.1,28.3 km W of Volos
1985-06-20 02:58:32,39.2600,22.8600,39,4.0,14.0 km SSW of Volos
1985-04-30 18:14:12,39.2400,22.8900,13,5.3,14.9 km SSW of Volos
1984-12-15 09:01:21,39.9100,22.7200,13,4.4,39.7 km NE of Larissa
1984-12-07 00:09:23,39.2800,22.8800,5,4.1,11.2 km SSW of Volos
1982-08-08 08:28:30,39.2000,22.9000,10,4.1,18.9 km SSW of Volos
1981-05-06 00:18:22,39.3000,22.9000,10,4.4,8.4 km SSW of Volos
1980-12-22 16:21:35,39.2000,22.8000,10,4.1,22.4 km SW of Volos
1980-09-26 04:19:18,39.2000,22.8000,10,4.4,22.4 km SW of Volos
1980-08-12 01:41:03,39.3000,22.9000,10,4.3,8.4 km SSW of Volos
1980-07-16 00:06:57,39.2000,22.8000,10,4.5,22.4 km SW of Volos
1980-07-10 19:39:01,39.3000,22.9000,10,5.0,8.4 km SSW of Volos
1980-07-09 06:11:06,39.3000,22.9000,10,4.1,8.4 km SSW of Volos
1980-07-09 04:23:20,39.2000,22.9000,10,4.1,18.9 km SSW of Volos
1980-07-09 02:35:50,39.2000,22.7000,10,5.6,28.1 km SW of Volos
