Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2025-02-18 16:54:34,38.0095,21.1052,14,5.0,18.7 km NW of Andravida
2024-07-07 14:41:04,37.8268,21.1862,6,4.7,10.8 km SW of Andravida
2024-07-06 17:34:29,37.8465,21.1803,11,4.9,9.6 km SW of Andravida
2023-01-29 05:09:11,37.6529,20.9775,16,4.0,17.0 km SSE of Zakynthos
2022-04-09 15:10:44,37.6497,20.9184,16,4.0,15.9 km S of Zakynthos
2021-12-17 23:28:03,37.9193,21.1139,8,4.4,13.6 km W of Andravida
2021-07-08 01:16:56,37.9225,21.0301,20,4.3,18.8 km NE of Zakynthos
2021-06-25 11:02:31,37.9701,20.8736,18,4.3,20.0 km N of Zakynthos
2021-02-28 12:26:03,37.9015,20.7664,19,4.2,16.7 km NW of Zakynthos
2021-01-25 13:35:27,37.7481,20.7852,14,4.0,10.8 km WSW of Zakynthos
2020-08-09 06:11:16,37.7399,21.1395,20,4.4,21.0 km SSW of Andravida
2020-05-16 08:29:43,37.9070,21.0310,27,4.3,17.5 km NE of Zakynthos
2020-01-19 02:52:09,38.1679,20.7481,7,4.8,23.3 km E of Argostoli
2020-01-17 17:47:38,37.5778,20.8914,25,4.5,23.8 km S of Zakynthos
2019-10-11 22:43:19,37.6991,20.9312,9,4.4,10.7 km SSE of Zakynthos
2019-05-21 08:58:18,37.9248,21.2549,5,4.4,2.9 km NNW of Andravida
2019-05-20 17:40:43,37.7953,21.0136,7,4.0,10.4 km E of Zakynthos
2019-05-15 10:54:41,37.9248,21.2549,6,4.1,2.9 km NNW of Andravida
2019-05-13 15:31:28,37.6891,21.2379,23,4.2,18.7 km W of Pyrgos
2019-03-17 11:49:39,37.7637,21.0645,23,4.5,15.2 km ESE of Zakynthos
2019-02-28 20:09:27,37.6236,20.9372,11,4.6,19.0 km S of Zakynthos
2019-02-04 17:41:09,37.7188,21.1827,26,4.3,21.5 km SSW of Andravida
2019-01-19 17:42:00,37.4898,20.7838,16,4.0,34.9 km SSW of Zakynthos
2019-01-11 18:54:09,37.6372,20.8648,15,4.0,17.4 km S of Zakynthos
2018-10-26 11:26:33,37.5772,20.8145,10,4.0,24.9 km SSW of Zakynthos
2018-10-26 09:54:11,37.6175,20.8588,18,4.0,19.6 km S of Zakynthos
