Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2019-03-15 21:54:19,39.7031,25.6094,16,4.2,38.8 km SE of Limnos
2014-05-24 11:33:07,40.3100,25.6300,29,4.0,20.3 km SSE of Samothraki
2014-05-24 09:25:01,40.2900,25.4000,28,6.3,22.9 km SSW of Samothraki
2013-12-18 21:20:06,39.8300,25.3900,30,4.2,15.3 km SE of Limnos
2013-01-13 08:55:14,39.6600,25.5100,29,4.8,36.2 km SE of Limnos
2013-01-11 00:30:20,39.6600,25.5100,30,4.4,36.2 km SE of Limnos
2013-01-09 15:41:32,39.6900,25.6000,27,4.7,39.1 km SE of Limnos
2013-01-08 14:16:08,39.6700,25.5600,31,5.8,38.1 km SE of Limnos
2011-10-13 14:44:41,40.2400,25.3000,29,4.2,32.1 km SW of Samothraki
2007-03-04 16:14:32,40.0000,25.3000,28,4.0,10.2 km NNE of Limnos
2005-11-15 05:51:31,40.3200,25.2800,26,4.1,26.7 km SW of Samothraki
2005-08-24 03:06:19,39.6800,25.5600,29,4.7,37.3 km SE of Limnos
2003-07-10 09:01:17,40.1800,25.3100,24,4.0,29.7 km N of Limnos
2003-06-10 01:01:51,40.2400,25.6400,26,4.1,27.8 km SSE of Samothraki
2001-09-26 01:29:36,40.3000,25.2300,38,4.0,31.4 km SW of Samothraki
2000-05-20 04:43:02,40.3000,25.3500,37,4.0,24.2 km SW of Samothraki
1994-07-20 15:56:37,40.2600,25.4900,5,4.1,23.9 km S of Samothraki
1994-03-10 15:41:47,40.3300,25.3600,37,4.2,21.0 km SW of Samothraki
1992-06-28 02:13:35,39.6000,25.5700,23,4.3,44.6 km SE of Limnos
1991-10-12 16:32:39,40.2100,25.6200,25,4.4,30.4 km SSE of Samothraki
1986-11-03 18:44:05,40.3100,25.2600,36,4.0,28.7 km SW of Samothraki
1983-08-08 08:09:29,40.3900,25.5100,5,5.1,9.3 km S of Samothraki
1982-06-20 13:57:09,40.4000,25.4000,10,4.0,13.2 km SW of Samothraki
1979-01-05 10:03:48,39.8000,25.6000,33,4.2,32.6 km ESE of Limnos
1978-09-16 22:31:07,40.4000,25.7000,33,4.0,17.1 km ESE of Samothraki
1972-04-15 15:41:22,40.4000,25.6000,10,4.0,10.5 km SE of Samothraki
1971-11-27 03:54:25,39.8000,25.5000,10,4.5,25.0 km ESE of Limnos
1968-11-08 15:26:50,39.7000,25.4000,10,4.0,27.3 km SSE of Limnos
1968-04-05 15:54:32,39.6000,25.4000,10,4.2,37.5 km SSE of Limnos
1968-03-21 16:09:20,39.7000,25.3000,10,4.4,24.5 km S of Limnos
1968-03-11 17:32:45,39.7000,25.6000,10,4.2,38.4 km SE of Limnos
1968-02-21 12:29:54,39.7000,25.6000,10,4.3,38.4 km SE of Limnos
