Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2025-11-17 09:44:46,38.8509,20.6053,11,4.1,15.1 km N of Leukada
2025-07-22 06:43:10,39.4872,20.6767,14,4.3,25.0 km SW of Ioannina
2022-08-16 16:34:39,39.2088,20.6026,10,4.0,31.5 km NNW of Preveza
2022-02-17 01:48:46,38.8829,20.6465,16,4.4,11.7 km SW of Preveza
2021-12-08 07:49:48,38.9772,20.6419,19,4.4,9.8 km WNW of Preveza
2021-11-18 21:04:59,39.5879,20.5266,12,4.0,24.3 km ENE of Igoumenitsa
2021-03-11 08:52:31,38.7328,20.6218,12,4.4,2.1 km NNW of Leukada
2020-09-24 05:10:18,38.7355,20.5898,16,4.1,4.3 km WNW of Leukada
2020-03-25 09:49:45,39.2780,20.6122,13,4.0,34.7 km WNW of Arta
2020-03-23 04:41:03,39.2972,20.6113,14,4.0,35.6 km WNW of Arta
2020-03-21 00:49:50,39.3265,20.5215,8,5.6,29.5 km SE of Igoumenitsa
2020-03-20 21:38:30,39.3123,20.5650,15,4.3,33.4 km SE of Igoumenitsa
2020-02-01 21:22:22,39.1878,20.6447,15,4.5,28.0 km NNW of Preveza
2019-02-26 10:05:58,38.8467,20.6186,12,4.1,14.5 km N of Leukada
2019-02-05 02:26:08,39.0042,20.6094,7,5.4,13.6 km WNW of Preveza
2019-01-15 01:25:05,38.9428,20.6178,19,4.3,11.5 km W of Preveza
2015-12-14 21:13:24,39.0000,20.6300,26,4.1,11.8 km WNW of Preveza
2015-11-24 09:39:05,38.7300,20.6000,12,4.0,3.2 km WNW of Leukada
2015-11-18 12:15:38,38.8400,20.5900,17,4.9,14.2 km NNW of Leukada
2013-08-09 04:19:23,39.3500,20.4300,13,4.2,22.2 km SE of Igoumenitsa
2012-10-23 15:20:42,38.9500,20.6300,14,4.5,10.4 km E of Preveza
2012-03-25 04:46:54,39.4500,20.4800,18,4.3,19.4 km ESE of Igoumenitsa
2011-05-28 01:03:51,39.2800,20.5400,21,4.1,34.3 km SE of Igoumenitsa
2010-10-17 17:55:05,39.3700,20.5800,16,4.6,30.8 km ESE of Igoumenitsa
2010-08-12 09:46:04,39.3900,20.5400,17,4.4,26.8 km ESE of Igoumenitsa
2010-08-11 10:47:53,39.3700,20.5300,18,4.4,27.2 km ESE of Igoumenitsa
