Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2025-02-18 16:54:34,38.0095,21.1052,14,5.0,18.7 km NW of Andravida
2022-05-24 20:50:44,38.7263,21.2306,18,4.1,43.3 km NNW of Mesolonghi
2018-07-05 21:39:05,37.9660,21.2924,9,4.5,7.7 km NNE of Andravida
2017-06-19 04:55:37,37.9985,21.2045,10,4.0,12.2 km NNW of Andravida
2012-03-15 05:40:58,38.6900,21.3000,15,4.4,37.4 km NNW of Mesolonghi
2011-06-04 05:23:16,37.9500,21.1000,14,4.0,15.6 km WNW of Andravida
2011-05-26 12:56:18,37.9400,21.1600,17,4.5,10.4 km WNW of Andravida
2011-05-25 23:27:49,37.9400,21.1200,13,4.9,13.6 km WNW of Andravida
2010-03-19 03:45:40,37.9600,20.9600,13,4.0,19.6 km NNE of Zakynthos
2003-11-23 05:36:44,38.0000,21.0700,12,4.0,20.5 km WNW of Andravida
2002-04-05 07:55:51,37.9700,21.0900,5,4.5,17.3 km WNW of Andravida
1999-10-26 13:46:41,37.9900,21.0700,5,4.2,19.9 km WNW of Andravida
1996-02-09 00:18:02,38.3200,21.0500,10,4.2,33.5 km W of Mesolonghi
1996-02-08 22:29:00,38.3400,21.0900,1,4.1,29.8 km W of Mesolonghi
1992-11-11 19:45:09,38.0200,21.3800,1,4.1,16.6 km NE of Andravida
1992-10-22 19:07:10,37.9500,21.0100,1,4.1,20.3 km NNE of Zakynthos
1992-05-30 18:55:39,37.9700,21.4200,12,4.6,15.5 km ENE of Andravida
1990-10-24 16:15:17,38.3800,21.4100,1,4.1,2.1 km NW of Mesolonghi
1988-10-22 09:34:39,37.9800,21.1300,10,4.0,14.9 km NW of Andravida
1988-10-16 12:44:33,38.1600,20.9900,10,4.2,37.7 km NW of Andravida
1988-09-22 12:05:40,37.9900,21.1100,1,5.0,17.0 km NW of Andravida
1988-01-22 06:18:54,38.6400,21.0200,11,4.6,34.6 km ESE of Leukada
1983-01-17 13:03:15,38.7100,20.9500,40,4.0,27.5 km E of Leukada
1981-05-27 18:12:02,38.8000,21.0000,10,5.0,27.3 km SE of Preveza
1981-05-25 23:03:58,38.8000,21.0000,10,4.2,27.3 km SE of Preveza
1977-04-22 23:57:07,38.7000,21.0000,63,4.0,31.9 km E of Leukada
1972-07-25 01:56:02,38.8000,21.2000,10,4.4,42.4 km ESE of Preveza
1972-02-02 21:19:48,38.8000,21.2000,10,4.3,42.4 km ESE of Preveza
1968-07-31 09:21:55,38.0000,21.0000,10,4.3,25.0 km NNE of Zakynthos
1966-10-29 02:39:25,38.8000,21.0000,10,6.0,27.3 km SE of Preveza
