Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-10-06 12:08:39,39.0413,25.7991,15,4.1,41.3 km WSW of Mitilini
2024-05-15 04:57:55,38.9378,26.0344,12,4.0,31.5 km SW of Mitilini
2023-01-19 02:22:28,39.4579,25.8513,16,4.3,47.2 km NW of Mitilini
2021-07-22 01:20:21,38.9108,26.0989,13,4.0,31.3 km SSW of Mitilini
2021-07-10 14:43:22,38.9191,26.0577,13,4.0,32.2 km SSW of Mitilini
2021-02-01 20:46:15,38.9333,26.1076,18,4.5,28.7 km SSW of Mitilini
2021-02-01 13:10:15,38.9204,26.0756,17,4.5,31.3 km SSW of Mitilini
2021-02-01 08:35:17,38.9182,26.0898,16,4.7,30.9 km SSW of Mitilini
2021-02-01 06:00:05,38.9378,26.0683,16,4.5,29.9 km SSW of Mitilini
2021-02-01 05:47:54,38.9676,26.0550,12,4.8,27.8 km SW of Mitilini
2021-02-01 05:46:52,38.9236,26.0880,16,4.9,30.4 km SSW of Mitilini
2019-10-10 23:55:59,39.3613,25.7803,34,4.1,45.9 km WNW of Mitilini
2017-03-24 15:19:06,39.5522,26.0860,12,4.0,45.1 km NNW of Mitilini
2017-02-28 23:27:35,39.4773,26.0555,15,4.4,38.4 km NNW of Mitilini
2017-02-23 01:55:14,39.5522,26.0672,12,4.2,45.7 km NNW of Mitilini
2017-02-16 00:19:00,39.5195,26.0665,11,4.4,42.3 km NNW of Mitilini
2017-02-12 13:48:16,39.5073,26.1415,12,4.9,39.0 km NNW of Mitilini
2017-02-10 08:55:26,39.4842,26.1595,16,4.4,36.2 km NNW of Mitilini
2017-02-08 01:38:04,39.5208,26.1172,12,4.4,41.0 km NNW of Mitilini
2017-02-07 21:00:55,39.5123,26.1358,14,4.2,39.7 km NNW of Mitilini
2017-02-07 05:17:09,39.5055,26.1397,12,4.2,38.9 km NNW of Mitilini
2017-02-07 05:15:51,39.4880,26.1650,14,4.1,36.5 km NNW of Mitilini
2017-02-07 02:24:04,39.4898,26.1148,16,5.2,37.8 km NNW of Mitilini
2017-02-06 11:45:02,39.5068,26.0765,16,4.2,40.7 km NNW of Mitilini
2017-02-06 10:58:02,39.5097,26.1213,15,5.1,39.7 km NNW of Mitilini
2017-02-06 03:51:41,39.5143,26.0978,14,5.0,40.8 km NNW of Mitilini
2017-01-14 22:39:01,39.4965,26.0988,18,4.4,38.9 km NNW of Mitilini
2015-09-10 08:12:44,38.8700,26.1900,46,4.6,33.4 km S of Mitilini
2008-07-31 02:54:51,38.8600,26.0900,27,4.1,36.8 km SSW of Mitilini
2008-01-15 07:44:25,38.9000,26.2000,30,4.0,30.0 km S of Mitilini
2008-01-12 15:06:43,38.8500,26.0300,23,4.7,40.0 km SSW of Mitilini
2007-12-28 21:14:14,39.5300,25.9700,28,4.4,47.0 km NNW of Mitilini
2000-08-26 17:15:09,39.4200,26.1400,5,4.1,29.7 km NNW of Mitilini
1999-12-30 04:51:09,38.8400,25.9100,21,4.5,46.7 km SW of Mitilini
1998-03-27 12:17:56,38.8600,26.0300,29,4.4,39.0 km SSW of Mitilini
1998-01-05 20:48:29,38.8000,25.8800,19,4.1,51.8 km SW of Mitilini
1997-12-23 09:05:26,38.8400,26.0000,29,4.3,42.3 km SSW of Mitilini
1997-12-22 17:33:56,38.8300,25.9200,26,4.0,47.1 km SW of Mitilini
1997-12-12 17:25:24,38.8400,25.8900,23,4.2,47.8 km SW of Mitilini
1997-11-15 22:44:39,38.8600,25.8700,24,4.5,47.3 km SW of Mitilini
1997-11-14 21:38:52,38.8000,25.8700,25,5.4,52.4 km SW of Mitilini
1996-11-03 06:04:16,38.9000,25.8500,39,4.0,45.5 km SW of Mitilini
1996-08-19 01:05:38,39.3500,25.9200,16,4.2,35.0 km NW of Mitilini
1994-05-24 06:05:59,38.9500,26.2100,10,4.2,24.3 km S of Mitilini
1992-10-24 19:36:41,39.4700,26.0900,123,4.1,36.4 km NNW of Mitilini
1989-08-15 17:03:33,39.1800,26.2100,38,4.7,3.8 km WNW of Mitilini
1984-06-26 19:48:09,38.8100,25.8700,39,4.8,51.5 km SW of Mitilini
1984-06-17 07:48:01,38.8800,25.9900,41,5.3,39.0 km SW of Mitilini
1984-05-14 11:21:50,38.8100,25.8300,37,4.1,53.8 km SW of Mitilini
1982-06-25 16:52:36,38.8000,26.0000,10,4.0,46.1 km SSW of Mitilini
1972-04-26 06:30:22,39.5000,26.2000,10,4.6,37.3 km N of Mitilini
1968-10-28 15:54:29,38.8000,25.9000,10,4.6,50.8 km SW of Mitilini
1968-10-27 10:54:52,39.0000,26.1000,10,4.0,22.6 km SW of Mitilini
1968-02-21 13:35:55,39.5000,25.7500,10,4.3,56.8 km NW of Mitilini
1968-02-20 04:41:36,39.0000,25.7500,10,4.0,47.0 km WSW of Mitilini
