Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2025-02-07 04:24:25,38.2310,21.6389,29,4.0,8.5 km W of Patras
2024-12-21 16:29:51,38.5579,21.6216,11,4.7,26.9 km NE of Mesolonghi
2024-06-11 19:08:23,38.0305,21.7012,20,4.3,24.0 km S of Patras
2023-03-17 13:45:42,37.9042,21.2901,21,4.0,2.1 km ENE of Andravida
2022-09-16 14:10:48,38.1711,21.6531,19,4.1,10.8 km SW of Patras
2021-05-27 18:39:04,38.3501,21.7268,11,4.0,11.8 km N of Patras
2019-05-21 08:58:18,37.9248,21.2549,5,4.4,2.9 km NNW of Andravida
2019-05-15 10:54:41,37.9248,21.2549,6,4.1,2.9 km NNW of Andravida
2018-09-18 02:48:43,38.1157,21.5687,19,4.0,20.4 km SW of Patras
2018-07-05 21:39:05,37.9660,21.2924,9,4.5,7.7 km NNE of Andravida
2017-11-04 09:51:15,37.8415,21.4165,18,4.1,14.7 km ESE of Andravida
2017-01-10 12:44:52,38.3213,21.7197,4,4.2,8.6 km N of Patras
2017-01-09 09:53:16,38.3368,21.7187,3,4.5,10.4 km N of Patras
2015-08-30 13:28:02,37.8400,21.3400,27,4.4,9.3 km SE of Andravida
2015-04-18 13:36:48,37.8700,21.4400,36,4.3,15.6 km ESE of Andravida
2014-06-25 09:21:41,38.3500,21.7400,22,4.2,11.7 km N of Patras
2014-02-07 01:21:53,38.3000,21.7100,20,4.2,6.5 km NNW of Patras
2012-05-28 15:44:12,37.9900,21.5500,19,4.3,26.8 km ENE of Andravida
2011-08-20 02:00:23,37.9400,21.6800,25,4.9,34.2 km S of Patras
2009-01-10 22:26:23,38.0200,21.5400,18,4.4,27.4 km ENE of Andravida
2008-08-20 17:26:35,37.8500,21.3100,12,4.0,6.7 km SE of Andravida
2008-07-05 10:34:08,38.0700,21.5500,17,4.3,25.2 km SW of Patras
2008-06-27 05:18:56,38.0200,21.5500,14,4.2,28.2 km ENE of Andravida
2008-06-09 13:53:21,38.0200,21.5200,19,4.0,25.9 km ENE of Andravida
2008-06-09 01:32:03,38.0600,21.5100,20,4.0,27.8 km NE of Andravida
2008-06-08 12:43:38,37.9800,21.6000,15,4.1,30.6 km ENE of Andravida
2008-06-08 12:25:27,37.9800,21.5100,25,6.5,23.1 km ENE of Andravida
2007-06-05 11:50:19,38.5400,21.6200,21,4.7,25.2 km NE of Mesolonghi
2007-04-15 02:16:32,38.5600,21.5800,17,4.0,25.0 km NNE of Mesolonghi
2007-04-10 10:41:00,38.5400,21.6000,14,4.8,24.1 km NE of Mesolonghi
2007-04-10 07:15:41,38.5200,21.5900,21,4.6,21.9 km NE of Mesolonghi
2007-04-10 07:14:12,38.5500,21.5600,10,4.2,23.1 km NNE of Mesolonghi
2007-04-10 07:13:04,38.5300,21.6600,10,4.4,26.9 km NE of Mesolonghi
2007-04-10 03:17:55,38.5500,21.6500,22,4.7,27.8 km NE of Mesolonghi
2007-04-09 23:27:15,38.5100,21.6200,19,4.1,22.8 km NE of Mesolonghi
2004-02-17 08:54:08,38.6000,21.6200,12,4.0,24.3 km SSW of Karpenision
2003-06-12 23:43:59,38.1200,21.6800,5,4.2,14.6 km SSW of Patras
2003-01-16 11:27:29,37.8200,21.2300,6,4.1,9.5 km SSW of Andravida
2003-01-07 01:15:00,37.8700,21.2200,12,4.2,5.3 km SW of Andravida
2003-01-05 13:44:22,37.8300,21.2200,8,4.2,8.8 km SSW of Andravida
2002-01-09 09:35:56,37.9000,21.2200,5,4.3,4.1 km E of Andravida
2001-05-16 16:51:56,38.2900,21.5000,24,4.1,10.8 km SE of Mesolonghi
1999-02-02 14:27:51,38.3000,21.7400,5,4.1,6.2 km N of Patras
1994-12-21 10:22:20,37.8100,21.3000,5,4.0,10.4 km SSE of Andravida
1993-07-14 12:39:11,38.0800,21.4400,5,4.4,25.1 km NE of Andravida
1993-02-16 00:43:08,38.4700,21.4800,1,4.0,12.1 km NNE of Mesolonghi
1992-11-11 19:45:09,38.0200,21.3800,1,4.1,16.6 km NE of Andravida
1992-05-30 18:55:39,37.9700,21.4200,12,4.6,15.5 km ENE of Andravida
1991-12-22 05:38:45,38.0000,21.5700,16,4.0,28.8 km ENE of Andravida
1990-10-24 16:15:17,38.3800,21.4100,1,4.1,2.1 km NW of Mesolonghi
1989-06-07 19:45:52,37.9900,21.6500,1,4.8,29.2 km SSW of Patras
1985-09-04 09:48:25,38.5000,21.5000,25,4.2,15.8 km NNE of Mesolonghi
1984-02-28 18:12:07,38.2400,21.6400,20,4.0,8.3 km W of Patras
1984-02-25 05:44:22,38.2700,21.6600,22,4.2,7.1 km WNW of Patras
1982-02-07 19:54:28,38.3000,21.7000,10,4.0,6.9 km NNW of Patras
1978-05-18 00:18:48,38.3000,21.7000,50,4.0,6.9 km NNW of Patras
1976-07-23 20:50:58,37.9000,21.3000,10,4.1,2.9 km W of Andravida
1976-01-03 15:03:49,38.5000,21.7000,10,4.0,27.7 km ENE of Mesolonghi
1976-01-03 13:16:25,38.5000,21.6000,10,4.1,20.8 km NE of Mesolonghi
1976-01-02 22:44:42,38.5000,21.7000,10,4.1,27.7 km ENE of Mesolonghi
1976-01-01 00:04:04,38.5000,21.7000,10,4.3,27.7 km ENE of Mesolonghi
1975-12-31 14:53:37,38.4000,21.6000,10,4.0,15.3 km ENE of Mesolonghi
1975-12-31 13:51:16,38.5000,21.7000,10,4.3,27.7 km ENE of Mesolonghi
1975-12-31 09:45:44,38.5000,21.7000,10,5.1,27.7 km ENE of Mesolonghi
1975-12-21 16:07:52,38.4000,21.7000,10,5.1,17.6 km N of Patras
1975-07-25 19:17:09,38.4000,21.7000,10,4.6,17.6 km N of Patras
1975-06-30 18:40:28,38.4000,21.6000,10,4.0,15.3 km ENE of Mesolonghi
1975-06-30 13:26:55,38.4000,21.7000,10,5.4,17.6 km N of Patras
1975-06-29 17:36:52,38.4000,21.6000,10,4.0,15.3 km ENE of Mesolonghi
1969-08-13 04:06:01,38.5000,21.7000,10,4.4,27.7 km ENE of Mesolonghi
1966-09-05 22:34:09,38.4000,21.6000,10,4.3,15.3 km ENE of Mesolonghi
