Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2025-09-13 08:44:45,34.8660,24.0445,19,4.0,67.7 km SW of Rethimnon
2025-06-17 15:38:28,34.8761,24.0985,11,4.2,64.0 km SSW of Rethimnon
2024-08-28 16:29:55,34.9017,24.2194,14,5.2,56.4 km SSW of Rethimnon
2019-07-10 22:57:15,34.9640,24.4061,32,4.2,45.0 km S of Rethimnon
2018-05-20 22:17:58,34.8918,23.9725,17,4.2,69.1 km S of Chania
2017-08-18 03:46:51,34.9054,24.0399,10,4.1,64.4 km SW of Rethimnon
2015-07-31 16:04:43,34.9400,24.2800,44,4.2,50.3 km SSW of Rethimnon
2008-02-05 10:29:49,35.0200,24.2600,27,4.1,42.9 km SSW of Rethimnon
2005-09-07 08:48:52,35.0100,24.4600,16,4.2,39.5 km S of Rethimnon
2005-06-14 07:31:46,35.1400,23.9800,12,4.3,41.5 km S of Chania
2003-04-13 12:21:49,35.0100,24.2700,20,4.0,43.5 km SSW of Rethimnon
2003-01-21 06:46:31,35.1900,24.1400,40,4.0,35.8 km WSW of Rethimnon
2002-12-17 22:33:27,35.2200,24.3700,17,4.0,18.5 km SSW of Rethimnon
2002-09-04 18:21:39,35.0300,24.2200,28,4.0,43.7 km SSW of Rethimnon
2001-10-30 06:10:17,35.1400,24.1800,28,4.0,36.4 km SW of Rethimnon
2001-07-25 21:13:41,35.0500,24.1400,29,4.0,46.2 km SW of Rethimnon
2001-04-14 06:08:58,34.9900,24.1300,25,4.0,52.0 km SW of Rethimnon
2000-08-05 02:56:15,35.0700,24.3300,14,4.0,35.2 km SSW of Rethimnon
2000-06-08 21:42:52,34.8900,24.2100,58,4.1,57.9 km SSW of Rethimnon
1999-11-16 17:28:26,34.9500,24.2500,52,4.2,50.3 km SSW of Rethimnon
1999-01-22 19:14:54,35.0400,24.2300,20,4.1,42.2 km SSW of Rethimnon
1999-01-19 10:55:37,35.1100,24.1800,22,4.0,38.8 km SW of Rethimnon
1998-08-16 05:06:03,34.8900,24.1900,21,4.4,58.7 km SSW of Rethimnon
1998-04-11 20:15:17,34.9400,24.3700,32,4.0,48.1 km S of Rethimnon
1997-12-20 10:35:49,34.9100,24.4100,39,4.1,50.9 km S of Rethimnon
1997-11-05 12:22:58,34.9100,24.0200,15,4.7,65.1 km SW of Rethimnon
1996-07-13 01:36:38,35.4100,24.2700,37,4.0,18.9 km WNW of Rethimnon
1996-05-13 12:19:50,35.0000,24.0700,52,4.0,54.5 km SW of Rethimnon
1996-04-06 12:53:51,35.0300,24.3500,18,4.4,38.8 km SSW of Rethimnon
1996-02-09 17:11:13,34.9800,24.0600,26,4.0,56.8 km SW of Rethimnon
1995-12-10 03:27:53,34.9300,24.1700,24,4.9,55.6 km SSW of Rethimnon
1995-12-07 18:00:58,34.9700,24.1700,22,4.6,51.7 km SSW of Rethimnon
1994-04-12 11:14:47,35.2700,24.1100,9,4.1,28.3 km SSE of Chania
1993-12-25 10:15:31,35.1700,24.2800,23,4.4,27.8 km SW of Rethimnon
1991-07-28 03:37:59,35.1600,24.1600,48,4.0,36.3 km SW of Rethimnon
1989-11-06 04:41:24,35.0300,24.2400,23,4.3,42.7 km SSW of Rethimnon
1989-09-30 14:53:36,34.9900,24.0100,33,4.6,58.1 km S of Chania
1989-04-05 15:09:13,34.9800,24.1000,45,4.3,54.5 km SW of Rethimnon
1989-02-19 03:36:47,35.1300,24.2700,27,4.0,31.9 km SW of Rethimnon
1988-01-26 13:58:00,34.8800,24.1500,26,4.0,61.3 km SSW of Rethimnon
1984-01-14 22:15:05,35.2300,24.4500,66,4.8,15.1 km S of Rethimnon
1983-05-08 03:38:52,35.7100,24.2600,108,4.2,31.2 km NE of Chania
1971-12-17 02:06:06,35.0000,24.0000,50,4.3,57.0 km S of Chania
1971-10-21 22:50:39,35.0000,24.0000,10,4.0,57.0 km S of Chania
1969-12-01 20:18:09,35.1000,24.2000,50,4.5,38.4 km SW of Rethimnon
1969-05-16 05:09:32,35.0000,24.4000,10,4.0,41.1 km S of Rethimnon
