Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-06-12 19:19:11,35.9821,28.0829,58,4.8,52.5 km SSW of Rodhos
2024-03-08 04:27:12,36.4764,28.3942,46,4.6,15.9 km ENE of Rodhos
2023-12-28 10:40:35,36.4078,28.3475,54,4.2,11.8 km ESE of Rodhos
2021-02-20 17:00:44,35.8777,28.0847,11,4.0,63.8 km S of Rodhos
2019-01-24 14:30:54,35.9418,28.1708,35,5.2,55.7 km S of Rodhos
2019-01-20 15:49:54,35.7660,28.3429,28,4.9,75.8 km S of Rodhos
2018-05-02 21:16:08,35.8732,28.3818,68,4.5,64.7 km SSE of Rodhos
2017-11-07 02:40:34,36.3658,28.2502,56,4.7,8.7 km SSE of Rodhos
2016-03-12 15:44:33,36.5100,28.0400,82,4.1,18.0 km WNW of Rodhos
2014-06-20 13:59:42,36.3900,28.5500,59,4.3,29.8 km E of Rodhos
2013-04-21 01:45:37,36.1200,28.1300,74,4.0,36.6 km SSW of Rodhos
2011-11-29 14:07:19,36.0200,28.4700,44,4.1,51.8 km SSE of Rodhos
2009-01-28 23:59:07,35.7400,28.1800,64,4.5,78.0 km S of Rodhos
2008-04-22 17:53:45,35.8700,28.5100,40,4.3,68.5 km SSE of Rodhos
2007-04-09 14:29:20,36.0000,28.5300,18,4.1,56.2 km SSE of Rodhos
2006-07-02 06:55:30,36.1000,28.1300,20,4.1,38.8 km SSW of Rodhos
2006-03-15 03:17:11,36.5100,28.2400,62,4.4,7.8 km NNE of Rodhos
2005-07-11 17:20:31,36.4800,28.1100,58,4.2,11.0 km WNW of Rodhos
2003-02-24 00:19:35,36.1200,28.3600,55,4.4,37.7 km SSE of Rodhos
2002-08-03 10:44:44,35.9500,28.2700,44,4.0,54.7 km S of Rodhos
2002-05-11 02:27:00,35.9500,28.2400,44,4.4,54.6 km S of Rodhos
2001-12-29 23:12:31,36.6000,28.1600,92,4.3,18.6 km NNW of Rodhos
2001-04-11 23:07:50,35.7600,28.3700,5,4.4,76.9 km S of Rodhos
2001-04-09 20:05:39,36.5800,28.4600,51,4.0,26.3 km NE of Rodhos
2001-02-11 11:08:29,35.9500,28.1500,15,4.0,55.0 km S of Rodhos
2001-01-12 22:00:09,35.8400,28.2900,23,4.0,67.1 km S of Rodhos
2000-10-18 22:55:41,36.2600,28.5200,5,4.4,33.4 km SE of Rodhos
2000-08-27 09:00:06,36.0300,28.1700,12,4.1,45.9 km S of Rodhos
1999-08-11 01:29:37,36.3600,28.0900,38,4.0,14.9 km SW of Rodhos
1999-05-26 12:43:08,35.9600,28.4600,54,4.6,57.6 km SSE of Rodhos
1998-06-26 17:16:22,36.5800,28.4400,38,4.0,24.8 km NE of Rodhos
1998-05-04 16:46:00,36.2200,28.1300,40,4.0,25.9 km SSW of Rodhos
1998-03-09 11:21:21,36.0400,28.4900,54,5.0,50.6 km SSE of Rodhos
1998-02-24 15:11:42,36.4200,28.1900,20,4.6,3.7 km SW of Rodhos
1998-02-13 07:18:51,36.3200,28.4700,64,4.5,25.9 km ESE of Rodhos
1997-07-18 01:45:23,36.3400,28.1500,18,4.1,13.0 km SSW of Rodhos
1996-07-23 23:16:32,35.9600,28.1600,189,4.4,53.8 km S of Rodhos
1996-07-20 20:48:11,35.9200,28.3000,38,4.2,58.3 km S of Rodhos
1996-07-20 03:56:51,35.8500,28.0400,39,4.5,67.7 km SSW of Rodhos
1996-03-07 15:03:32,36.4000,28.1600,22,4.0,7.2 km SW of Rodhos
1995-11-15 17:19:37,36.0600,28.4400,34,4.0,46.6 km SSE of Rodhos
1995-09-25 15:09:00,36.3900,28.3800,6,4.0,15.2 km ESE of Rodhos
1995-06-30 05:34:42,36.3800,28.5200,36,4.2,27.5 km ESE of Rodhos
1995-05-27 21:35:32,36.0900,28.4800,49,4.4,45.3 km SSE of Rodhos
1993-04-19 04:58:43,36.3800,28.2900,10,4.4,9.1 km SE of Rodhos
1992-06-01 15:44:30,36.0900,28.2300,41,4.5,39.0 km S of Rodhos
1991-07-30 04:50:43,36.4600,28.4500,42,4.4,20.5 km E of Rodhos
1990-09-29 16:28:52,36.5200,28.1900,59,4.1,9.3 km NNW of Rodhos
1990-08-25 14:58:01,36.0400,28.1300,42,4.2,45.3 km S of Rodhos
1989-11-29 02:25:08,36.5600,28.5100,68,4.1,28.9 km ENE of Rodhos
1988-10-29 04:13:21,36.1900,28.3100,1,4.1,29.0 km SSE of Rodhos
1988-05-24 14:16:04,36.0100,28.2600,1,4.3,48.0 km S of Rodhos
1987-10-25 16:19:52,36.3400,28.5300,1,4.4,29.7 km ESE of Rodhos
1987-10-25 14:40:14,36.3200,28.3700,9,4.4,18.8 km SE of Rodhos
1987-10-09 12:09:39,36.3500,28.2600,8,4.4,10.6 km SSE of Rodhos
1987-10-09 11:22:57,36.2600,28.4900,1,4.4,31.3 km SE of Rodhos
1987-10-06 21:25:49,36.1800,28.5000,9,4.4,38.2 km SE of Rodhos
1987-10-06 12:07:04,36.2800,28.5000,9,4.6,30.6 km SE of Rodhos
1987-10-06 11:31:16,36.2700,28.4500,15,4.4,27.9 km SE of Rodhos
1987-10-05 09:26:59,36.2900,28.4600,6,5.1,27.1 km SE of Rodhos
1987-02-01 19:42:19,36.2500,28.4200,8,4.4,27.6 km SE of Rodhos
1987-01-31 16:06:18,36.2000,28.1600,8,4.3,27.4 km SSW of Rodhos
1987-01-07 20:30:35,36.2200,28.2300,11,4.2,24.6 km S of Rodhos
1987-01-06 07:54:08,36.1300,28.1200,1,4.3,35.8 km SSW of Rodhos
1987-01-06 06:55:28,36.0800,28.2700,1,4.3,40.3 km S of Rodhos
1986-01-31 23:28:21,36.1100,28.2900,5,4.3,37.3 km S of Rodhos
1985-07-08 07:00:39,36.3800,28.1300,52,4.2,10.7 km SW of Rodhos
1985-06-05 08:51:03,36.2300,28.1200,32,4.2,25.2 km SSW of Rodhos
1984-04-20 14:21:08,35.9800,28.1100,86,4.3,52.2 km S of Rodhos
1984-04-03 23:47:29,35.8300,28.0600,100,4.4,69.5 km SSW of Rodhos
1984-02-29 14:07:09,36.5800,28.4900,13,4.3,28.5 km ENE of Rodhos
1980-03-29 03:58:00,36.0000,28.5000,66,4.3,55.0 km SSE of Rodhos
1978-12-22 03:53:23,36.6000,28.3000,33,4.0,19.0 km NNE of Rodhos
1977-06-08 04:49:59,36.3500,28.5000,60,4.0,26.8 km ESE of Rodhos
1972-04-01 20:24:34,36.5000,28.2000,10,4.3,6.9 km NNW of Rodhos
1971-02-07 04:59:44,36.1000,28.1000,10,4.3,39.5 km SSW of Rodhos
1970-12-29 21:03:35,36.1000,28.3000,10,4.3,38.5 km S of Rodhos
1970-12-29 20:34:06,36.1000,28.3000,10,4.3,38.5 km S of Rodhos
1970-12-28 17:00:42,36.0000,28.4000,10,4.4,51.5 km SSE of Rodhos
1970-11-11 20:58:12,36.1000,28.3000,10,5.0,38.5 km S of Rodhos
1969-07-11 01:45:18,35.9000,28.5000,10,4.4,65.1 km SSE of Rodhos
