Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2024-04-19 08:02:19,37.8081,26.7989,12,4.3,16.6 km WNW of Samos
2021-02-09 07:30:35,37.7536,26.4066,12,4.0,28.4 km NE of Ikaria
2021-01-20 23:37:56,37.8653,26.7490,10,4.4,23.4 km WNW of Samos
2020-12-30 13:40:12,37.7975,26.4084,13,4.3,31.9 km NE of Ikaria
2020-11-03 20:35:36,37.8667,26.4299,16,4.0,39.1 km NE of Ikaria
2020-11-02 19:16:38,37.8305,26.4798,12,4.2,38.9 km NE of Ikaria
2020-10-31 14:42:43,37.8703,26.4565,16,4.3,40.8 km NE of Ikaria
2020-10-31 05:31:29,37.8232,26.8002,12,4.6,17.2 km WNW of Samos
2020-10-31 01:40:30,37.8305,26.5311,7,4.1,40.0 km WNW of Samos
2020-10-30 22:53:21,37.7975,26.7160,11,4.1,23.4 km W of Samos
2020-10-30 19:09:41,37.8506,26.4322,13,4.1,37.8 km NE of Ikaria
2020-10-30 15:19:18,37.8506,26.7838,22,4.5,19.9 km WNW of Samos
2020-10-30 13:00:44,37.8360,26.7838,25,4.5,19.1 km WNW of Samos
2020-10-30 12:33:22,37.7783,26.7334,27,4.0,21.5 km W of Samos
2020-10-30 12:19:09,37.7705,26.4931,7,4.0,35.5 km NE of Ikaria
2020-10-30 12:04:44,37.9019,26.3516,16,4.0,39.0 km NNE of Ikaria
2020-10-30 11:51:24,37.9001,26.8149,12,6.7,21.3 km NW of Samos
2020-01-04 22:11:29,37.9056,26.3809,14,4.0,40.5 km NNE of Ikaria
2018-07-26 08:17:51,37.6992,26.7405,14,4.3,21.8 km WSW of Samos
2015-10-23 18:29:39,37.9200,26.5800,12,4.1,39.3 km WNW of Samos
2008-03-01 07:01:08,37.8800,26.7700,22,4.1,22.7 km NW of Samos
2005-11-16 05:41:16,38.1400,26.4800,13,4.0,39.3 km SE of Chios
2005-11-05 15:27:13,38.1400,26.6100,26,4.0,48.5 km ESE of Chios
2005-10-31 06:48:22,38.1300,26.6600,26,4.0,49.9 km NNW of Samos
2005-10-31 05:26:39,38.1200,26.6600,27,4.7,49.0 km NW of Samos
2005-10-29 14:48:41,38.1300,26.5200,16,4.2,42.7 km SE of Chios
2005-10-23 14:59:38,38.1300,26.7000,30,4.1,48.0 km NNW of Samos
2005-10-20 21:40:03,38.1500,26.6300,25,5.6,49.5 km ESE of Chios
2005-10-18 16:00:48,38.1500,26.6500,30,4.2,51.0 km ESE of Chios
2005-10-17 13:22:49,38.1600,26.6400,30,4.0,49.7 km ESE of Chios
2005-10-17 12:43:28,38.1300,26.6600,31,4.1,49.9 km NNW of Samos
2005-10-17 09:58:37,38.1400,26.6200,27,4.4,49.3 km ESE of Chios
2005-10-17 09:55:30,38.1400,26.6000,29,4.0,47.8 km ESE of Chios
2005-10-17 09:46:56,38.1400,26.5900,26,5.4,47.1 km ESE of Chios
2005-10-17 08:34:45,38.1200,26.5400,25,4.1,44.8 km SE of Chios
2005-10-17 08:28:53,38.1200,26.6700,34,4.2,48.5 km NNW of Samos
2005-10-17 07:05:48,38.1400,26.6000,28,4.1,47.8 km ESE of Chios
2005-10-17 06:16:05,38.1500,26.6700,30,4.0,51.3 km NNW of Samos
2005-10-17 05:45:18,38.1300,26.5900,29,5.5,47.7 km ESE of Chios
2005-07-02 01:09:22,37.8200,26.7500,15,4.0,21.1 km WNW of Samos
2005-06-23 22:44:16,37.7600,26.7000,19,4.1,24.3 km W of Samos
2001-03-01 13:31:20,37.8700,26.6400,18,4.1,32.1 km WNW of Samos
1998-07-09 17:36:48,37.8700,26.7400,11,4.4,24.3 km WNW of Samos
1996-04-02 07:59:24,37.9200,26.6700,5,4.9,32.5 km NW of Samos
1995-07-05 13:09:17,37.5900,26.6500,5,4.0,34.3 km WSW of Samos
1972-10-23 09:56:22,37.8000,26.3000,10,4.2,26.8 km NNE of Ikaria
