Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2020-08-10 02:07:52,40.5588,22.5668,14,4.1,30.9 km E of Veria
2017-11-22 22:37:35,40.5077,22.5225,6,4.2,26.3 km N of Katerini
2016-11-18 23:22:48,40.9800,22.7400,5,4.7,11.1 km W of Kilkis
2016-11-16 09:15:14,40.9700,22.7500,5,4.1,10.4 km WSW of Kilkis
2016-11-10 12:12:42,40.9700,22.7700,5,4.4,8.8 km WSW of Kilkis
2012-05-12 22:48:11,40.5700,22.8500,25,4.1,11.1 km SW of Thessaloniki
2007-07-18 19:09:29,40.5900,22.8000,20,4.0,13.4 km WSW of Thessaloniki
2006-05-18 02:25:27,40.2300,22.5400,19,4.1,5.6 km SE of Katerini
2005-04-20 07:52:39,40.8300,22.9000,24,4.1,18.2 km S of Kilkis
2003-10-29 21:15:47,40.7100,22.8300,25,4.3,12.3 km NW of Thessaloniki
1995-02-13 13:16:35,40.7500,22.7400,6,4.2,21.1 km NW of Thessaloniki
1990-12-21 06:57:43,40.9500,22.4300,1,5.4,36.2 km ENE of Edhessa
1988-12-02 17:43:04,40.6300,22.6000,1,4.1,29.0 km W of Thessaloniki
1988-10-20 14:00:59,40.5300,22.9400,22,4.2,12.3 km S of Thessaloniki
1984-07-08 03:31:41,41.0600,22.5700,5,4.0,26.3 km WNW of Kilkis
1984-05-14 18:17:58,40.9300,22.8100,14,4.2,8.6 km SW of Kilkis
1984-05-08 05:04:04,40.3600,22.7600,17,4.3,23.9 km ENE of Katerini
1983-08-26 16:15:31,40.9700,22.4600,5,4.1,34.6 km W of Kilkis
1979-02-22 17:37:18,40.5000,22.5000,10,4.2,25.2 km E of Veria
1978-01-11 05:08:09,40.9000,22.9000,10,4.0,10.5 km SSE of Kilkis
1975-02-28 19:51:08,40.6000,22.5000,10,4.1,26.4 km ENE of Veria
1974-10-15 09:56:49,40.8000,22.9000,10,4.1,18.1 km NNW of Thessaloniki
1972-08-12 23:47:57,41.0000,22.7000,10,4.4,14.4 km W of Kilkis
