Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2025-08-07 09:49:01,37.0949,21.8990,19,4.7,20.1 km WNW of Kalamata
2023-12-03 08:38:00,37.4533,22.2299,69,4.1,14.6 km WSW of Tripolis
2019-04-25 11:04:22,37.3389,22.1045,11,4.1,30.8 km SW of Tripolis
2015-10-25 15:46:03,37.5700,22.0600,12,4.0,29.0 km WNW of Tripolis
2014-10-04 00:12:01,37.4100,22.2000,20,4.4,19.3 km SW of Tripolis
2011-10-10 19:07:00,37.1900,22.0400,11,4.5,18.0 km NNW of Kalamata
2011-09-14 03:35:27,37.1900,22.0500,10,4.5,17.7 km NNW of Kalamata
2011-08-14 01:05:01,37.2500,22.0000,14,4.5,25.6 km NNW of Kalamata
2010-01-20 16:55:18,37.1800,22.1200,10,4.2,15.7 km N of Kalamata
2009-08-06 04:57:44,37.4900,22.0300,16,4.2,30.9 km W of Tripolis
2008-12-28 17:32:00,37.2100,22.1400,5,4.2,19.2 km N of Kalamata
2005-03-20 19:20:18,37.5200,22.0200,9,4.0,31.7 km W of Tripolis
2005-03-20 00:51:01,37.4800,22.0100,19,4.0,32.8 km W of Tripolis
2005-01-26 15:04:55,37.6200,22.0200,15,4.0,34.0 km WNW of Tripolis
2005-01-26 14:56:43,37.6100,21.9800,23,4.0,37.0 km WNW of Tripolis
2004-03-01 00:35:57,37.1900,22.1400,14,5.0,17.0 km N of Kalamata
2003-02-07 17:03:38,37.1300,22.1400,13,4.0,10.4 km NNE of Kalamata
2000-07-25 19:33:59,37.3100,21.9100,5,4.8,35.2 km NNW of Kalamata
1999-04-14 12:43:37,37.7400,22.3200,86,4.2,26.2 km NNW of Tripolis
1998-07-04 03:58:19,37.3300,22.0100,5,4.0,33.7 km NNW of Kalamata
1997-04-07 04:31:53,37.4800,22.1500,2,4.0,20.5 km W of Tripolis
1996-06-19 21:22:31,37.9500,21.9700,37,4.2,15.5 km SW of Kalavrita
1994-09-05 05:09:49,37.8000,21.8500,63,4.0,34.6 km SW of Kalavrita
1990-08-08 00:35:07,37.1600,22.0800,1,4.3,13.8 km NNW of Kalamata
1986-09-13 17:24:33,37.1000,22.1900,1,5.5,9.6 km NE of Kalamata
1984-10-25 09:49:18,37.1600,21.8700,5,4.5,25.5 km WNW of Kalamata
1984-02-07 01:38:55,37.9200,22.0600,5,4.0,13.3 km SSW of Kalavrita
1983-04-11 17:23:07,37.9100,21.8900,10,4.3,23.8 km SW of Kalavrita
1979-09-20 19:06:40,37.8000,22.2000,10,4.0,26.9 km SSE of Kalavrita
1975-10-25 07:25:22,37.7000,22.0000,10,4.2,38.2 km SSW of Kalavrita
1975-01-06 20:07:00,37.9000,22.0000,10,4.0,17.7 km SW of Kalavrita
1970-08-08 12:13:18,37.8000,21.9000,10,4.1,31.8 km SW of Kalavrita
1966-09-01 14:22:57,37.5000,22.3000,10,6.0,7.1 km W of Tripolis
1966-05-24 11:09:21,37.5000,21.9000,10,4.2,42.3 km W of Tripolis
