﻿Origin Time,Latitude,Longitude,Depth (km),Magnitude (ML),Location
﻿﻿2019/10/10 23:55:59,39.36,25.78,34,4.1,45.9 χμ ΔΒΔ της Μυτιλήνης
﻿2019/04/29 18:02:44,39.35,26.28,17,4.2,20.1 χμ Β της Μυτιλήνης
﻿2019/03/15 21:54:19,39.70,25.61,16,4.2,38.8 χμ ΝΑ της Λήμνου
﻿2019/02/20 18:23:29,39.55,26.40,21,4.9,45.0 χμ ΒΒΑ της Μυτιλήνης
﻿2017/09/16 08:12:41,39.43,26.39,14,4.0,31.5 χμ ΒΒΑ της Μυτιλήνης
﻿2017/03/24 15:19:06,39.55,26.09,12,4.0,45.1 χμ ΒΒΔ της Μυτιλήνης
﻿2017/02/28 23:27:35,39.48,26.06,15,4.4,38.4 χμ ΒΒΔ της Μυτιλήνης
﻿2017/02/23 01:55:14,39.55,26.07,12,4.2,45.7 χμ ΒΒΔ της Μυτιλήνης
﻿2017/02/16 00:19:00,39.52,26.07,11,4.4,42.3 χμ ΒΒΔ της Μυτιλήνης
﻿2017/02/12 13:48:16,39.51,26.14,12,4.9,39.0 χμ ΒΒΔ της Μυτιλήνης
﻿2017/02/10 08:55:26,39.48,26.16,16,4.4,36.2 χμ ΒΒΔ της Μυτιλήνης
﻿2017/02/08 01:38:04,39.52,26.12,12,4.4,41.0 χμ ΒΒΔ της Μυτιλήνης
﻿2017/02/07 21:00:55,39.51,26.14,14,4.2,39.7 χμ ΒΒΔ της Μυτιλήνης
﻿2017/02/07 05:17:09,39.51,26.14,12,4.2,38.9 χμ ΒΒΔ της Μυτιλήνης
﻿2017/02/07 05:15:51,39.49,26.16,14,4.1,36.5 χμ ΒΒΔ της Μυτιλήνης
﻿2017/02/07 02:24:04,39.49,26.11,16,5.2,37.8 χμ ΒΒΔ της Μυτιλήνης
﻿2017/02/06 11:45:02,39.51,26.08,16,4.2,40.7 χμ ΒΒΔ της Μυτιλήνης
﻿2017/02/06 10:58:02,39.51,26.12,15,5.1,39.7 χμ ΒΒΔ της Μυτιλήνης
﻿2017/02/06 03:51:41,39.51,26.10,14,5.0,40.8 χμ ΒΒΔ της Μυτιλήνης
﻿2017/01/14 22:39:01,39.50,26.10,18,4.4,38.9 χμ ΒΒΔ της Μυτιλήνης
﻿2015/10/26 20:08:00,39.78,26.21,39,4.1,68.3 χμ Β της Μυτιλήνης
﻿2013/12/18 21:20:06,39.83,25.39,30,4.2,15.3 χμ ΝΑ της Λήμνου
﻿2013/01/13 08:55:14,39.66,25.51,29,4.8,36.2 χμ ΝΑ της Λήμνου
﻿2013/01/11 00:30:20,39.66,25.51,30,4.4,36.2 χμ ΝΑ της Λήμνου
﻿2013/01/09 15:41:32,39.69,25.60,27,4.7,39.1 χμ ΝΑ της Λήμνου
﻿2013/01/08 14:16:08,39.67,25.56,31,5.8,38.1 χμ ΝΑ της Λήμνου
﻿2007/12/28 21:14:14,39.53,25.97,28,4.4,47.0 χμ ΒΒΔ της Μυτιλήνης
﻿2005/08/24 03:06:19,39.68,25.56,29,4.7,37.3 χμ ΝΑ της Λήμνου
﻿2001/05/31 19:39:52,39.39,26.44,19,4.0,29.7 χμ ΒΒΑ της Μυτιλήνης
﻿2000/11/07 21:13:58,39.42,26.35,9,4.0,29.5 χμ ΒΒΑ της Μυτιλήνης
﻿2000/08/26 17:15:09,39.42,26.14,5,4.1,29.7 χμ ΒΒΔ της Μυτιλήνης
﻿1996/08/19 01:05:38,39.35,25.92,16,4.2,35.0 χμ ΒΔ της Μυτιλήνης
﻿1995/01/08 13:08:54,39.35,25.50,14,4.0,66.5 χμ ΝΝΑ της Λήμνου
﻿1992/10/24 19:36:41,39.47,26.09,123,4.1,36.4 χμ ΒΒΔ της Μυτιλήνης
﻿1992/06/28 02:13:35,39.60,25.57,23,4.3,44.6 χμ ΝΑ της Λήμνου
﻿1991/04/18 11:56:57,39.35,26.47,1,4.0,27.8 χμ ΒΑ της Μυτιλήνης
﻿1990/04/30 20:58:44,39.12,26.33,10,4.1,8.6 χμ ΝΑ της Μυτιλήνης
﻿1990/03/13 23:55:02,39.26,25.49,29,4.1,66.3 χμ Δ της Μυτιλήνης
﻿1989/08/15 17:03:33,39.18,26.21,38,4.7,3.8 χμ ΔΒΔ της Μυτιλήνης
﻿1989/08/15 16:08:09,39.19,26.26,8,4.2,2.7 χμ ΒΒΑ της Μυτιλήνης
﻿1987/08/06 06:21:29,39.21,26.25,15,4.7,4.8 χμ Β της Μυτιλήνης
﻿1985/12/19 09:27:40,39.15,26.52,7,4.1,23.4 χμ Α της Μυτιλήνης
﻿1985/12/18 05:46:00,39.20,26.27,23,4.8,4.1 χμ ΒΒΑ της Μυτιλήνης
﻿1984/10/05 20:58:50,39.12,25.32,36,5.2,69.7 χμ ΑΒΑ της Σκύρου
﻿1982/04/10 11:38:06,39.50,25.50,10,4.5,51.0 χμ ΝΝΑ της Λήμνου
﻿1981/12/21 14:13:17,39.20,25.40,10,5.0,73.4 χμ Δ της Μυτιλήνης
﻿1981/12/20 22:54:28,39.20,25.40,10,4.0,73.4 χμ Δ της Μυτιλήνης
﻿1981/12/19 21:14:24,39.40,25.40,10,4.8,58.9 χμ ΝΝΑ της Λήμνου
﻿1981/12/19 18:10:48,39.40,25.40,10,4.5,58.9 χμ ΝΝΑ της Λήμνου
﻿1981/12/19 14:10:49,39.20,25.30,10,6.3,71.6 χμ ΑΒΑ της Σκύρου
﻿1981/10/14 10:58:24,39.30,25.40,10,4.2,69.8 χμ Ν της Λήμνου
﻿1979/01/05 10:03:48,39.80,25.60,33,4.2,32.6 χμ ΑΝΑ της Λήμνου
﻿1974/12/01 12:09:24,39.50,26.30,10,4.3,37.3 χμ Β της Μυτιλήνης
﻿1972/05/09 17:40:22,39.40,26.40,10,4.2,29.0 χμ ΒΒΑ της Μυτιλήνης
﻿1972/04/26 15:59:42,39.40,26.30,10,4.7,26.3 χμ Β της Μυτιλήνης
﻿1972/04/26 06:30:22,39.50,26.20,10,4.6,37.3 χμ Β της Μυτιλήνης
﻿1971/12/02 09:40:54,39.50,26.30,10,4.1,37.3 χμ Β της Μυτιλήνης
﻿1971/11/27 03:54:25,39.80,25.50,10,4.5,25.0 χμ ΑΝΑ της Λήμνου
﻿1969/04/21 20:36:40,39.30,25.20,10,4.6,68.7 χμ Ν της Λήμνου
﻿1968/11/08 15:26:50,39.70,25.40,10,4.0,27.3 χμ ΝΝΑ της Λήμνου
﻿1968/04/05 15:54:32,39.60,25.40,10,4.2,37.5 χμ ΝΝΑ της Λήμνου
﻿1968/03/23 17:25:54,39.30,25.50,10,4.5,66.3 χμ ΔΒΔ της Μυτιλήνης
﻿1968/03/21 16:09:20,39.70,25.30,10,4.4,24.5 χμ Ν της Λήμνου
﻿1968/03/11 17:32:45,39.70,25.60,10,4.2,38.4 χμ ΝΑ της Λήμνου
﻿1968/02/29 11:45:42,39.50,25.20,10,4.2,46.5 χμ Ν της Λήμνου
