Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2020-11-05 22:16:27,39.9394,23.9479,24,4.4,43.0 km SW of Kariai
2018-04-21 00:20:06,39.9316,23.7598,20,4.6,54.7 km SW of Kariai
2017-04-07 04:43:58,39.9473,23.6792,10,4.2,51.7 km SSE of Poliyiros
2016-09-29 01:17:36,39.5300,24.1000,30,4.0,66.7 km NE of Skiathos
2015-07-26 18:40:41,40.3600,23.9600,27,4.1,27.5 km WNW of Kariai
2014-06-06 17:10:23,39.7600,24.0900,30,4.4,56.2 km SSW of Kariai
2013-02-15 14:42:54,40.3300,23.9500,23,4.6,27.0 km WNW of Kariai
2012-03-04 03:31:07,40.1300,24.0500,24,5.0,21.6 km SW of Kariai
2012-02-14 01:34:38,40.1300,24.0900,24,5.0,19.0 km SW of Kariai
2009-01-13 11:57:34,39.9700,23.7700,28,4.0,51.3 km SW of Kariai
2008-12-27 20:09:19,40.1500,24.0500,24,4.3,20.3 km WSW of Kariai
2008-12-27 08:27:02,40.1400,24.0100,29,4.1,23.8 km WSW of Kariai
2008-08-03 01:56:23,39.5800,23.8600,27,4.3,56.2 km NE of Skiathos
2008-08-03 00:52:54,39.5600,23.9000,27,4.4,56.5 km NE of Skiathos
2008-08-03 00:39:16,39.5900,23.9000,30,5.3,59.1 km NE of Skiathos
2007-01-26 10:44:55,39.7800,24.1100,38,4.2,53.6 km SSW of Kariai
2000-08-22 03:35:38,39.6400,23.9500,5,4.6,66.2 km NE of Skiathos
1999-04-20 16:01:14,39.5700,24.0300,32,4.9,65.0 km NE of Skiathos
1998-06-16 18:06:34,39.8100,24.0900,16,4.4,50.8 km SSW of Kariai
1998-06-03 09:08:40,39.8700,24.1400,36,4.0,43.3 km SSW of Kariai
1998-04-11 09:29:11,39.9400,23.9500,5,4.4,42.9 km SW of Kariai
1997-10-28 08:18:50,39.8500,23.8400,24,4.0,56.5 km SW of Kariai
1994-04-10 19:46:21,39.9800,23.6700,13,4.5,48.1 km SSE of Poliyiros
1991-01-28 04:07:26,39.6200,23.7700,6,4.0,56.1 km NNE of Skiathos
1991-01-27 19:50:48,39.6200,23.7600,8,4.2,55.7 km NNE of Skiathos
1990-09-09 19:00:39,39.9800,24.0500,17,4.5,34.5 km SSW of Kariai
1990-09-03 05:35:49,39.9700,24.0100,9,4.1,37.2 km SSW of Kariai
1990-03-31 01:39:54,40.0400,23.9000,1,4.1,37.8 km SW of Kariai
1990-03-31 01:38:17,39.9800,24.0000,11,4.4,36.8 km SW of Kariai
1990-01-29 13:01:45,39.9800,23.9400,11,4.1,40.0 km SW of Kariai
1989-08-20 20:57:20,39.9400,24.0000,1,4.0,40.5 km SSW of Kariai
1988-08-16 21:34:08,39.9400,24.0100,4,4.2,40.1 km SSW of Kariai
1988-08-13 07:26:22,40.0200,23.9900,14,4.1,33.8 km SW of Kariai
1983-08-26 12:52:09,40.4500,24.0200,12,4.5,29.6 km NW of Kariai
1982-06-11 02:57:13,39.6000,23.6000,10,4.0,49.2 km NNE of Skiathos
1982-02-09 02:44:24,39.7000,24.1000,10,4.5,62.5 km SSW of Kariai
1982-01-19 16:17:53,39.7000,23.7000,10,4.4,62.2 km NNE of Skiathos
1979-06-02 03:11:59,40.3000,24.0000,10,4.2,21.9 km WNW of Kariai
