Run,Delayed Orders,Unfinished Orders,Lost Profit due to Delays,Total Loss
0,2,9,33500,446843
1,2,2,454500,857538
2,2,2,454500,857511
3,2,3,454500,1114763
4,3,5,381500,773565
5,2,3,447500,1652338
6,2,6,31000,789032
7,2,3,454500,859209
8,3,5,474500,1267485
9,4,2,233000,633767
10,3,7,474500,1205131
11,2,5,454500,1239805
12,2,2,454500,955656
13,3,5,474500,1188856
14,3,6,259324,702685
15,2,2,454500,861879
16,3,3,619500,1532960
17,2,2,454500,862685
18,1,6,17500,425633
19,2,6,3626,514042
20,2,7,33500,310047
21,2,3,201500,524581
22,2,5,454500,1343505
23,2,3,454500,863805
24,2,4,172000,967101
25,3,6,313500,1534938
26,2,2,454500,864607
27,2,5,447500,1349446
28,2,7,33500,903903
29,4,7,372000,752479
30,3,6,33899,433376
31,3,6,619500,1425472
32,2,5,454500,1161269
33,2,3,171500,574716
34,2,2,454500,867131
35,2,5,454500,1427526
36,2,2,201500,601065
37,2,2,454500,868014
38,2,4,447500,1092333
39,3,3,619500,1346469
40,2,8,454500,1127074
41,2,3,454500,1183790
42,2,7,33500,316776
43,2,2,201500,1256916
44,3,3,479500,1556088
45,4,5,361500,807101
46,2,2,454500,870916
47,3,3,187500,529583
48,2,5,33500,318560
49,2,2,201500,611542
50,3,6,474500,1983238
51,2,5,454500,1543632
52,2,4,447500,1197485
53,1,7,3500,1098865
54,3,8,470500,1010655
55,2,2,454500,983155
56,4,2,639500,1571440
57,2,4,171500,581911
58,2,5,454500,952188
59,3,7,470500,1248512
60,2,4,171500,955274
61,2,5,454500,875490
62,2,2,454500,1580637
63,2,5,454500,876097
64,2,4,454500,876558
65,2,2,454500,876746
66,3,4,474500,2211045
67,2,2,454500,1193378
68,2,3,454500,878016
69,3,3,474500,1475945
70,3,3,474500,1917940
71,2,3,454500,1579745
72,3,3,776004,1984095
73,3,4,474500,1295253
74,2,5,454500,849968
75,3,2,454530,901332
76,2,3,454500,880690
77,2,3,454500,881031
78,2,7,454500,1612347
79,2,4,454500,881920
80,2,6,31000,399412
81,1,6,17500,468359
82,2,4,454500,1234356
83,2,4,454500,1247865
84,2,3,447500,880216
85,2,9,33500,277128
86,3,3,454656,883611
87,2,2,454500,883651
88,2,2,454500,1527215
89,3,5,313500,982041
90,2,4,454500,1308637
91,2,3,454500,885122
92,3,5,474500,1332901
93,3,6,474500,1024616
94,2,3,454500,949476
95,2,1,454500,886427
96,1,5,120000,1319861
97,2,5,454500,1135869
98,2,3,447500,884668
99,2,1,454500,887616
